Value	Count
2.0	872
4.0	639
3.0	265
8.0	170
5.0	149
7.0	141
10.0	125
6.0	118
14.0	98
20.0	89
12.0	69
13.0	66
148.0	65
24.0	64
16.0	55
18.0	52
29.0	51
220.0	51
9.0	48
30.0	45
176.0	45
28.0	43
180.0	42
21.0	42
188.0	41
348.0	41
11.0	41
132.0	40
164.0	40
236.0	39
192.0	39
136.0	38
208.0	38
272.0	37
124.0	37
172.0	36
200.0	35
248.0	35
256.0	35
128.0	35
15.0	34
260.0	34
224.0	34
152.0	33
160.0	32
168.0	31
22.0	31
19.0	31
196.0	29
328.0	29
140.0	29
268.0	28
156.0	28
216.0	27
232.0	26
32.0	26
280.0	25
240.0	25
40.0	25
25.0	25
284.0	24
54.0	24
312.0	23
304.0	23
340.0	23
380.0	23
300.0	22
244.0	22
27.0	21
316.0	20
324.0	20
184.0	19
288.0	19
364.0	19
320.0	19
392.0	19
396.0	19
376.0	18
252.0	18
308.0	18
23.0	17
204.0	17
42.0	17
384.0	17
412.0	16
276.0	16
360.0	16
38.0	16
352.0	16
50.0	16
228.0	15
52.0	15
408.0	15
26.0	15
388.0	15
336.0	14
212.0	14
368.0	14
264.0	14
564.0	13
292.0	13
356.0	13
468.0	13
296.0	12
696.0	12
332.0	12
344.0	12
17.0	12
488.0	11
420.0	11
568.0	11
752.0	11
416.0	11
404.0	11
34.0	11
524.0	10
636.0	10
460.0	10
616.0	10
144.0	10
516.0	10
432.0	10
504.0	10
572.0	10
56.0	10
768.0	9
444.0	9
540.0	9
476.0	9
372.0	9
532.0	8
536.0	8
708.0	8
48.0	8
512.0	8
560.0	8
492.0	8
464.0	8
484.0	8
544.0	7
440.0	7
548.0	7
604.0	7
400.0	7
668.0	7
628.0	7
508.0	7
456.0	7
652.0	7
354.0	7
1020.0	7
584.0	7
448.0	7
472.0	7
592.0	7
644.0	6
424.0	6
728.0	6
588.0	6
60.0	6
418.0	6
452.0	6
624.0	6
130.0	6
87.0	6
836.0	6
640.0	6
58.0	6
732.0	5
382.0	5
306.0	5
596.0	5
812.0	5
162.0	5
422.0	5
298.0	5
326.0	5
330.0	5
692.0	5
46.0	5
90.0	5
458.0	5
684.0	5
498.0	5
660.0	5
824.0	5
402.0	5
552.0	5
31.0	4
542.0	4
760.0	4
800.0	4
716.0	4
342.0	4
428.0	4
880.0	4
520.0	4
518.0	4
908.0	4
414.0	4
398.0	4
350.0	4
202.0	4
490.0	4
480.0	4
478.0	4
436.0	4
924.0	3
556.0	3
804.0	3
686.0	3
764.0	3
680.0	3
426.0	3
434.0	3
876.0	3
632.0	3
446.0	3
546.0	3
772.0	3
558.0	3
430.0	3
720.0	3
258.0	3
688.0	3
358.0	3
338.0	3
576.0	3
522.0	3
712.0	3
318.0	3
792.0	3
580.0	3
788.0	3
944.0	3
72.0	3
744.0	3
844.0	2
36.0	2
351.0	2
194.0	2
442.0	2
559.0	2
606.0	2
454.0	2
1016.0	2
700.0	2
374.0	2
784.0	2
203.0	2
528.0	2
676.0	2
872.0	2
154.0	2
33.0	2
150.0	2
405.0	2
198.0	2
776.0	2
670.0	2
366.0	2
736.0	2
206.0	2
286.0	2
227.0	2
391.0	2
496.0	2
574.0	2
146.0	2
694.0	2
155.0	2
796.0	2
151.0	2
378.0	2
482.0	2
648.0	2
474.0	2
190.0	2
69.0	2
170.0	2
740.0	2
410.0	2
690.0	2
854.0	2
322.0	2
201.0	2
664.0	2
904.0	2
1788.0	2
138.0	2
310.0	2
750.0	2
317.0	2
510.0	2
888.0	2
666.0	2
143.0	2
134.0	1
662.0	1
314.0	1
928.0	1
992.0	1
956.0	1
816.0	1
183.0	1
842.0	1
900.0	1
285.0	1
1012.0	1
63.0	1
166.0	1
369.0	1
724.0	1
174.0	1
602.0	1
600.0	1
62.0	1
158.0	1
337.0	1
704.0	1
884.0	1
108.0	1
294.0	1
770.0	1
856.0	1
1120.0	1
608.0	1
302.0	1
968.0	1
550.0	1
674.0	1
798.0	1
173.0	1
547.0	1
135.0	1
74.0	1
438.0	1
742.0	1
506.0	1
748.0	1
406.0	1
394.0	1
612.0	1
892.0	1
182.0	1
622.0	1
620.0	1
282.0	1
1082.0	1
159.0	1
840.0	1
630.0	1
137.0	1
274.0	1
614.0	1
44.0	1
67.0	1
142.0	1
219.0	1
81.0	1
598.0	1
116.0	1
610.0	1
486.0	1
642.0	1
55.0	1
278.0	1
578.0	1
91.0	1
243.0	1
