Value	Count
48.0	1095
24.0	845
20.0	709
18.0	621
22.0	454
52.0	389
26.0	297
28.0	254
50.0	228
13.0	215
60.0	213
56.0	213
72.0	146
64.0	145
88.0	121
32.0	115
84.0	114
30.0	114
40.0	112
6.0	112
68.0	110
80.0	108
92.0	108
96.0	108
100.0	104
108.0	102
76.0	101
112.0	100
104.0	96
120.0	95
36.0	88
44.0	88
132.0	83
124.0	80
16.0	80
54.0	79
140.0	78
116.0	75
9.0	69
125.0	66
128.0	66
136.0	61
160.0	59
150.0	58
236.0	57
224.0	56
176.0	53
179.0	52
25.0	51
148.0	49
156.0	48
191.0	48
228.0	46
183.0	46
168.0	45
164.0	45
144.0	45
158.0	44
195.0	44
138.0	44
53.0	42
49.0	42
62.0	42
152.0	42
232.0	41
208.0	41
58.0	40
154.0	39
203.0	39
172.0	37
284.0	37
180.0	36
129.0	36
166.0	35
175.0	35
134.0	34
244.0	34
226.0	34
205.0	34
61.0	33
279.0	33
31.0	33
267.0	33
7.0	32
255.0	31
240.0	31
219.0	31
258.0	30
188.0	30
295.0	30
213.0	30
412.0	30
192.0	29
174.0	29
10.0	29
243.0	29
436.0	28
383.0	28
137.0	28
270.0	28
184.0	28
249.0	28
230.0	27
98.0	27
259.0	27
312.0	27
167.0	26
149.0	26
216.0	26
211.0	26
440.0	26
248.0	25
15.0	24
207.0	24
133.0	23
288.0	23
304.0	23
308.0	23
349.0	23
196.0	23
280.0	23
142.0	23
117.0	23
201.0	22
220.0	22
298.0	22
341.0	22
21.0	22
212.0	22
171.0	21
385.0	21
204.0	21
271.0	21
241.0	21
263.0	21
200.0	20
90.0	20
256.0	20
222.0	20
102.0	20
276.0	20
170.0	20
338.0	20
372.0	19
275.0	19
334.0	19
145.0	19
94.0	19
504.0	19
69.0	19
253.0	18
402.0	18
57.0	18
360.0	18
34.0	18
199.0	18
23.0	18
268.0	18
74.0	18
352.0	17
345.0	17
306.0	17
162.0	17
320.0	17
399.0	17
292.0	17
356.0	17
163.0	17
234.0	17
110.0	17
397.0	17
302.0	17
316.0	16
97.0	16
348.0	16
287.0	16
77.0	16
272.0	16
93.0	16
337.0	16
461.0	16
340.0	16
217.0	16
66.0	16
245.0	16
70.0	16
262.0	15
78.0	15
121.0	15
46.0	15
65.0	15
420.0	15
51.0	15
252.0	14
264.0	14
469.0	14
325.0	14
43.0	14
239.0	14
41.0	14
350.0	14
73.0	14
261.0	14
580.0	14
247.0	14
8.0	14
37.0	14
457.0	14
141.0	14
291.0	14
346.0	14
294.0	14
181.0	14
376.0	14
364.0	14
525.0	13
415.0	13
342.0	13
368.0	13
187.0	13
508.0	13
29.0	13
27.0	13
146.0	13
428.0	13
194.0	12
42.0	12
408.0	12
564.0	12
86.0	12
251.0	12
173.0	12
19.0	12
122.0	12
395.0	12
82.0	12
106.0	12
45.0	12
223.0	12
14.0	12
215.0	12
344.0	11
333.0	11
534.0	11
209.0	11
283.0	11
105.0	11
381.0	11
474.0	11
38.0	11
118.0	11
157.0	11
210.0	11
126.0	11
359.0	11
538.0	11
260.0	11
296.0	11
190.0	11
482.0	11
130.0	11
81.0	11
266.0	11
290.0	10
319.0	10
127.0	10
55.0	10
470.0	10
321.0	10
737.0	10
619.0	10
143.0	10
317.0	10
592.0	10
330.0	10
515.0	10
374.0	10
363.0	10
274.0	10
354.0	10
496.0	10
916.0	10
422.0	9
197.0	9
101.0	9
502.0	9
336.0	9
498.0	9
466.0	9
636.0	9
185.0	9
406.0	9
551.0	9
577.0	9
856.0	9
221.0	9
442.0	9
453.0	9
568.0	9
424.0	9
300.0	8
451.0	8
431.0	8
206.0	8
462.0	8
177.0	8
588.0	8
460.0	8
265.0	8
483.0	8
384.0	8
202.0	8
479.0	8
378.0	8
389.0	8
114.0	8
286.0	8
729.0	8
658.0	8
521.0	8
361.0	8
189.0	8
393.0	8
400.0	8
465.0	8
632.0	8
227.0	8
784.0	8
671.0	8
339.0	8
370.0	8
590.0	7
237.0	7
246.0	7
419.0	7
113.0	7
186.0	7
328.0	7
169.0	7
193.0	7
79.0	7
418.0	7
481.0	7
310.0	7
135.0	7
299.0	7
473.0	7
85.0	7
539.0	7
646.0	7
475.0	7
506.0	7
602.0	7
718.0	7
1001.0	7
281.0	7
448.0	7
109.0	7
235.0	7
382.0	7
840.0	7
17.0	6
657.0	6
708.0	6
301.0	6
570.0	6
490.0	6
485.0	6
601.0	6
214.0	6
459.0	6
526.0	6
517.0	6
818.0	6
314.0	6
426.0	6
277.0	6
416.0	6
720.0	6
151.0	6
437.0	6
519.0	6
733.0	6
613.0	6
250.0	6
297.0	6
572.0	6
411.0	6
921.0	6
449.0	6
238.0	6
87.0	6
648.0	6
353.0	6
444.0	6
501.0	5
447.0	5
678.0	5
432.0	5
492.0	5
776.0	5
801.0	5
642.0	5
817.0	5
560.0	5
358.0	5
530.0	5
458.0	5
491.0	5
357.0	5
864.0	5
394.0	5
327.0	5
63.0	5
332.0	5
450.0	5
513.0	5
523.0	5
403.0	5
509.0	5
387.0	5
75.0	5
870.0	5
650.0	5
1022.0	5
542.0	5
535.0	5
413.0	5
683.0	5
375.0	5
543.0	5
343.0	5
455.0	5
558.0	5
585.0	5
608.0	5
634.0	5
488.0	5
868.0	5
908.0	5
89.0	5
486.0	5
505.0	5
584.0	5
606.0	5
527.0	5
689.0	5
724.0	5
11.0	5
666.0	5
960.0	5
685.0	5
12.0	5
427.0	5
970.0	5
500.0	5
231.0	5
414.0	5
605.0	5
704.0	4
323.0	4
335.0	4
1189.0	4
367.0	4
165.0	4
832.0	4
67.0	4
198.0	4
836.0	4
289.0	4
182.0	4
1069.0	4
39.0	4
454.0	4
229.0	4
365.0	4
614.0	4
630.0	4
123.0	4
452.0	4
611.0	4
318.0	4
476.0	4
242.0	4
753.0	4
303.0	4
322.0	4
964.0	4
842.0	4
675.0	4
161.0	4
607.0	4
782.0	4
391.0	4
640.0	4
768.0	4
638.0	4
429.0	4
377.0	4
559.0	4
920.0	4
355.0	4
633.0	4
766.0	4
282.0	4
798.0	4
131.0	4
107.0	4
392.0	4
390.0	4
471.0	4
421.0	4
529.0	4
540.0	4
285.0	4
550.0	4
968.0	4
625.0	3
829.0	3
876.0	3
278.0	3
682.0	3
697.0	3
743.0	3
1185.0	3
425.0	3
254.0	3
47.0	3
445.0	3
906.0	3
989.0	3
950.0	3
434.0	3
1040.0	3
547.0	3
812.0	3
1201.0	3
830.0	3
654.0	3
796.0	3
257.0	3
848.0	3
904.0	3
609.0	3
417.0	3
546.0	3
544.0	3
938.0	3
494.0	3
99.0	3
635.0	3
373.0	3
681.0	3
825.0	3
1021.0	3
662.0	3
1092.0	3
649.0	3
672.0	3
679.0	3
315.0	3
1121.0	3
874.0	3
643.0	3
147.0	3
225.0	3
