Value	Count
6.0	1603
8.0	978
24.0	623
3.0	335
4.0	293
2.0	193
40.0	164
72.0	162
48.0	162
10.0	160
64.0	139
28.0	135
32.0	133
92.0	132
68.0	121
44.0	118
56.0	117
120.0	113
12.0	112
80.0	111
52.0	110
60.0	109
76.0	109
88.0	108
84.0	107
108.0	103
36.0	103
112.0	99
104.0	94
116.0	90
124.0	86
13.0	83
96.0	83
128.0	82
100.0	81
25.0	81
132.0	76
140.0	74
136.0	72
18.0	69
5.0	64
7.0	63
19.0	63
160.0	59
176.0	55
49.0	53
144.0	52
148.0	49
30.0	48
81.0	46
164.0	44
156.0	43
180.0	40
9.0	39
188.0	38
192.0	38
152.0	38
73.0	35
172.0	35
57.0	35
168.0	34
97.0	33
236.0	31
184.0	30
208.0	29
204.0	28
26.0	26
216.0	25
240.0	25
200.0	25
228.0	25
212.0	24
256.0	23
224.0	23
53.0	22
31.0	22
276.0	22
105.0	21
14.0	21
252.0	21
93.0	21
69.0	20
232.0	20
89.0	19
77.0	19
41.0	19
196.0	19
244.0	19
220.0	19
61.0	17
284.0	17
248.0	16
280.0	16
268.0	15
65.0	15
33.0	15
109.0	15
37.0	15
113.0	14
157.0	14
15.0	14
145.0	13
29.0	13
85.0	13
264.0	13
173.0	12
45.0	12
296.0	12
121.0	12
272.0	12
66.0	12
117.0	11
308.0	11
316.0	11
125.0	11
137.0	11
20.0	11
141.0	11
70.0	11
288.0	10
98.0	10
11.0	10
58.0	10
129.0	9
165.0	9
50.0	9
292.0	9
38.0	9
304.0	9
62.0	9
90.0	9
149.0	8
170.0	8
82.0	8
348.0	8
138.0	8
169.0	8
340.0	7
46.0	7
101.0	7
106.0	6
300.0	6
146.0	6
122.0	6
312.0	6
260.0	6
197.0	6
320.0	6
95.0	6
161.0	6
51.0	6
229.0	6
74.0	6
154.0	5
153.0	5
177.0	5
47.0	5
133.0	5
360.0	5
258.0	5
185.0	5
282.0	5
221.0	5
189.0	5
158.0	5
21.0	5
86.0	5
78.0	5
43.0	5
130.0	5
217.0	5
336.0	5
59.0	5
317.0	4
54.0	4
241.0	4
42.0	4
233.0	4
16.0	4
285.0	4
181.0	4
205.0	4
209.0	4
174.0	4
102.0	4
261.0	4
249.0	4
213.0	3
388.0	3
111.0	3
127.0	3
328.0	3
35.0	3
135.0	3
372.0	3
34.0	3
107.0	3
309.0	3
67.0	3
352.0	3
83.0	3
193.0	3
27.0	3
201.0	3
110.0	3
134.0	3
242.0	3
324.0	3
344.0	3
245.0	3
253.0	3
1006.0	2
464.0	2
150.0	2
306.0	2
373.0	2
281.0	2
345.0	2
301.0	2
222.0	2
114.0	2
364.0	2
194.0	2
313.0	2
118.0	2
349.0	2
55.0	2
206.0	2
159.0	2
87.0	2
356.0	2
75.0	2
22.0	2
23.0	2
396.0	2
341.0	2
266.0	2
263.0	2
368.0	2
214.0	2
363.0	2
524.0	2
210.0	2
581.0	2
203.0	2
237.0	2
359.0	2
420.0	2
115.0	2
94.0	2
126.0	2
103.0	2
243.0	2
393.0	2
257.0	2
167.0	2
561.0	1
298.0	1
269.0	1
305.0	1
680.0	1
183.0	1
508.0	1
299.0	1
79.0	1
400.0	1
119.0	1
147.0	1
254.0	1
310.0	1
492.0	1
225.0	1
163.0	1
322.0	1
186.0	1
338.0	1
178.0	1
337.0	1
376.0	1
683.0	1
465.0	1
875.0	1
202.0	1
380.0	1
385.0	1
143.0	1
99.0	1
187.0	1
303.0	1
418.0	1
71.0	1
387.0	1
235.0	1
331.0	1
265.0	1
529.0	1
411.0	1
332.0	1
39.0	1
246.0	1
63.0	1
162.0	1
705.0	1
230.0	1
247.0	1
321.0	1
436.0	1
198.0	1
179.0	1
370.0	1
