Value	Count
6.0	1507
8.0	953
24.0	797
3.0	373
4.0	274
48.0	227
36.0	220
72.0	218
2.0	201
40.0	199
32.0	192
64.0	192
19.0	178
10.0	177
56.0	172
88.0	168
80.0	156
112.0	155
104.0	153
30.0	152
28.0	150
76.0	149
92.0	142
96.0	141
12.0	140
68.0	140
132.0	137
136.0	136
128.0	136
52.0	135
108.0	130
120.0	130
164.0	127
84.0	125
25.0	125
124.0	122
18.0	121
156.0	120
60.0	116
140.0	114
188.0	112
44.0	110
160.0	110
144.0	109
168.0	107
152.0	106
196.0	105
180.0	103
116.0	102
184.0	100
204.0	99
13.0	97
49.0	97
176.0	92
5.0	85
192.0	84
57.0	84
252.0	83
208.0	83
172.0	82
148.0	82
100.0	80
232.0	80
224.0	80
73.0	75
212.0	75
264.0	74
220.0	72
228.0	72
216.0	71
200.0	70
244.0	68
248.0	61
81.0	61
7.0	60
292.0	57
260.0	55
31.0	51
236.0	50
268.0	46
240.0	46
312.0	45
256.0	45
288.0	43
89.0	43
97.0	41
65.0	40
9.0	39
280.0	38
272.0	38
296.0	36
304.0	33
308.0	32
316.0	32
300.0	32
14.0	30
284.0	29
324.0	29
276.0	29
41.0	27
58.0	27
328.0	26
74.0	25
50.0	24
105.0	24
66.0	23
37.0	21
113.0	21
53.0	20
129.0	20
26.0	19
101.0	19
320.0	19
356.0	18
61.0	18
93.0	17
20.0	17
340.0	17
332.0	16
149.0	16
348.0	16
121.0	15
336.0	15
33.0	15
145.0	15
45.0	15
133.0	14
77.0	14
78.0	13
85.0	13
173.0	13
185.0	12
181.0	12
189.0	12
352.0	12
157.0	12
11.0	12
153.0	11
109.0	11
106.0	11
82.0	11
90.0	11
253.0	11
114.0	11
98.0	10
141.0	10
368.0	10
67.0	10
117.0	10
158.0	9
221.0	9
344.0	9
360.0	9
27.0	9
99.0	9
165.0	9
137.0	9
372.0	9
289.0	8
245.0	8
217.0	8
69.0	8
213.0	8
38.0	8
193.0	8
364.0	8
161.0	8
197.0	8
201.0	7
29.0	7
75.0	7
91.0	6
16.0	6
205.0	6
209.0	6
269.0	6
51.0	6
54.0	6
178.0	6
229.0	6
174.0	6
285.0	6
138.0	6
456.0	6
424.0	6
396.0	6
42.0	6
43.0	5
257.0	5
177.0	5
111.0	5
15.0	5
59.0	5
70.0	5
118.0	5
131.0	5
127.0	5
146.0	5
126.0	5
313.0	5
166.0	4
254.0	4
39.0	4
130.0	4
380.0	4
385.0	4
301.0	4
122.0	4
62.0	4
179.0	4
17.0	4
468.0	4
154.0	3
400.0	3
155.0	3
47.0	3
241.0	3
452.0	3
297.0	3
233.0	3
94.0	3
182.0	3
87.0	3
440.0	3
175.0	3
265.0	3
384.0	3
125.0	3
170.0	3
321.0	3
242.0	3
123.0	3
282.0	3
150.0	3
222.0	3
102.0	3
115.0	3
159.0	3
358.0	3
293.0	3
425.0	3
83.0	3
299.0	3
23.0	3
110.0	3
198.0	3
186.0	3
169.0	2
404.0	2
273.0	2
341.0	2
163.0	2
235.0	2
309.0	2
354.0	2
255.0	2
249.0	2
21.0	2
283.0	2
167.0	2
34.0	2
134.0	2
215.0	2
480.0	2
227.0	2
411.0	2
183.0	2
298.0	2
702.0	2
171.0	2
327.0	2
568.0	2
388.0	2
448.0	2
225.0	2
22.0	2
143.0	2
258.0	2
377.0	2
417.0	2
238.0	2
151.0	2
250.0	2
162.0	2
840.0	2
337.0	2
410.0	2
246.0	2
103.0	2
277.0	2
234.0	2
742.0	2
777.0	2
453.0	2
55.0	2
46.0	2
218.0	2
147.0	1
567.0	1
195.0	1
381.0	1
135.0	1
305.0	1
119.0	1
310.0	1
365.0	1
199.0	1
376.0	1
508.0	1
477.0	1
266.0	1
408.0	1
263.0	1
206.0	1
307.0	1
237.0	1
470.0	1
369.0	1
281.0	1
436.0	1
333.0	1
35.0	1
469.0	1
86.0	1
457.0	1
207.0	1
501.0	1
95.0	1
392.0	1
465.0	1
329.0	1
393.0	1
325.0	1
397.0	1
464.0	1
210.0	1
374.0	1
261.0	1
294.0	1
460.0	1
428.0	1
353.0	1
71.0	1
139.0	1
194.0	1
345.0	1
435.0	1
582.0	1
596.0	1
466.0	1
202.0	1
497.0	1
214.0	1
