#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	0	355.5	85.0	2.0	2.0	2.0	0.0	22.0	14.0	8.0	0.0
0	1	1207.5	119.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
0	2	721.4615384615385	151.0	2.0	2.0	2.0	1.0	26.0	16.0	8.0	2.0
0	3	2072.512195121951	182.5121951219512	4.0	1.0	0.0	4.0	205.0	4.0	0.0	200.0
0	4	1913.5	215.0	2.0	2.0	2.0	0.0	22.0	14.0	8.0	0.0
0	5	1209.5	277.5	4.0	4.0	0.0	0.0	60.0	60.0	0.0	0.0
0	6	1719.5	309.0	2.0	2.0	2.0	0.0	18.0	12.0	6.0	0.0
0	7	329.5	415.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	8	1589.5	501.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	9	2289.5	528.5	4.0	0.0	4.0	0.0	104.0	0.0	104.0	0.0
0	10	555.5061728395061	585.5061728395061	4.0	4.0	0.0	1.0	162.0	160.0	0.0	2.0
0	11	1971.5140186915887	593.5140186915888	4.0	4.0	0.0	1.0	321.0	312.0	0.0	9.0
0	12	495.5	648.4554455445544	4.0	2.0	4.0	0.0	202.0	18.0	184.0	0.0
0	13	1907.51966873706	655.51966873706	4.0	4.0	0.0	1.0	483.0	464.0	0.0	19.0
0	14	1063.5	675.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	15	961.5	689.0	2.0	2.0	2.0	0.0	20.0	14.0	6.0	0.0
0	16	1905.5084745762713	729.5084745762712	4.0	4.0	0.0	1.0	236.0	232.0	0.0	4.0
0	17	95.5	759.0	2.0	2.0	2.0	0.0	26.0	16.0	10.0	0.0
0	18	2113.5	767.5	4.0	4.0	0.0	0.0	48.0	48.0	0.0	0.0
0	19	421.22340425531917	798.7765957446809	7.0	0.0	7.0	0.0	188.0	0.0	188.0	0.0
0	20	2128.64824120603	798.6407035175879	7.0	4.0	2.0	5.0	398.0	52.0	5.0	338.0
