Value	Count
48.0	1414
12.0	853
14.0	634
52.0	522
18.0	398
20.0	374
6.0	265
3.0	252
60.0	248
22.0	202
11.0	193
2.0	176
8.0	173
64.0	157
7.0	149
56.0	136
16.0	134
4.0	132
72.0	120
5.0	119
76.0	103
84.0	93
96.0	93
10.0	93
124.0	86
9.0	81
80.0	74
104.0	73
30.0	70
108.0	65
33.0	64
100.0	59
88.0	56
156.0	53
148.0	50
112.0	50
128.0	47
164.0	46
136.0	45
160.0	45
132.0	44
208.0	44
224.0	42
172.0	42
116.0	40
228.0	39
144.0	39
120.0	39
140.0	37
276.0	35
176.0	35
204.0	35
180.0	35
68.0	34
196.0	34
248.0	34
316.0	33
152.0	32
220.0	32
188.0	31
240.0	31
92.0	29
264.0	27
256.0	27
232.0	24
192.0	24
352.0	23
236.0	23
348.0	22
168.0	22
216.0	21
272.0	20
184.0	20
356.0	20
312.0	20
200.0	19
260.0	18
344.0	18
288.0	18
268.0	17
284.0	17
296.0	17
360.0	17
244.0	17
392.0	16
304.0	16
456.0	15
328.0	15
372.0	15
292.0	15
376.0	15
212.0	14
364.0	14
300.0	14
336.0	14
408.0	13
424.0	13
404.0	12
340.0	12
448.0	12
320.0	11
544.0	11
480.0	11
380.0	11
324.0	11
308.0	10
460.0	10
492.0	9
560.0	9
280.0	9
412.0	9
332.0	9
252.0	9
508.0	9
632.0	8
620.0	8
440.0	8
524.0	7
488.0	7
528.0	7
436.0	7
396.0	7
504.0	7
420.0	7
496.0	7
416.0	7
472.0	7
452.0	7
572.0	6
604.0	6
428.0	6
464.0	6
368.0	6
388.0	6
500.0	6
548.0	6
708.0	6
520.0	6
67.0	5
40.0	5
616.0	5
384.0	5
608.0	5
444.0	5
432.0	5
516.0	5
656.0	5
648.0	5
644.0	4
21.0	4
24.0	4
600.0	4
28.0	4
54.0	4
564.0	4
676.0	4
588.0	4
568.0	4
576.0	3
536.0	3
788.0	3
652.0	3
696.0	3
584.0	3
71.0	3
15.0	3
400.0	3
552.0	3
190.0	3
126.0	3
36.0	3
58.0	3
210.0	3
720.0	3
476.0	3
780.0	3
44.0	3
704.0	3
78.0	3
660.0	3
556.0	3
664.0	3
63.0	3
732.0	2
170.0	2
684.0	2
83.0	2
251.0	2
1044.0	2
490.0	2
636.0	2
596.0	2
509.0	2
109.0	2
81.0	2
748.0	2
712.0	2
716.0	2
454.0	2
719.0	2
512.0	2
840.0	2
138.0	2
540.0	2
1148.0	2
680.0	2
86.0	2
832.0	2
468.0	2
728.0	2
628.0	2
1144.0	2
69.0	2
692.0	2
242.0	2
484.0	2
235.0	2
796.0	2
422.0	2
323.0	2
362.0	2
34.0	2
1020.0	2
27.0	2
592.0	2
640.0	2
792.0	2
91.0	2
532.0	2
23.0	2
262.0	2
612.0	2
87.0	1
461.0	1
827.0	1
106.0	1
980.0	1
50.0	1
724.0	1
298.0	1
66.0	1
26.0	1
1308.0	1
423.0	1
35.0	1
828.0	1
458.0	1
147.0	1
278.0	1
1033.0	1
134.0	1
238.0	1
884.0	1
414.0	1
912.0	1
139.0	1
32.0	1
246.0	1
178.0	1
668.0	1
736.0	1
225.0	1
13.0	1
133.0	1
876.0	1
944.0	1
379.0	1
98.0	1
101.0	1
171.0	1
672.0	1
289.0	1
55.0	1
269.0	1
1028.0	1
744.0	1
151.0	1
223.0	1
90.0	1
486.0	1
701.0	1
378.0	1
783.0	1
860.0	1
102.0	1
700.0	1
19.0	1
768.0	1
311.0	1
338.0	1
1152.0	1
177.0	1
99.0	1
624.0	1
559.0	1
167.0	1
103.0	1
39.0	1
239.0	1
