Value	Count
76.0	114.0
36.0	112.0
164.0	105.0
188.0	103.0
72.0	103.0
32.0	103.0
88.0	102.0
96.0	98.0
24.0	97.0
112.0	94.0
60.0	93.0
52.0	92.0
64.0	91.0
84.0	89.0
104.0	88.0
136.0	85.0
92.0	84.0
132.0	84.0
232.0	80.0
176.0	78.0
28.0	78.0
160.0	76.0
168.0	76.0
204.0	75.0
40.0	74.0
208.0	74.0
120.0	73.0
224.0	72.0
44.0	72.0
108.0	72.0
196.0	71.0
156.0	69.0
140.0	68.0
80.0	68.0
180.0	68.0
228.0	66.0
124.0	64.0
252.0	64.0
128.0	64.0
212.0	62.0
56.0	62.0
200.0	61.0
184.0	60.0
152.0	59.0
192.0	57.0
100.0	56.0
116.0	56.0
68.0	54.0
268.0	52.0
144.0	51.0
148.0	50.0
292.0	50.0
216.0	49.0
288.0	49.0
172.0	48.0
436.0	47.0
236.0	47.0
308.0	45.0
220.0	45.0
240.0	43.0
260.0	43.0
248.0	43.0
312.0	43.0
264.0	42.0
138.0	41.0
125.0	41.0
284.0	40.0
13.0	40.0
316.0	39.0
280.0	38.0
300.0	37.0
296.0	36.0
150.0	36.0
244.0	35.0
256.0	35.0
191.0	34.0
62.0	32.0
129.0	32.0
262.0	32.0
551.0	31.0
158.0	31.0
154.0	31.0
272.0	30.0
195.0	29.0
226.0	29.0
134.0	29.0
142.0	29.0
372.0	29.0
243.0	29.0
341.0	29.0
449.0	28.0
555.0	28.0
279.0	27.0
304.0	27.0
348.0	27.0
213.0	26.0
320.0	26.0
53.0	26.0
162.0	25.0
658.0	24.0
321.0	24.0
424.0	24.0
149.0	24.0
325.0	24.0
179.0	24.0
31.0	23.0
324.0	23.0
356.0	23.0
504.0	23.0
50.0	23.0
230.0	23.0
547.0	22.0
114.0	22.0
542.0	22.0
462.0	22.0
568.0	22.0
423.0	22.0
82.0	21.0
580.0	21.0
502.0	21.0
332.0	20.0
519.0	20.0
121.0	20.0
275.0	20.0
363.0	20.0
628.0	20.0
458.0	20.0
776.0	20.0
387.0	20.0
174.0	20.0
217.0	20.0
253.0	20.0
251.0	19.0
342.0	19.0
170.0	19.0
419.0	19.0
178.0	19.0
406.0	19.0
572.0	19.0
535.0	19.0
415.0	19.0
205.0	18.0
589.0	18.0
16.0	18.0
219.0	18.0
173.0	18.0
904.0	18.0
784.0	18.0
141.0	18.0
183.0	18.0
638.0	18.0
836.0	18.0
276.0	18.0
397.0	18.0
30.0	17.0
527.0	17.0
598.0	17.0
328.0	17.0
466.0	17.0
412.0	17.0
271.0	17.0
34.0	17.0
389.0	17.0
632.0	17.0
86.0	17.0
486.0	16.0
66.0	16.0
201.0	16.0
354.0	16.0
352.0	16.0
145.0	16.0
376.0	16.0
350.0	16.0
856.0	16.0
234.0	15.0
368.0	15.0
295.0	15.0
364.0	15.0
360.0	15.0
206.0	15.0
444.0	15.0
581.0	15.0
634.0	15.0
780.0	15.0
329.0	15.0
414.0	15.0
306.0	15.0
408.0	15.0
427.0	15.0
432.0	15.0
282.0	15.0
130.0	15.0
157.0	14.0
185.0	14.0
274.0	14.0
127.0	14.0
445.0	14.0
189.0	14.0
506.0	14.0
525.0	14.0
12.0	14.0
146.0	14.0
636.0	14.0
222.0	14.0
187.0	14.0
385.0	14.0
440.0	14.0
650.0	13.0
396.0	13.0
474.0	13.0
102.0	13.0
74.0	13.0
964.0	13.0
496.0	13.0
137.0	13.0
626.0	13.0
509.0	13.0
515.0	13.0
517.0	13.0
720.0	13.0
768.0	13.0
630.0	13.0
122.0	13.0
925.0	13.0
640.0	13.0
908.0	12.0
133.0	12.0
399.0	12.0
337.0	12.0
41.0	12.0
395.0	12.0
340.0	12.0
601.0	12.0
492.0	12.0
577.0	12.0
534.0	12.0
393.0	12.0
211.0	12.0
428.0	12.0
346.0	12.0
299.0	12.0
888.0	12.0
521.0	12.0
679.0	12.0
167.0	12.0
247.0	12.0
712.0	12.0
45.0	12.0
615.0	12.0
642.0	12.0
355.0	12.0
257.0	12.0
670.0	12.0
245.0	12.0
298.0	12.0
464.0	12.0
479.0	11.0
563.0	11.0
921.0	11.0
573.0	11.0
749.0	11.0
159.0	11.0
617.0	11.0
25.0	11.0
487.0	11.0
772.0	11.0
560.0	11.0
338.0	11.0
378.0	11.0
683.0	11.0
106.0	11.0
482.0	11.0
741.0	11.0
291.0	10.0
896.0	10.0
753.0	10.0
457.0	10.0
606.0	10.0
654.0	10.0
586.0	10.0
538.0	10.0
163.0	10.0
860.0	10.0
498.0	10.0
900.0	10.0
381.0	10.0
99.0	10.0
402.0	10.0
469.0	10.0
844.0	10.0
175.0	10.0
303.0	10.0
764.0	10.0
821.0	10.0
597.0	10.0
989.0	10.0
404.0	10.0
345.0	10.0
448.0	10.0
662.0	10.0
645.0	10.0
884.0	10.0
374.0	9.0
358.0	9.0
452.0	9.0
490.0	9.0
602.0	9.0
646.0	9.0
210.0	9.0
446.0	9.0
442.0	9.0
584.0	9.0
675.0	9.0
270.0	9.0
193.0	9.0
421.0	9.0
266.0	9.0
258.0	9.0
287.0	9.0
344.0	9.0
334.0	9.0
42.0	9.0
249.0	9.0
359.0	9.0
203.0	9.0
98.0	9.0
960.0	9.0
65.0	9.0
553.0	9.0
215.0	9.0
817.0	9.0
564.0	9.0
55.0	9.0
1160.0	9.0
648.0	8.0
383.0	8.0
294.0	8.0
840.0	8.0
333.0	8.0
813.0	8.0
151.0	8.0
453.0	8.0
530.0	8.0
475.0	8.0
207.0	8.0
916.0	8.0
416.0	8.0
117.0	8.0
876.0	8.0
585.0	8.0
221.0	8.0
438.0	8.0
824.0	8.0
401.0	8.0
808.0	8.0
657.0	8.0
461.0	8.0
171.0	8.0
297.0	8.0
182.0	8.0
255.0	8.0
484.0	8.0
523.0	8.0
85.0	8.0
737.0	8.0
852.0	8.0
470.0	8.0
81.0	8.0
73.0	8.0
460.0	8.0
641.0	8.0
186.0	7.0
223.0	7.0
594.0	7.0
491.0	7.0
254.0	7.0
593.0	7.0
544.0	7.0
653.0	7.0
1393.0	7.0
161.0	7.0
289.0	7.0
793.0	7.0
418.0	7.0
801.0	7.0
468.0	7.0
1069.0	7.0
384.0	7.0
166.0	7.0
336.0	7.0
500.0	7.0
972.0	7.0
1048.0	7.0
310.0	7.0
1061.0	7.0
1168.0	7.0
943.0	7.0
980.0	7.0
716.0	7.0
619.0	7.0
278.0	7.0
733.0	7.0
1096.0	7.0
197.0	7.0
1112.0	7.0
369.0	7.0
649.0	7.0
529.0	7.0
1081.0	7.0
194.0	7.0
796.0	6.0
810.0	6.0
89.0	6.0
339.0	6.0
758.0	6.0
305.0	6.0
812.0	6.0
877.0	6.0
1016.0	6.0
1380.0	6.0
456.0	6.0
