Value	Count
48.0	10530
52.0	8826
96.0	8257
72.0	8194
88.0	8182
60.0	7941
24.0	7865
40.0	7770
76.0	7619
64.0	7581
80.0	7470
84.0	7386
92.0	7354
104.0	7209
32.0	6850
68.0	6787
108.0	6752
56.0	6507
112.0	6494
36.0	6467
100.0	6041
44.0	5500
116.0	5440
120.0	5351
128.0	4912
124.0	4804
28.0	4420
136.0	4398
132.0	4358
140.0	4141
125.0	4034
144.0	3839
152.0	3815
160.0	3813
150.0	3725
156.0	3721
224.0	3644
164.0	3642
148.0	3607
179.0	3562
158.0	3391
191.0	3366
168.0	3227
172.0	3167
236.0	3145
176.0	3072
129.0	2872
228.0	2872
188.0	2830
232.0	2824
180.0	2820
184.0	2659
183.0	2540
195.0	2472
279.0	2466
137.0	2449
154.0	2445
192.0	2419
196.0	2369
284.0	2363
204.0	2251
288.0	2242
30.0	2210
200.0	2188
212.0	2149
205.0	2140
208.0	2117
253.0	2093
166.0	2044
226.0	2039
216.0	2037
213.0	2033
211.0	2028
162.0	2011
230.0	1989
174.0	1952
220.0	1949
134.0	1923
240.0	1919
138.0	1871
187.0	1831
142.0	1825
275.0	1765
244.0	1759
245.0	1743
264.0	1743
248.0	1736
308.0	1735
312.0	1708
252.0	1707
316.0	1686
31.0	1680
280.0	1675
292.0	1626
243.0	1618
259.0	1608
260.0	1593
262.0	1562
50.0	1549
239.0	1533
267.0	1531
199.0	1510
270.0	1502
272.0	1496
121.0	1488
271.0	1474
304.0	1462
268.0	1462
263.0	1441
133.0	1439
256.0	1436
295.0	1436
203.0	1435
207.0	1432
356.0	1425
54.0	1424
341.0	1420
436.0	1390
440.0	1369
141.0	1351
149.0	1337
219.0	1335
201.0	1334
276.0	1329
145.0	1317
62.0	1294
306.0	1290
234.0	1275
163.0	1267
283.0	1253
171.0	1242
170.0	1228
98.0	1214
167.0	1212
209.0	1211
117.0	1209
302.0	1191
255.0	1188
175.0	1177
258.0	1169
287.0	1168
298.0	1165
325.0	1155
372.0	1154
249.0	1153
241.0	1135
222.0	1131
217.0	1128
74.0	1124
300.0	1113
20.0	1100
266.0	1098
296.0	1095
449.0	1093
90.0	1079
342.0	1077
383.0	1072
299.0	1068
333.0	1066
247.0	1060
412.0	1058
338.0	1058
337.0	1054
350.0	1033
82.0	1031
251.0	1026
360.0	1015
376.0	1013
66.0	1011
78.0	997
86.0	990
53.0	973
345.0	971
22.0	969
387.0	959
428.0	947
364.0	941
359.0	936
349.0	932
399.0	929
58.0	918
110.0	898
321.0	891
61.0	890
363.0	883
102.0	883
320.0	883
502.0	875
215.0	875
70.0	867
291.0	865
334.0	863
106.0	862
385.0	862
389.0	856
94.0	851
402.0	839
46.0	837
38.0	830
416.0	830
406.0	821
344.0	812
393.0	811
346.0	805
18.0	796
73.0	793
336.0	792
294.0	790
57.0	789
324.0	789
114.0	785
457.0	780
555.0	779
340.0	778
381.0	766
368.0	764
444.0	757
93.0	749
397.0	741
97.0	740
519.0	730
395.0	720
332.0	719
432.0	716
77.0	714
470.0	712
423.0	702
424.0	700
348.0	700
25.0	693
427.0	691
328.0	688
498.0	687
42.0	681
506.0	680
486.0	675
181.0	672
81.0	668
329.0	664
352.0	660
26.0	657
185.0	649
462.0	644
504.0	643
551.0	643
197.0	638
193.0	636
69.0	626
500.0	620
127.0	619
408.0	618
118.0	615
206.0	614
49.0	612
126.0	610
415.0	609
568.0	608
523.0	606
572.0	606
419.0	606
465.0	603
461.0	602
354.0	598
178.0	592
122.0	590
458.0	582
65.0	581
662.0	581
303.0	580
411.0	576
525.0	575
238.0	572
527.0	570
584.0	569
517.0	567
469.0	561
559.0	556
539.0	552
41.0	552
515.0	548
153.0	545
214.0	538
580.0	538
466.0	537
189.0	536
494.0	535
487.0	535
146.0	534
130.0	534
45.0	532
139.0	525
182.0	524
453.0	521
496.0	520
105.0	519
157.0	519
547.0	518
605.0	515
101.0	509
420.0	506
483.0	502
780.0	502
384.0	501
161.0	498
355.0	497
388.0	496
479.0	492
85.0	490
109.0	487
535.0	486
202.0	482
482.0	481
542.0	476
521.0	475
194.0	475
210.0	474
314.0	473
445.0	473
274.0	472
221.0	472
190.0	471
317.0	467
113.0	466
642.0	465
560.0	461
776.0	461
89.0	458
198.0	457
310.0	456
242.0	454
165.0	453
658.0	453
330.0	449
318.0	447
277.0	445
492.0	444
227.0	442
218.0	442
186.0	440
404.0	440
16.0	438
602.0	434
588.0	433
357.0	431
169.0	429
617.0	428
534.0	428
836.0	426
281.0	425
246.0	424
285.0	423
448.0	421
173.0	419
638.0	418
254.0	417
474.0	417
250.0	411
361.0	410
400.0	406
365.0	405
543.0	404
177.0	403
131.0	403
297.0	402
289.0	401
396.0	396
712.0	393
301.0	392
844.0	392
509.0	392
564.0	388
231.0	388
223.0	387
367.0	385
646.0	385
538.0	385
628.0	382
632.0	377
619.0	376
904.0	376
293.0	375
784.0	374
327.0	372
229.0	372
856.0	370
594.0	370
34.0	369
282.0	369
577.0	369
135.0	367
235.0	365
143.0	365
358.0	365
611.0	365
513.0	364
151.0	362
403.0	360
343.0	359
442.0	359
860.0	358
233.0	356
286.0	356
601.0	355
380.0	354
598.0	351
741.0	350
278.0	350
852.0	348
147.0	348
634.0	347
636.0	346
797.0	345
475.0	344
650.0	343
589.0	341
446.0	339
401.0	338
666.0	337
720.0	337
438.0	337
585.0	336
237.0	335
737.0	334
257.0	332
290.0	330
613.0	329
123.0	328
733.0	327
225.0	327
269.0	326
581.0	326
626.0	326
430.0	325
414.0	324
490.0	322
392.0	321
468.0	320
450.0	320
374.0	317
563.0	311
615.0	311
716.0	310
305.0	310
679.0	309
378.0	307
451.0	306
261.0	306
323.0	305
573.0	304
472.0	302
265.0	301
307.0	295
531.0	294
908.0	293
460.0	289
529.0	288
347.0	288
649.0	288
508.0	288
464.0	285
607.0	284
488.0	281
597.0	281
888.0	276
335.0	275
645.0	275
370.0	274
1393.0	273
768.0	273
339.0	273
753.0	272
351.0	272
630.0	270
491.0	269
708.0	268
683.0	267
13.0	265
671.0	265
410.0	264
6.0	264
452.0	264
800.0	264
391.0	263
390.0	263
459.0	262
426.0	261
772.0	261
366.0	261
418.0	260
353.0	260
968.0	260
654.0	259
540.0	259
544.0	258
362.0	258
729.0	257
640.0	257
900.0	256
273.0	256
322.0	254
530.0	254
624.0	254
119.0	252
369.0	250
801.0	250
425.0	249
159.0	247
331.0	246
386.0	246
473.0	245
896.0	244
653.0	243
309.0	242
964.0	242
311.0	242
417.0	242
413.0	240
675.0	239
326.0	239
394.0	239
840.0	238
319.0	238
373.0	234
817.0	233
980.0	230
315.0	229
313.0	228
793.0	228
576.0	228
429.0	227
749.0	225
382.0	223
467.0	221
434.0	218
398.0	216
788.0	214
864.0	214
570.0	212
816.0	211
476.0	211
447.0	211
657.0	210
592.0	210
484.0	209
421.0	208
471.0	207
972.0	206
813.0	204
925.0	204
456.0	204
960.0	203
463.0	202
422.0	201
796.0	201
920.0	200
155.0	200
873.0	200
792.0	198
832.0	198
29.0	198
574.0	197
557.0	196
765.0	196
812.0	196
510.0	195
37.0	193
892.0	193
556.0	193
648.0	192
764.0	191
877.0	190
516.0	189
644.0	188
1044.0	187
566.0	185
532.0	185
489.0	184
536.0	184
552.0	184
641.0	184
371.0	183
586.0	183
937.0	182
912.0	182
821.0	181
478.0	181
606.0	180
561.0	180
916.0	179
884.0	179
480.0	179
431.0	178
848.0	178
805.0	177
33.0	176
582.0	176
868.0	176
562.0	176
512.0	173
405.0	172
485.0	171
808.0	170
377.0	170
604.0	169
622.0	168
664.0	168
548.0	165
549.0	163
99.0	162
546.0	162
441.0	161
989.0	160
724.0	158
590.0	158
1048.0	158
1052.0	158
553.0	156
455.0	156
524.0	156
528.0	154
541.0	154
596.0	153
1108.0	153
614.0	153
593.0	152
616.0	151
941.0	151
600.0	150
493.0	148
578.0	148
95.0	147
481.0	147
828.0	147
1040.0	146
872.0	146
437.0	145
454.0	145
522.0	144
623.0	143
379.0	143
518.0	143
933.0	143
660.0	143
537.0	142
670.0	142
684.0	142
603.0	141
439.0	141
375.0	140
87.0	140
1001.0	140
618.0	139
809.0	138
433.0	137
997.0	136
115.0	136
921.0	135
63.0	134
945.0	134
609.0	133
520.0	133
668.0	133
67.0	132
608.0	132
477.0	132
761.0	131
443.0	130
75.0	130
824.0	130
495.0	130
599.0	130
818.0	128
984.0	126
526.0	126
652.0	125
869.0	125
757.0	125
820.0	124
511.0	124
7.0	124
533.0	123
514.0	123
505.0	122
1032.0	122
55.0	121
545.0	121
554.0	121
876.0	120
685.0	120
407.0	119
778.0	119
620.0	119
550.0	119
409.0	118
71.0	118
591.0	118
924.0	118
1021.0	117
1096.0	117
985.0	117
91.0	117
558.0	116
1005.0	116
766.0	116
612.0	116
948.0	114
1017.0	114
672.0	113
103.0	113
83.0	112
687.0	112
499.0	112
656.0	111
932.0	111
674.0	111
677.0	110
822.0	110
673.0	110
565.0	109
782.0	109
51.0	109
587.0	108
1081.0	108
754.0	107
647.0	107
952.0	107
435.0	107
686.0	107
681.0	107
680.0	106
1185.0	106
786.0	105
682.0	105
1176.0	104
1133.0	104
497.0	104
59.0	104
1065.0	104
1117.0	103
1160.0	102
1092.0	102
1069.0	102
1009.0	102
976.0	102
27.0	101
814.0	100
1112.0	100
583.0	100
880.0	100
569.0	100
940.0	99
944.0	99
874.0	99
651.0	97
838.0	96
659.0	96
107.0	95
579.0	95
750.0	95
676.0	95
688.0	95
870.0	94
8.0	94
846.0	93
1100.0	93
567.0	93
501.0	93
111.0	93
928.0	92
503.0	92
610.0	92
1145.0	91
79.0	90
689.0	90
810.0	90
507.0	90
722.0	89
627.0	89
1104.0	88
946.0	88
1189.0	88
802.0	88
878.0	88
804.0	88
698.0	87
665.0	87
858.0	87
1193.0	86
942.0	86
760.0	84
826.0	84
23.0	84
575.0	83
736.0	83
988.0	83
1232.0	82
762.0	82
643.0	82
756.0	82
1240.0	82
1168.0	81
906.0	81
770.0	81
595.0	81
710.0	81
655.0	80
678.0	80
625.0	80
1172.0	80
728.0	80
637.0	79
936.0	79
910.0	79
621.0	79
629.0	79
970.0	79
774.0	79
639.0	77
718.0	77
794.0	77
1125.0	77
47.0	76
1000.0	76
35.0	76
43.0	75
938.0	75
881.0	75
726.0	74
700.0	74
667.0	73
692.0	73
862.0	73
663.0	72
1073.0	72
743.0	72
734.0	71
690.0	71
742.0	71
571.0	70
1022.0	70
752.0	70
9.0	70
854.0	69
769.0	69
713.0	69
758.0	68
1008.0	68
39.0	68
798.0	68
1236.0	68
714.0	67
1224.0	67
842.0	66
1036.0	66
929.0	66
779.0	65
850.0	65
790.0	65
694.0	65
992.0	65
1121.0	65
704.0	65
834.0	64
631.0	64
755.0	64
1025.0	64
806.0	63
799.0	63
1209.0	63
830.0	62
732.0	62
1129.0	62
1004.0	62
702.0	61
1018.0	61
740.0	61
1056.0	60
738.0	60
730.0	60
890.0	60
633.0	59
773.0	59
898.0	59
735.0	58
956.0	58
1010.0	58
914.0	57
894.0	56
748.0	56
1002.0	56
745.0	55
922.0	55
711.0	55
819.0	55
823.0	55
1113.0	55
767.0	55
1028.0	55
696.0	54
1050.0	54
739.0	53
1220.0	53
719.0	53
866.0	52
10.0	52
1020.0	52
1205.0	52
751.0	51
17.0	51
783.0	51
1149.0	51
1082.0	50
996.0	50
706.0	50
635.0	50
1006.0	50
661.0	50
744.0	50
1072.0	49
1296.0	49
1054.0	49
703.0	49
709.0	49
746.0	49
747.0	49
811.0	49
705.0	49
691.0	48
1060.0	48
669.0	48
1137.0	48
723.0	48
803.0	48
902.0	48
1068.0	47
815.0	47
759.0	47
699.0	47
795.0	47
875.0	47
1061.0	47
930.0	47
1134.0	47
731.0	46
1317.0	46
715.0	46
1141.0	46
1016.0	46
882.0	45
1248.0	45
1064.0	45
693.0	45
1146.0	45
1164.0	45
993.0	45
918.0	45
1252.0	45
827.0	44
1034.0	44
1013.0	43
1300.0	43
825.0	43
934.0	43
1066.0	43
21.0	43
1080.0	43
727.0	42
1012.0	42
775.0	42
1077.0	42
1142.0	42
927.0	42
974.0	41
717.0	41
879.0	41
781.0	40
1026.0	40
1062.0	40
1046.0	40
1070.0	40
1156.0	40
695.0	40
1253.0	40
855.0	40
707.0	40
1261.0	39
785.0	39
935.0	39
871.0	39
1292.0	39
1024.0	39
962.0	39
905.0	39
966.0	39
982.0	39
1120.0	38
839.0	38
1084.0	38
807.0	37
1042.0	37
857.0	37
791.0	37
1210.0	37
893.0	37
1273.0	36
1213.0	36
1257.0	36
15.0	36
886.0	36
697.0	36
949.0	36
939.0	35
701.0	35
998.0	35
1397.0	34
1067.0	34
954.0	34
1304.0	34
1116.0	34
990.0	34
1058.0	33
19.0	33
849.0	33
943.0	33
953.0	33
931.0	33
1130.0	33
947.0	32
763.0	32
950.0	32
1014.0	32
926.0	32
1197.0	32
907.0	32
1244.0	31
1372.0	31
917.0	31
1102.0	31
1360.0	31
986.0	31
978.0	31
829.0	31
1321.0	31
831.0	31
853.0	30
863.0	30
891.0	30
1269.0	30
14.0	30
833.0	30
1118.0	30
1152.0	29
1007.0	29
1140.0	29
841.0	29
994.0	29
1281.0	29
885.0	29
1003.0	28
1313.0	28
847.0	28
789.0	28
883.0	28
845.0	28
1180.0	28
1150.0	28
1074.0	28
897.0	28
1138.0	28
1333.0	27
1202.0	27
777.0	27
1041.0	27
958.0	27
725.0	27
1194.0	27
1228.0	27
923.0	27
1127.0	27
965.0	26
977.0	26
835.0	26
861.0	26
771.0	26
1110.0	26
865.0	26
1094.0	26
721.0	26
1364.0	26
995.0	25
895.0	25
1114.0	25
1170.0	25
1086.0	25
859.0	25
1071.0	25
1337.0	25
867.0	25
837.0	25
913.0	25
987.0	25
1162.0	24
887.0	24
1033.0	24
1078.0	24
889.0	24
1136.0	24
1206.0	23
1019.0	23
1277.0	23
1214.0	23
1088.0	23
1201.0	23
957.0	23
1085.0	23
11.0	23
1238.0	23
1124.0	23
1262.0	22
1098.0	22
1011.0	22
961.0	22
1274.0	22
1128.0	22
1338.0	22
1063.0	22
951.0	22
971.0	22
999.0	21
843.0	21
915.0	21
973.0	21
1265.0	21
1144.0	21
1268.0	20
1122.0	20
1308.0	20
1200.0	20
1250.0	20
1216.0	20
1049.0	20
1057.0	20
1076.0	20
1234.0	20
1208.0	20
1131.0	20
1038.0	20
969.0	20
909.0	20
1027.0	19
1278.0	19
1023.0	19
1154.0	19
1385.0	19
1270.0	19
12.0	19
899.0	19
1325.0	19
1254.0	19
1192.0	19
1186.0	18
1217.0	18
1148.0	18
1395.0	18
1090.0	18
1196.0	18
967.0	18
1246.0	18
787.0	18
1282.0	18
1093.0	18
975.0	18
1083.0	17
1329.0	17
1106.0	17
1368.0	17
1045.0	17
1280.0	17
1380.0	17
983.0	17
1389.0	17
911.0	17
991.0	16
919.0	16
901.0	16
1211.0	16
1029.0	16
1153.0	16
1135.0	16
1184.0	16
1242.0	16
1177.0	16
1350.0	16
1182.0	16
1174.0	16
1199.0	15
1163.0	15
1175.0	15
1222.0	15
1276.0	15
1394.0	15
1132.0	15
1342.0	15
979.0	15
1221.0	15
1095.0	14
1316.0	14
1151.0	14
1302.0	14
1272.0	14
1290.0	14
1147.0	14
1356.0	14
981.0	14
1341.0	14
1111.0	14
1030.0	14
1258.0	14
1158.0	14
1438.0	13
1031.0	13
1123.0	13
1237.0	13
1340.0	13
1404.0	13
1204.0	13
1271.0	13
1207.0	13
1312.0	13
1212.0	13
1376.0	13
1126.0	13
1097.0	13
1241.0	13
1390.0	13
1223.0	12
1239.0	12
1260.0	12
1377.0	12
1396.0	12
1198.0	12
1181.0	12
1229.0	12
1285.0	12
1053.0	12
1037.0	12
1314.0	12
1188.0	12
1079.0	12
903.0	12
1089.0	12
1266.0	11
1315.0	11
1203.0	11
1109.0	11
1477.0	11
1330.0	11
1190.0	11
1400.0	11
1344.0	11
1322.0	11
1183.0	11
1388.0	11
1043.0	11
1166.0	11
1087.0	11
1284.0	11
851.0	11
1157.0	11
1155.0	11
1226.0	11
1105.0	11
1230.0	11
1256.0	11
1283.0	11
1305.0	11
1318.0	10
1099.0	10
1139.0	10
1352.0	10
1059.0	10
1336.0	10
1331.0	10
1251.0	10
1195.0	10
1178.0	10
1075.0	10
1470.0	10
1173.0	10
1259.0	10
1335.0	10
1550.0	10
959.0	9
1179.0	9
1420.0	9
1522.0	9
1051.0	9
1306.0	9
1119.0	9
1320.0	9
1297.0	9
1374.0	9
1243.0	9
1298.0	9
1107.0	9
1286.0	9
1091.0	9
1039.0	9
1444.0	9
1233.0	9
1392.0	9
1101.0	9
1399.0	9
1449.0	9
1159.0	9
1294.0	9
1255.0	8
1384.0	8
1697.0	8
1585.0	8
1476.0	8
1462.0	8
1411.0	8
1324.0	8
1387.0	8
1103.0	8
1575.0	8
1409.0	8
1328.0	8
1326.0	8
1047.0	8
1161.0	8
963.0	8
1365.0	8
1295.0	8
1015.0	8
1354.0	8
1303.0	8
1288.0	8
1191.0	8
1458.0	8
1349.0	8
1249.0	8
1405.0	8
1263.0	7
1219.0	7
1165.0	7
1416.0	7
1035.0	7
1509.0	7
1529.0	7
1362.0	7
1424.0	7
1564.0	7
1398.0	7
1537.0	7
1391.0	7
1245.0	7
1361.0	7
1334.0	7
1275.0	7
1319.0	7
1345.0	7
1526.0	7
1264.0	7
1311.0	7
1504.0	7
1378.0	7
1279.0	7
1467.0	7
1375.0	7
1554.0	7
1402.0	7
1383.0	7
1169.0	7
1371.0	7
1299.0	7
1645.0	7
1143.0	7
1448.0	7
1218.0	7
1469.0	7
1541.0	7
1408.0	7
1500.0	6
1450.0	6
1441.0	6
1369.0	6
1638.0	6
1446.0	6
1464.0	6
1869.0	6
1429.0	6
1440.0	6
1327.0	6
1512.0	6
1323.0	6
1473.0	6
1426.0	6
1527.0	6
1625.0	6
1570.0	6
1267.0	6
1657.0	6
1407.0	6
1490.0	6
1115.0	6
1465.0	6
1355.0	6
1382.0	6
1358.0	6
1533.0	6
1309.0	6
1310.0	6
2388.0	6
1513.0	5
1921.0	5
1461.0	5
1736.0	5
1489.0	5
1235.0	5
1538.0	5
955.0	5
1357.0	5
1417.0	5
1707.0	5
1692.0	5
1187.0	5
1590.0	5
1055.0	5
1648.0	5
1620.0	5
1346.0	5
1343.0	5
1741.0	5
1475.0	5
2390.0	5
1418.0	5
1666.0	5
1652.0	5
1599.0	5
1578.0	5
1766.0	5
2571.0	5
1379.0	5
1889.0	5
1548.0	5
1412.0	5
1215.0	5
1507.0	5
1780.0	5
1353.0	5
1370.0	5
1339.0	5
1171.0	5
1414.0	5
1428.0	5
1347.0	5
1709.0	5
1289.0	5
1729.0	4
2897.0	4
2304.0	4
1452.0	4
1706.0	4
1649.0	4
1970.0	4
1629.0	4
2403.0	4
2130.0	4
1859.0	4
1701.0	4
2231.0	4
1406.0	4
1478.0	4
1569.0	4
1805.0	4
1514.0	4
1332.0	4
1544.0	4
1415.0	4
