Value	Count
3.0	15483
24.0	13821
2.0	12723
40.0	11018
48.0	10439
72.0	9619
32.0	9476
36.0	9164
88.0	8946
64.0	8810
56.0	8636
92.0	8612
80.0	8341
68.0	8259
52.0	8069
104.0	7592
60.0	7488
76.0	7392
96.0	7191
84.0	7169
28.0	6753
44.0	6705
108.0	6654
120.0	6552
112.0	6521
19.0	5950
12.0	5899
116.0	5827
128.0	5710
124.0	5631
6.0	5460
100.0	5394
136.0	5036
132.0	4885
140.0	4594
144.0	4472
13.0	4397
8.0	4211
18.0	4069
152.0	4059
156.0	4015
148.0	3949
164.0	3818
160.0	3649
30.0	3609
25.0	3328
172.0	3301
49.0	3199
168.0	3188
180.0	3181
188.0	3148
176.0	3074
57.0	3026
10.0	2855
184.0	2819
5.0	2646
4.0	2608
192.0	2561
196.0	2491
204.0	2324
200.0	2263
212.0	2172
73.0	2159
208.0	2121
81.0	2119
216.0	1992
224.0	1990
220.0	1955
228.0	1737
97.0	1698
240.0	1678
232.0	1677
236.0	1642
252.0	1623
244.0	1531
248.0	1516
65.0	1456
260.0	1446
31.0	1420
264.0	1392
53.0	1371
256.0	1287
61.0	1257
14.0	1252
105.0	1248
89.0	1234
268.0	1234
272.0	1232
284.0	1157
276.0	1122
41.0	1104
9.0	1082
93.0	1030
280.0	1028
77.0	1013
129.0	984
113.0	978
69.0	972
45.0	962
292.0	954
288.0	950
26.0	926
20.0	918
296.0	914
300.0	887
121.0	869
7.0	813
312.0	763
101.0	749
304.0	747
308.0	729
109.0	726
316.0	702
85.0	699
29.0	692
37.0	688
58.0	665
50.0	654
117.0	644
320.0	623
33.0	598
82.0	598
125.0	596
137.0	587
324.0	584
11.0	579
15.0	577
153.0	554
74.0	553
328.0	548
332.0	525
133.0	525
157.0	513
141.0	508
66.0	504
336.0	493
145.0	487
149.0	484
165.0	471
98.0	469
161.0	464
340.0	454
169.0	445
21.0	436
173.0	422
185.0	402
90.0	398
22.0	386
54.0	386
348.0	383
189.0	366
181.0	356
177.0	355
193.0	350
27.0	350
106.0	342
197.0	337
344.0	337
42.0	336
114.0	325
35.0	319
70.0	318
62.0	314
356.0	311
78.0	310
352.0	308
201.0	284
86.0	283
209.0	282
94.0	272
213.0	270
225.0	269
38.0	269
51.0	267
360.0	267
46.0	264
102.0	255
118.0	254
205.0	252
67.0	250
253.0	245
233.0	243
217.0	239
237.0	238
122.0	233
130.0	232
59.0	231
368.0	228
43.0	227
83.0	226
221.0	224
34.0	224
110.0	218
138.0	217
229.0	216
91.0	215
364.0	213
75.0	212
126.0	211
241.0	210
372.0	207
142.0	201
261.0	194
150.0	194
17.0	194
265.0	192
162.0	192
55.0	191
245.0	191
257.0	188
376.0	186
269.0	185
39.0	185
134.0	185
146.0	180
174.0	176
16.0	176
95.0	174
170.0	173
99.0	170
71.0	169
154.0	163
273.0	162
63.0	161
158.0	160
285.0	156
115.0	152
123.0	152
249.0	151
190.0	150
107.0	148
87.0	147
317.0	144
380.0	143
166.0	143
47.0	142
289.0	140
293.0	139
281.0	138
301.0	136
277.0	133
79.0	132
119.0	130
198.0	129
127.0	127
103.0	125
182.0	123
309.0	122
384.0	122
186.0	121
210.0	120
202.0	119
131.0	119
111.0	118
305.0	112
388.0	111
139.0	107
206.0	107
297.0	105
178.0	105
147.0	103
214.0	99
226.0	98
143.0	98
222.0	97
392.0	95
23.0	94
194.0	93
396.0	91
242.0	90
321.0	89
325.0	87
135.0	86
254.0	85
404.0	84
230.0	82
313.0	82
333.0	81
155.0	81
159.0	81
238.0	79
329.0	78
234.0	77
151.0	76
187.0	74
218.0	74
171.0	72
199.0	72
349.0	72
163.0	71
258.0	70
167.0	69
408.0	68
246.0	68
183.0	67
400.0	66
286.0	66
266.0	66
341.0	65
337.0	65
345.0	64
179.0	63
191.0	62
270.0	61
215.0	60
412.0	60
250.0	60
420.0	59
262.0	58
175.0	57
203.0	57
436.0	51
294.0	51
416.0	51
428.0	49
373.0	49
365.0	48
302.0	47
278.0	47
195.0	45
361.0	45
353.0	44
207.0	44
424.0	43
290.0	43
282.0	42
440.0	41
369.0	41
251.0	41
235.0	40
432.0	40
298.0	39
310.0	39
306.0	38
211.0	38
223.0	37
357.0	36
239.0	36
444.0	35
231.0	35
227.0	35
385.0	35
381.0	34
299.0	34
338.0	33
314.0	32
219.0	32
460.0	31
259.0	31
291.0	31
274.0	31
275.0	30
464.0	30
452.0	30
255.0	30
389.0	29
271.0	28
417.0	28
456.0	28
401.0	28
377.0	28
295.0	27
318.0	27
508.0	26
279.0	26
267.0	26
448.0	25
247.0	25
326.0	25
472.0	25
342.0	25
414.0	24
322.0	24
393.0	24
366.0	22
457.0	22
350.0	22
468.0	22
378.0	21
394.0	21
263.0	21
243.0	21
390.0	20
354.0	20
334.0	20
397.0	20
500.0	20
330.0	20
437.0	19
383.0	18
413.0	18
406.0	18
287.0	18
516.0	18
359.0	17
307.0	17
470.0	16
339.0	16
441.0	16
303.0	16
484.0	16
453.0	16
421.0	16
410.0	16
492.0	15
480.0	15
405.0	15
355.0	15
319.0	15
331.0	15
315.0	14
283.0	14
323.0	14
358.0	14
346.0	14
374.0	14
509.0	13
398.0	13
438.0	13
461.0	13
386.0	13
469.0	12
425.0	12
409.0	12
382.0	11
488.0	11
429.0	11
541.0	11
529.0	11
465.0	11
379.0	11
362.0	11
433.0	11
403.0	11
534.0	11
351.0	11
430.0	11
476.0	11
426.0	10
445.0	10
497.0	10
466.0	10
387.0	10
402.0	10
371.0	10
479.0	10
454.0	9
449.0	9
540.0	9
486.0	9
327.0	9
458.0	9
504.0	9
512.0	9
343.0	9
505.0	9
632.0	9
375.0	9
556.0	9
474.0	9
481.0	9
593.0	9
564.0	9
415.0	8
434.0	8
450.0	8
510.0	8
311.0	8
517.0	8
503.0	7
577.0	7
335.0	7
478.0	7
482.0	7
442.0	7
561.0	7
407.0	7
565.0	7
528.0	7
370.0	7
347.0	7
422.0	7
588.0	6
418.0	6
496.0	6
544.0	6
586.0	6
574.0	6
530.0	6
798.0	6
524.0	6
487.0	6
637.0	6
435.0	6
597.0	6
477.0	6
569.0	6
532.0	6
459.0	6
367.0	6
446.0	6
399.0	5
439.0	5
578.0	5
778.0	5
527.0	5
498.0	5
546.0	5
552.0	5
511.0	5
501.0	5
815.0	5
647.0	5
752.0	5
489.0	5
594.0	5
688.0	5
515.0	5
576.0	5
493.0	5
533.0	5
584.0	5
462.0	5
595.0	5
467.0	4
610.0	4
783.0	4
473.0	4
580.0	4
724.0	4
391.0	4
609.0	4
526.0	4
613.0	4
553.0	4
523.0	4
583.0	4
849.0	4
726.0	4
549.0	4
431.0	4
804.0	4
567.0	4
506.0	4
490.0	4
723.0	4
518.0	4
628.0	4
443.0	4
711.0	4
677.0	4
925.0	4
601.0	4
646.0	4
621.0	4
522.0	4
604.0	4
572.0	4
485.0	4
625.0	4
642.0	4
664.0	3
592.0	3
750.0	3
653.0	3
411.0	3
600.0	3
543.0	3
624.0	3
682.0	3
519.0	3
644.0	3
599.0	3
463.0	3
741.0	3
623.0	3
691.0	3
791.0	3
563.0	3
756.0	3
483.0	3
662.0	3
560.0	3
499.0	3
558.0	3
537.0	3
555.0	3
551.0	3
701.0	3
745.0	3
582.0	3
608.0	3
769.0	3
495.0	3
746.0	3
615.0	3
706.0	3
718.0	3
502.0	3
611.0	3
573.0	3
785.0	3
571.0	3
602.0	3
494.0	3
693.0	3
862.0	3
906.0	3
363.0	3
471.0	3
728.0	3
660.0	3
575.0	2
566.0	2
619.0	2
784.0	2
747.0	2
699.0	2
513.0	2
964.0	2
652.0	2
860.0	2
868.0	2
795.0	2
1159.0	2
545.0	2
992.0	2
696.0	2
1022.0	2
735.0	2
395.0	2
423.0	2
1321.0	2
559.0	2
648.0	2
692.0	2
971.0	2
716.0	2
744.0	2
616.0	2
620.0	2
1352.0	2
645.0	2
562.0	2
694.0	2
1028.0	2
596.0	2
708.0	2
897.0	2
419.0	2
668.0	2
931.0	2
669.0	2
536.0	2
810.0	2
614.0	2
707.0	2
775.0	2
579.0	2
866.0	2
626.0	2
667.0	2
447.0	2
520.0	2
1001.0	2
676.0	2
672.0	2
514.0	2
773.0	2
1026.0	2
1183.0	2
1056.0	2
673.0	2
928.0	2
634.0	2
657.0	2
837.0	2
638.0	2
666.0	2
777.0	2
690.0	2
618.0	2
525.0	2
678.0	2
1043.0	2
680.0	2
993.0	2
631.0	2
985.0	2
793.0	2
739.0	2
936.0	2
822.0	2
531.0	2
1062.0	2
650.0	2
774.0	2
641.0	2
606.0	2
598.0	2
1552.0	2
554.0	2
627.0	2
427.0	2
830.0	2
665.0	2
1066.0	2
451.0	2
700.0	2
1301.0	2
712.0	2
521.0	2
548.0	2
1069.0	1
722.0	1
538.0	1
1146.0	1
751.0	1
1412.0	1
590.0	1
969.0	1
841.0	1
589.0	1
973.0	1
655.0	1
980.0	1
1073.0	1
770.0	1
649.0	1
1178.0	1
990.0	1
729.0	1
874.0	1
1140.0	1
909.0	1
898.0	1
612.0	1
835.0	1
695.0	1
1000.0	1
827.0	1
792.0	1
1119.0	1
736.0	1
965.0	1
1021.0	1
550.0	1
709.0	1
654.0	1
697.0	1
635.0	1
797.0	1
842.0	1
689.0	1
801.0	1
768.0	1
918.0	1
772.0	1
687.0	1
818.0	1
916.0	1
869.0	1
870.0	1
651.0	1
899.0	1
806.0	1
674.0	1
629.0	1
821.0	1
896.0	1
630.0	1
802.0	1
776.0	1
1408.0	1
730.0	1
1095.0	1
1509.0	1
661.0	1
903.0	1
794.0	1
1154.0	1
758.0	1
950.0	1
911.0	1
832.0	1
656.0	1
603.0	1
1292.0	1
945.0	1
605.0	1
742.0	1
846.0	1
930.0	1
670.0	1
720.0	1
714.0	1
1082.0	1
1481.0	1
539.0	1
1162.0	1
681.0	1
542.0	1
686.0	1
819.0	1
978.0	1
891.0	1
782.0	1
823.0	1
617.0	1
1111.0	1
675.0	1
455.0	1
727.0	1
1176.0	1
