Value	Count
3.0	15886
6.0	13069
2.0	12987
7.0	10461
52.0	10182
48.0	9711
4.0	8973
60.0	8652
8.0	8452
64.0	7461
30.0	6852
72.0	6655
5.0	6607
96.0	6422
84.0	6407
14.0	6211
76.0	6003
80.0	5649
124.0	5374
88.0	4782
100.0	4684
9.0	4652
136.0	4363
108.0	4202
148.0	4113
112.0	3868
156.0	3836
116.0	3767
33.0	3675
104.0	3627
160.0	3420
164.0	3377
208.0	3230
176.0	3222
172.0	3183
128.0	3033
120.0	3024
132.0	2972
144.0	2943
220.0	2852
188.0	2801
180.0	2757
140.0	2728
248.0	2710
20.0	2616
196.0	2609
192.0	2598
56.0	2566
240.0	2482
204.0	2385
232.0	2350
200.0	2314
92.0	2307
152.0	2256
216.0	2144
168.0	2052
68.0	2048
228.0	1939
224.0	1932
256.0	1893
288.0	1892
244.0	1888
264.0	1839
184.0	1796
272.0	1720
268.0	1664
236.0	1650
276.0	1630
308.0	1589
12.0	1561
280.0	1545
316.0	1515
296.0	1422
252.0	1364
292.0	1356
260.0	1326
300.0	1300
328.0	1294
212.0	1281
304.0	1279
360.0	1268
340.0	1256
332.0	1241
18.0	1209
312.0	1177
344.0	1176
348.0	1141
320.0	1064
380.0	1056
368.0	1044
284.0	1037
324.0	1035
352.0	1035
388.0	985
364.0	983
372.0	930
392.0	929
336.0	914
384.0	891
376.0	877
408.0	871
412.0	838
396.0	836
420.0	811
356.0	806
428.0	796
440.0	795
416.0	788
10.0	776
424.0	736
452.0	720
432.0	695
400.0	691
456.0	684
404.0	681
468.0	670
444.0	635
480.0	620
472.0	616
504.0	605
496.0	593
464.0	589
484.0	582
436.0	579
460.0	553
448.0	515
476.0	498
488.0	498
520.0	497
524.0	474
528.0	470
492.0	464
568.0	456
508.0	450
512.0	447
536.0	443
552.0	438
584.0	432
548.0	431
500.0	428
11.0	427
532.0	420
544.0	412
16.0	405
516.0	399
564.0	386
576.0	383
600.0	376
560.0	366
628.0	363
592.0	362
604.0	356
540.0	356
556.0	343
612.0	332
22.0	329
652.0	328
596.0	318
588.0	317
616.0	314
644.0	307
620.0	306
572.0	304
656.0	296
608.0	293
624.0	286
672.0	279
44.0	278
636.0	277
640.0	269
632.0	267
580.0	256
660.0	255
684.0	238
21.0	228
700.0	228
664.0	228
668.0	219
40.0	214
676.0	208
648.0	203
696.0	199
688.0	194
680.0	194
724.0	184
708.0	183
716.0	177
692.0	177
712.0	174
720.0	165
736.0	159
728.0	156
704.0	156
732.0	152
740.0	151
744.0	141
752.0	138
756.0	137
780.0	136
15.0	131
27.0	128
55.0	125
764.0	117
748.0	117
776.0	114
24.0	112
768.0	110
760.0	106
13.0	105
78.0	102
66.0	95
788.0	94
772.0	90
796.0	89
51.0	87
808.0	87
804.0	84
90.0	82
792.0	82
820.0	81
67.0	81
1020.0	80
784.0	80
828.0	78
812.0	78
82.0	76
28.0	75
114.0	75
102.0	72
75.0	72
59.0	68
36.0	68
63.0	67
836.0	66
126.0	65
800.0	64
74.0	64
71.0	63
54.0	62
106.0	61
824.0	61
87.0	61
162.0	60
130.0	59
142.0	58
174.0	56
62.0	56
17.0	56
816.0	55
844.0	55
110.0	55
83.0	54
34.0	54
118.0	53
194.0	52
70.0	52
182.0	52
270.0	51
98.0	50
186.0	50
864.0	49
178.0	49
58.0	49
37.0	48
79.0	48
150.0	48
170.0	47
99.0	46
250.0	45
86.0	45
154.0	44
91.0	43
226.0	43
856.0	43
158.0	43
852.0	43
122.0	42
246.0	42
222.0	41
19.0	41
138.0	41
202.0	41
234.0	40
876.0	40
888.0	39
258.0	38
146.0	38
50.0	37
190.0	37
107.0	37
94.0	37
868.0	36
166.0	36
848.0	36
134.0	35
103.0	35
302.0	33
95.0	32
135.0	32
151.0	32
896.0	32
860.0	32
916.0	32
832.0	31
139.0	31
254.0	30
924.0	30
900.0	30
211.0	30
210.0	29
880.0	29
47.0	28
840.0	28
127.0	28
218.0	28
198.0	28
81.0	28
115.0	28
294.0	27
97.0	27
143.0	27
892.0	26
206.0	26
278.0	26
230.0	26
908.0	26
306.0	26
282.0	26
85.0	25
884.0	25
330.0	24
214.0	24
26.0	24
326.0	23
109.0	23
32.0	23
366.0	23
111.0	23
163.0	23
57.0	23
23.0	22
920.0	22
101.0	22
119.0	22
912.0	22
93.0	21
105.0	21
123.0	21
238.0	21
944.0	21
872.0	21
117.0	20
940.0	20
374.0	20
159.0	20
274.0	20
928.0	20
960.0	19
147.0	19
266.0	19
167.0	19
183.0	19
936.0	19
39.0	19
262.0	18
318.0	18
38.0	18
904.0	18
129.0	17
121.0	17
948.0	17
131.0	17
239.0	17
255.0	17
35.0	17
290.0	17
61.0	17
286.0	17
298.0	16
73.0	16
153.0	16
932.0	16
338.0	16
354.0	16
169.0	16
952.0	16
486.0	15
996.0	15
89.0	15
225.0	15
242.0	15
207.0	15
141.0	15
155.0	15
1016.0	15
199.0	14
271.0	14
398.0	14
386.0	14
235.0	14
227.0	14
181.0	14
251.0	14
53.0	14
253.0	14
426.0	14
157.0	13
145.0	13
69.0	13
567.0	13
247.0	13
956.0	13
972.0	13
314.0	13
322.0	13
462.0	13
287.0	13
179.0	13
223.0	13
243.0	13
331.0	13
113.0	13
1052.0	13
311.0	13
342.0	13
171.0	13
65.0	12
378.0	12
201.0	12
714.0	12
265.0	12
334.0	12
43.0	12
402.0	12
1000.0	12
215.0	12
175.0	12
203.0	11
173.0	11
438.0	11
177.0	11
307.0	11
964.0	11
382.0	11
546.0	11
346.0	11
189.0	11
195.0	11
494.0	11
514.0	10
217.0	10
550.0	10
237.0	10
185.0	10
137.0	10
430.0	10
370.0	10
319.0	10
317.0	10
259.0	10
411.0	10
77.0	10
627.0	10
279.0	10
458.0	10
1012.0	10
427.0	9
362.0	9
42.0	9
187.0	9
1008.0	9
277.0	9
992.0	9
387.0	9
594.0	9
358.0	9
976.0	9
193.0	9
149.0	9
273.0	9
968.0	9
418.0	9
1040.0	9
984.0	9
231.0	9
466.0	9
434.0	9
980.0	9
213.0	9
313.0	9
1108.0	9
303.0	9
275.0	9
29.0	9
526.0	8
1004.0	8
191.0	8
470.0	8
1180.0	8
25.0	8
606.0	8
391.0	8
45.0	8
315.0	8
333.0	8
363.0	8
161.0	8
1124.0	8
233.0	8
289.0	8
219.0	8
410.0	8
133.0	8
375.0	8
283.0	7
442.0	7
690.0	7
582.0	7
197.0	7
527.0	7
49.0	7
1088.0	7
269.0	7
635.0	7
399.0	7
241.0	7
381.0	7
443.0	7
563.0	7
209.0	7
502.0	7
587.0	7
125.0	7
339.0	7
229.0	7
626.0	7
425.0	7
310.0	7
414.0	7
379.0	7
630.0	7
355.0	6
431.0	6
450.0	6
371.0	6
165.0	6
715.0	6
655.0	6
558.0	6
530.0	6
598.0	6
618.0	6
394.0	6
575.0	6
409.0	6
538.0	6
490.0	6
299.0	6
406.0	6
554.0	6
482.0	6
506.0	6
357.0	6
471.0	6
742.0	6
703.0	6
385.0	6
257.0	6
347.0	6
295.0	6
478.0	6
345.0	6
221.0	6
291.0	6
666.0	6
323.0	6
663.0	6
574.0	6
474.0	5
1140.0	5
774.0	5
421.0	5
1096.0	5
373.0	5
305.0	5
327.0	5
510.0	5
1048.0	5
350.0	5
798.0	5
603.0	5
267.0	5
263.0	5
390.0	5
389.0	5
1064.0	5
622.0	5
1152.0	5
205.0	5
631.0	5
578.0	5
423.0	5
687.0	5
818.0	5
1136.0	5
349.0	5
1056.0	5
245.0	5
522.0	5
988.0	5
249.0	5
786.0	5
46.0	5
377.0	5
586.0	5
662.0	5
367.0	5
531.0	5
806.0	5
518.0	5
542.0	5
325.0	5
285.0	4
487.0	4
534.0	4
815.0	4
854.0	4
535.0	4
570.0	4
281.0	4
762.0	4
543.0	4
599.0	4
1024.0	4
846.0	4
610.0	4
523.0	4
498.0	4
939.0	4
1484.0	4
31.0	4
321.0	4
562.0	4
1188.0	4
1120.0	4
675.0	4
351.0	4
1080.0	4
966.0	4
1072.0	4
1688.0	4
415.0	4
1324.0	4
674.0	4
1084.0	4
261.0	4
309.0	4
591.0	4
1540.0	4
794.0	4
850.0	4
691.0	4
429.0	4
511.0	4
293.0	4
1026.0	4
475.0	4
559.0	4
403.0	4
473.0	3
771.0	3
1364.0	3
451.0	3
446.0	3
561.0	3
710.0	3
907.0	3
479.0	3
417.0	3
731.0	3
1293.0	3
597.0	3
557.0	3
790.0	3
726.0	3
1028.0	3
593.0	3
755.0	3
738.0	3
719.0	3
455.0	3
634.0	3
611.0	3
874.0	3
651.0	3
671.0	3
447.0	3
1172.0	3
329.0	3
407.0	3
433.0	3
654.0	3
658.0	3
1284.0	3
1228.0	3
735.0	3
1184.0	3
810.0	3
469.0	3
393.0	3
822.0	3
297.0	3
1256.0	3
1400.0	3
694.0	3
722.0	3
678.0	3
646.0	3
439.0	3
1160.0	3
459.0	3
870.0	3
533.0	3
679.0	3
1208.0	3
503.0	3
547.0	3
1044.0	3
1176.0	3
1780.0	3
365.0	3
607.0	3
734.0	3
994.0	2
667.0	2
609.0	2
614.0	2
595.0	2
602.0	2
499.0	2
1296.0	2
686.0	2
793.0	2
1164.0	2
467.0	2
1248.0	2
919.0	2
787.0	2
1178.0	2
1076.0	2
1352.0	2
1128.0	2
1692.0	2
1092.0	2
1241.0	2
1086.0	2
1260.0	2
513.0	2
437.0	2
539.0	2
395.0	2
463.0	2
982.0	2
1036.0	2
2040.0	2
1242.0	2
545.0	2
1304.0	2
1224.0	2
397.0	2
454.0	2
457.0	2
581.0	2
642.0	2
571.0	2
1244.0	2
369.0	2
41.0	2
699.0	2
862.0	2
831.0	2
583.0	2
1328.0	2
918.0	2
1684.0	2
493.0	2
441.0	2
337.0	2
1412.0	2
782.0	2
1476.0	2
702.0	2
681.0	2
579.0	2
659.0	2
1274.0	2
1232.0	2
335.0	2
1674.0	2
1276.0	2
435.0	2
1760.0	2
1200.0	2
1650.0	2
899.0	2
1446.0	2
1032.0	2
942.0	2
519.0	2
1372.0	2
405.0	2
1448.0	2
725.0	2
838.0	2
770.0	2
1740.0	2
986.0	2
1132.0	2
483.0	2
617.0	2
1316.0	2
1450.0	2
1520.0	2
1264.0	2
551.0	2
750.0	2
1142.0	2
449.0	2
683.0	2
1562.0	2
758.0	2
1148.0	2
1440.0	2
1336.0	2
1027.0	2
1022.0	2
834.0	2
1420.0	2
343.0	2
497.0	2
1116.0	2
1206.0	2
521.0	2
747.0	2
743.0	2
1212.0	2
857.0	2
569.0	2
879.0	2
823.0	2
1251.0	2
1460.0	2
1167.0	2
785.0	2
953.0	1
926.0	1
1678.0	1
529.0	1
1588.0	1
1360.0	1
707.0	1
697.0	1
589.0	1
685.0	1
1705.0	1
577.0	1
649.0	1
1265.0	1
825.0	1
1636.0	1
1240.0	1
1168.0	1
811.0	1
1344.0	1
802.0	1
481.0	1
525.0	1
875.0	1
641.0	1
2336.0	1
601.0	1
843.0	1
1333.0	1
906.0	1
