Value	Count
4.0	62030
2.0	30452
3.0	26278
8.0	20525
7.0	17045
6.0	14050
5.0	13980
10.0	11665
14.0	11119
20.0	9204
9.0	7802
13.0	7779
12.0	7760
148.0	7447
24.0	7240
15.0	7187
124.0	6417
28.0	6238
16.0	6151
18.0	5773
176.0	5437
11.0	5396
29.0	5356
128.0	5292
21.0	5253
132.0	5059
188.0	4856
30.0	4781
136.0	4638
140.0	4518
268.0	4386
200.0	4333
208.0	4217
19.0	4199
220.0	4171
156.0	3841
22.0	3830
32.0	3814
152.0	3797
25.0	3734
224.0	3673
236.0	3565
160.0	3480
164.0	3411
232.0	3383
17.0	3342
168.0	3337
248.0	3330
244.0	3277
252.0	3261
27.0	3224
23.0	3157
304.0	3141
260.0	3118
172.0	3117
256.0	3114
180.0	2857
26.0	2839
276.0	2806
316.0	2800
38.0	2751
184.0	2708
272.0	2699
42.0	2620
280.0	2602
40.0	2514
332.0	2508
192.0	2481
328.0	2479
284.0	2451
196.0	2416
288.0	2360
204.0	2327
376.0	2294
340.0	2274
300.0	2257
292.0	2257
296.0	2251
348.0	2229
216.0	2202
352.0	2188
228.0	2176
212.0	2114
308.0	2092
48.0	2057
52.0	1997
240.0	1943
312.0	1943
368.0	1938
360.0	1936
324.0	1928
54.0	1908
50.0	1882
364.0	1846
412.0	1831
320.0	1807
380.0	1805
384.0	1706
336.0	1686
424.0	1633
396.0	1615
388.0	1610
344.0	1597
264.0	1590
392.0	1578
432.0	1560
400.0	1545
468.0	1523
440.0	1521
404.0	1500
452.0	1493
488.0	1488
356.0	1474
87.0	1473
408.0	1464
372.0	1417
420.0	1417
456.0	1403
416.0	1394
496.0	1382
472.0	1372
144.0	1364
460.0	1360
428.0	1259
480.0	1250
444.0	1249
504.0	1238
90.0	1167
436.0	1159
484.0	1147
448.0	1143
532.0	1123
520.0	1098
508.0	1091
528.0	1070
1020.0	1061
540.0	1033
464.0	1031
512.0	1009
564.0	1005
584.0	996
552.0	991
560.0	982
476.0	975
592.0	958
544.0	951
568.0	947
604.0	931
524.0	930
572.0	920
516.0	906
576.0	887
536.0	877
612.0	866
628.0	846
492.0	846
596.0	844
500.0	836
644.0	826
548.0	818
600.0	791
608.0	777
556.0	773
652.0	754
624.0	744
588.0	732
616.0	727
636.0	725
632.0	710
580.0	707
672.0	703
656.0	683
684.0	682
620.0	677
668.0	660
700.0	658
708.0	641
680.0	637
664.0	637
724.0	617
648.0	606
696.0	605
716.0	586
728.0	577
688.0	574
704.0	573
660.0	570
732.0	569
676.0	549
712.0	536
36.0	530
748.0	526
640.0	518
744.0	514
796.0	513
692.0	509
60.0	507
720.0	504
740.0	503
58.0	497
736.0	476
31.0	474
780.0	469
752.0	467
784.0	455
760.0	449
788.0	438
768.0	436
808.0	432
756.0	427
776.0	426
772.0	426
46.0	417
764.0	407
804.0	401
342.0	397
792.0	396
318.0	394
126.0	393
330.0	389
334.0	388
350.0	387
800.0	380
820.0	370
828.0	368
812.0	361
306.0	360
378.0	356
844.0	351
836.0	344
852.0	339
864.0	337
44.0	333
832.0	323
362.0	323
370.0	321
816.0	320
386.0	312
326.0	310
34.0	309
426.0	305
354.0	305
876.0	304
414.0	298
840.0	293
824.0	289
322.0	285
860.0	280
298.0	279
888.0	277
390.0	277
454.0	275
872.0	273
442.0	272
338.0	272
358.0	270
856.0	268
290.0	267
346.0	267
410.0	266
394.0	265
382.0	265
366.0	264
398.0	263
406.0	262
56.0	257
286.0	257
294.0	256
848.0	252
402.0	249
434.0	247
470.0	247
374.0	247
314.0	245
302.0	241
490.0	239
134.0	239
462.0	237
498.0	236
146.0	234
908.0	233
458.0	232
310.0	230
892.0	225
138.0	225
422.0	224
130.0	222
474.0	217
418.0	217
900.0	214
896.0	210
884.0	209
438.0	207
868.0	204
142.0	202
33.0	196
912.0	193
430.0	189
916.0	188
466.0	187
920.0	184
522.0	184
904.0	180
482.0	179
924.0	179
158.0	177
446.0	177
486.0	174
880.0	174
282.0	172
546.0	170
948.0	170
150.0	168
518.0	165
450.0	162
506.0	162
530.0	159
510.0	158
542.0	157
526.0	155
57.0	155
478.0	154
154.0	154
936.0	152
928.0	148
514.0	145
81.0	143
534.0	142
494.0	141
964.0	141
940.0	139
932.0	138
39.0	134
944.0	125
78.0	123
960.0	121
1024.0	119
502.0	119
63.0	117
538.0	116
162.0	115
956.0	114
972.0	113
35.0	112
952.0	112
166.0	107
178.0	106
984.0	104
996.0	97
62.0	96
170.0	94
976.0	94
72.0	94
174.0	92
968.0	91
75.0	90
980.0	90
45.0	85
37.0	85
84.0	84
1000.0	83
992.0	82
190.0	80
66.0	80
602.0	80
1022.0	79
606.0	79
222.0	79
554.0	78
562.0	77
550.0	76
630.0	75
598.0	72
988.0	70
1008.0	69
194.0	69
638.0	69
64.0	68
570.0	68
610.0	68
1012.0	68
558.0	67
278.0	67
1016.0	66
582.0	66
590.0	65
226.0	64
198.0	64
182.0	64
186.0	64
614.0	62
41.0	62
51.0	62
566.0	61
594.0	60
1004.0	60
218.0	57
69.0	57
116.0	57
674.0	57
706.0	57
574.0	56
214.0	56
206.0	56
230.0	56
634.0	56
262.0	55
210.0	55
202.0	55
578.0	54
710.0	54
662.0	53
646.0	53
702.0	53
622.0	53
658.0	52
686.0	51
76.0	51
238.0	51
670.0	51
47.0	49
91.0	49
254.0	49
626.0	49
654.0	49
258.0	48
94.0	48
274.0	48
722.0	47
155.0	47
698.0	47
650.0	47
234.0	46
53.0	46
618.0	46
714.0	46
266.0	46
43.0	45
250.0	45
270.0	44
96.0	44
242.0	44
120.0	44
68.0	43
766.0	42
666.0	42
690.0	42
726.0	42
730.0	42
678.0	42
682.0	41
55.0	40
586.0	40
754.0	38
167.0	37
246.0	37
151.0	37
49.0	37
786.0	36
798.0	36
139.0	36
718.0	36
367.0	36
694.0	36
67.0	35
642.0	35
746.0	34
814.0	34
742.0	34
838.0	34
135.0	33
108.0	33
866.0	33
65.0	32
80.0	32
778.0	31
734.0	31
131.0	30
159.0	30
750.0	30
770.0	30
143.0	30
738.0	30
287.0	30
70.0	29
834.0	29
104.0	29
850.0	29
61.0	29
758.0	28
846.0	28
92.0	28
818.0	28
343.0	27
179.0	27
59.0	27
830.0	27
822.0	27
1028.0	27
894.0	27
878.0	27
762.0	27
147.0	26
862.0	26
782.0	26
197.0	26
112.0	26
403.0	25
171.0	25
195.0	25
291.0	25
191.0	25
810.0	25
1040.0	25
185.0	24
938.0	24
854.0	24
163.0	24
886.0	24
339.0	23
183.0	23
153.0	23
890.0	23
201.0	23
175.0	23
133.0	22
898.0	22
83.0	22
315.0	22
127.0	22
391.0	22
842.0	22
1044.0	22
359.0	22
347.0	21
802.0	21
181.0	21
1026.0	21
331.0	21
100.0	21
311.0	21
85.0	21
371.0	20
229.0	20
874.0	20
323.0	20
247.0	20
958.0	20
774.0	20
295.0	20
826.0	20
974.0	19
137.0	19
161.0	19
307.0	19
363.0	19
193.0	19
305.0	19
351.0	19
187.0	19
882.0	19
303.0	19
74.0	19
269.0	19
954.0	18
790.0	18
806.0	18
211.0	18
1056.0	18
79.0	18
1032.0	18
1023.0	18
237.0	18
82.0	18
93.0	18
215.0	17
145.0	17
383.0	17
89.0	17
223.0	17
966.0	17
319.0	17
177.0	17
239.0	17
149.0	16
1030.0	16
942.0	16
235.0	16
141.0	16
335.0	16
173.0	16
375.0	16
157.0	16
1072.0	16
914.0	16
233.0	16
1048.0	15
858.0	15
982.0	15
439.0	15
255.0	15
355.0	15
443.0	15
207.0	15
389.0	15
411.0	15
95.0	15
245.0	15
169.0	15
902.0	15
88.0	14
209.0	14
870.0	14
165.0	14
447.0	14
910.0	14
203.0	14
387.0	14
353.0	14
1168.0	14
794.0	14
345.0	14
333.0	14
1108.0	14
381.0	14
283.0	14
205.0	13
281.0	13
219.0	13
267.0	13
435.0	13
978.0	13
1132.0	13
189.0	13
994.0	13
213.0	13
71.0	13
379.0	13
257.0	13
98.0	13
419.0	13
129.0	12
385.0	12
231.0	12
615.0	12
1036.0	12
349.0	12
595.0	12
407.0	12
397.0	12
413.0	12
399.0	12
313.0	12
950.0	12
263.0	12
251.0	12
199.0	12
423.0	12
1212.0	12
543.0	12
934.0	11
373.0	11
421.0	11
299.0	11
998.0	11
1216.0	11
301.0	11
437.0	11
1112.0	11
329.0	11
271.0	11
791.0	11
507.0	11
86.0	11
930.0	11
279.0	11
473.0	11
357.0	11
325.0	11
1100.0	11
922.0	11
327.0	10
277.0	10
341.0	10
603.0	10
463.0	10
361.0	10
265.0	10
487.0	10
451.0	10
1046.0	10
467.0	10
926.0	10
415.0	10
1034.0	10
249.0	10
1156.0	10
110.0	10
489.0	10
547.0	10
471.0	10
1120.0	9
619.0	9
395.0	9
427.0	9
77.0	9
1240.0	9
111.0	9
755.0	9
431.0	9
1104.0	9
579.0	9
1018.0	9
243.0	9
221.0	9
906.0	9
525.0	9
227.0	9
459.0	9
1188.0	9
118.0	8
225.0	8
259.0	8
505.0	8
393.0	8
479.0	8
1182.0	8
1204.0	8
1006.0	8
1078.0	8
990.0	8
1080.0	8
549.0	8
321.0	8
309.0	8
567.0	8
515.0	8
503.0	8
1010.0	8
275.0	8
365.0	8
499.0	8
555.0	8
441.0	8
1060.0	8
599.0	8
491.0	8
1228.0	8
1064.0	8
409.0	8
1052.0	8
