Value	Count
48.0	16831
52.0	14272
96.0	13839
88.0	13327
72.0	13138
40.0	12904
60.0	12753
76.0	12747
64.0	12548
84.0	12381
80.0	12370
24.0	12367
104.0	12116
92.0	12030
108.0	11743
32.0	11410
112.0	11107
68.0	11066
56.0	10588
36.0	10531
100.0	10279
120.0	9461
116.0	9228
124.0	8849
44.0	8732
128.0	8575
136.0	7834
132.0	7808
140.0	7704
28.0	7206
144.0	7183
152.0	6995
164.0	6907
156.0	6851
160.0	6794
224.0	6596
148.0	6579
125.0	6359
150.0	6097
172.0	6037
168.0	6023
176.0	5929
236.0	5849
179.0	5706
180.0	5615
158.0	5462
228.0	5409
191.0	5396
188.0	5250
232.0	5180
184.0	5133
196.0	4775
129.0	4597
192.0	4586
204.0	4404
284.0	4389
279.0	4356
208.0	4329
200.0	4276
212.0	4220
183.0	4198
195.0	4109
288.0	4107
216.0	3971
154.0	3953
30.0	3791
137.0	3788
220.0	3784
240.0	3702
253.0	3519
244.0	3479
226.0	3458
248.0	3429
252.0	3419
166.0	3414
205.0	3405
211.0	3379
162.0	3379
174.0	3328
213.0	3324
280.0	3313
292.0	3303
264.0	3293
308.0	3288
312.0	3277
316.0	3248
260.0	3214
134.0	3181
230.0	3162
187.0	3061
268.0	3034
138.0	3001
275.0	2998
304.0	2935
272.0	2899
245.0	2895
142.0	2885
256.0	2845
262.0	2769
259.0	2695
31.0	2679
243.0	2678
276.0	2669
270.0	2657
263.0	2650
436.0	2624
440.0	2617
271.0	2596
356.0	2574
207.0	2548
50.0	2546
267.0	2507
199.0	2499
295.0	2499
203.0	2477
54.0	2440
341.0	2426
239.0	2403
121.0	2385
133.0	2367
219.0	2296
300.0	2282
145.0	2282
372.0	2273
62.0	2265
149.0	2262
287.0	2250
306.0	2234
296.0	2231
209.0	2227
283.0	2214
141.0	2202
234.0	2160
170.0	2150
449.0	2136
201.0	2108
167.0	2103
298.0	2082
266.0	2072
299.0	2068
249.0	2062
175.0	2054
302.0	2049
163.0	2030
255.0	2018
117.0	2011
258.0	2006
171.0	2004
241.0	1996
325.0	1987
338.0	1981
376.0	1930
82.0	1910
342.0	1887
364.0	1879
360.0	1879
412.0	1876
247.0	1871
98.0	1867
90.0	1851
350.0	1836
74.0	1824
320.0	1817
387.0	1799
217.0	1784
333.0	1777
222.0	1769
337.0	1762
78.0	1757
383.0	1754
428.0	1707
336.0	1702
359.0	1682
86.0	1680
291.0	1663
324.0	1657
340.0	1655
402.0	1650
399.0	1649
66.0	1646
345.0	1641
502.0	1640
251.0	1634
385.0	1609
406.0	1596
