Value	Count
3.0	26485
24.0	23480
2.0	21447
40.0	18417
48.0	17919
32.0	16279
72.0	16065
64.0	15227
88.0	15189
36.0	15098
56.0	14691
92.0	14432
80.0	14374
52.0	13397
68.0	13378
104.0	13311
96.0	12773
76.0	12201
60.0	11968
84.0	11961
108.0	11792
120.0	11609
112.0	11576
28.0	11370
44.0	11070
19.0	10983
12.0	10498
124.0	10353
116.0	10259
128.0	10111
100.0	9399
136.0	9131
132.0	9004
140.0	8637
6.0	8334
144.0	8296
13.0	8279
152.0	7677
18.0	7591
156.0	7522
148.0	7272
30.0	7184
164.0	7152
160.0	6984
8.0	6696
172.0	6374
176.0	6150
180.0	6070
168.0	6041
25.0	6027
49.0	5925
188.0	5728
57.0	5700
184.0	5562
192.0	5052
196.0	5028
10.0	4855
5.0	4739
204.0	4529
200.0	4452
81.0	4403
208.0	4394
4.0	4391
212.0	4385
73.0	4222
224.0	4078
216.0	3923
220.0	3753
228.0	3654
240.0	3443
232.0	3385
252.0	3324
236.0	3292
97.0	3176
248.0	3140
244.0	3124
260.0	2964
264.0	2950
31.0	2870
256.0	2712
268.0	2595
65.0	2501
284.0	2474
89.0	2450
272.0	2437
276.0	2430
105.0	2426
14.0	2254
53.0	2248
292.0	2233
280.0	2214
300.0	2029
61.0	1979
296.0	1948
288.0	1934
41.0	1878
93.0	1863
9.0	1828
129.0	1806
20.0	1762
26.0	1759
69.0	1705
77.0	1690
113.0	1677
304.0	1651
308.0	1636
45.0	1621
121.0	1615
312.0	1581
316.0	1499
320.0	1389
109.0	1363
101.0	1350
324.0	1334
7.0	1321
58.0	1314
85.0	1222
37.0	1209
50.0	1194
336.0	1140
29.0	1132
117.0	1116
332.0	1100
328.0	1089
137.0	1073
125.0	1058
153.0	1040
82.0	1008
157.0	1005
145.0	985
340.0	979
74.0	971
33.0	964
11.0	962
15.0	944
133.0	941
66.0	937
149.0	904
161.0	880
169.0	869
141.0	852
90.0	845
165.0	840
98.0	839
348.0	827
21.0	799
173.0	794
185.0	770
344.0	765
189.0	759
54.0	705
177.0	684
197.0	663
106.0	662
356.0	657
193.0	656
114.0	654
352.0	632
181.0	622
201.0	597
78.0	597
27.0	594
42.0	593
360.0	590
62.0	578
22.0	560
122.0	560
51.0	538
225.0	521
35.0	509
205.0	509
94.0	508
364.0	508
209.0	499
38.0	499
70.0	488
229.0	484
221.0	483
213.0	483
233.0	476
110.0	474
83.0	473
368.0	461
59.0	460
102.0	451
86.0	449
217.0	440
91.0	433
46.0	430
372.0	428
253.0	414
130.0	404
138.0	401
126.0	396
237.0	391
118.0	390
376.0	388
245.0	382
134.0	381
67.0	378
261.0	376
241.0	373
75.0	371
162.0	370
34.0	369
43.0	365
257.0	364
265.0	356
150.0	340
39.0	334
16.0	332
249.0	330
158.0	328
99.0	324
142.0	323
55.0	322
269.0	321
380.0	319
388.0	316
71.0	312
281.0	312
107.0	309
146.0	309
384.0	309
154.0	308
174.0	304
17.0	300
273.0	298
166.0	293
285.0	286
79.0	284
63.0	283
289.0	282
301.0	276
95.0	275
277.0	267
293.0	266
47.0	262
123.0	257
103.0	254
87.0	253
170.0	250
115.0	249
392.0	239
178.0	236
190.0	235
111.0	234
186.0	234
206.0	232
297.0	232
194.0	224
309.0	223
305.0	222
131.0	216
210.0	215
182.0	214
119.0	211
317.0	210
313.0	209
135.0	204
143.0	203
325.0	201
198.0	201
321.0	196
396.0	195
202.0	186
139.0	185
127.0	185
400.0	185
226.0	171
151.0	168
329.0	165
222.0	164
238.0	162
333.0	159
163.0	159
242.0	157
214.0	155
218.0	153
23.0	153
183.0	152
234.0	146
179.0	145
155.0	145
246.0	144
254.0	143
159.0	141
408.0	141
230.0	140
258.0	140
171.0	139
147.0	136
167.0	136
412.0	136
404.0	135
341.0	131
345.0	129
270.0	128
266.0	124
353.0	124
337.0	124
262.0	122
175.0	121
357.0	119
416.0	119
191.0	116
349.0	113
187.0	111
365.0	110
199.0	110
278.0	105
195.0	105
282.0	101
424.0	101
274.0	100
420.0	99
302.0	96
219.0	96
373.0	94
369.0	94
432.0	93
250.0	92
235.0	92
227.0	91
211.0	91
306.0	89
207.0	87
215.0	86
223.0	85
247.0	84
239.0	84
203.0	82
361.0	81
231.0	80
286.0	79
310.0	79
440.0	79
298.0	79
255.0	78
428.0	77
290.0	76
436.0	76
294.0	76
318.0	67
456.0	66
389.0	64
322.0	61
385.0	61
397.0	61
334.0	60
366.0	59
251.0	58
381.0	58
464.0	57
401.0	57
314.0	56
267.0	56
326.0	55
444.0	55
263.0	54
393.0	53
452.0	53
287.0	52
448.0	52
354.0	52
476.0	52
342.0	52
330.0	52
413.0	51
271.0	50
409.0	50
417.0	49
460.0	49
377.0	49
291.0	48
243.0	48
279.0	47
508.0	47
315.0	45
259.0	45
295.0	45
350.0	45
480.0	44
275.0	43
421.0	43
303.0	41
283.0	41
370.0	41
358.0	40
405.0	39
484.0	39
496.0	39
426.0	38
