Value	Count
3.0	26694
6.0	22449
2.0	20955
7.0	17878
52.0	17437
48.0	15876
60.0	15396
4.0	15118
8.0	14372
64.0	13453
30.0	11996
72.0	11893
84.0	11464
96.0	11247
5.0	10939
76.0	10875
14.0	10516
80.0	10016
124.0	9738
88.0	8670
100.0	8556
9.0	8018
108.0	7587
136.0	7395
148.0	7296
112.0	7070
156.0	6797
116.0	6777
33.0	6512
104.0	6484
160.0	6247
164.0	6054
176.0	5679
172.0	5608
128.0	5507
208.0	5491
132.0	5403
144.0	5263
180.0	5255
120.0	5189
188.0	4937
140.0	4817
248.0	4768
220.0	4759
56.0	4709
196.0	4603
20.0	4523
192.0	4516
92.0	4370
204.0	4274
240.0	4184
232.0	4126
152.0	4086
200.0	4040
216.0	3762
168.0	3750
68.0	3681
244.0	3485
184.0	3430
228.0	3429
256.0	3411
288.0	3370
264.0	3151
224.0	3142
268.0	3030
272.0	2977
308.0	2944
236.0	2872
280.0	2788
276.0	2768
316.0	2667
292.0	2558
328.0	2433
252.0	2410
296.0	2407
360.0	2361
300.0	2357
260.0	2333
332.0	2320
212.0	2265
304.0	2262
340.0	2201
312.0	2162
344.0	2119
348.0	2095
12.0	2026
380.0	2004
320.0	1999
388.0	1975
324.0	1959
352.0	1953
18.0	1952
392.0	1919
284.0	1915
364.0	1895
368.0	1879
372.0	1858
336.0	1834
376.0	1746
384.0	1670
412.0	1647
408.0	1614
416.0	1607
400.0	1557
440.0	1555
420.0	1544
356.0	1506
424.0	1483
396.0	1479
404.0	1477
452.0	1444
456.0	1428
428.0	1411
432.0	1404
472.0	1278
468.0	1273
10.0	1260
504.0	1232
480.0	1220
444.0	1219
496.0	1219
460.0	1170
464.0	1161
520.0	1123
484.0	1079
436.0	1078
488.0	1049
528.0	1036
512.0	1023
524.0	1013
476.0	1007
448.0	998
536.0	980
568.0	944
508.0	924
584.0	908
552.0	902
492.0	894
544.0	888
532.0	871
564.0	848
600.0	837
548.0	835
500.0	832
516.0	819
556.0	767
612.0	766
592.0	754
540.0	752
560.0	741
576.0	738
604.0	712
628.0	706
616.0	686
11.0	672
644.0	672
652.0	668
572.0	666
580.0	650
632.0	639
624.0	639
588.0	632
608.0	621
620.0	617
656.0	607
