Value	Count
20.0	44584
16.0	43989
36.0	38404
24.0	35166
48.0	33640
64.0	32668
60.0	31851
44.0	31363
32.0	29286
52.0	29214
88.0	28852
72.0	26639
28.0	26054
76.0	24902
92.0	24299
104.0	22456
40.0	22348
84.0	22259
80.0	21409
56.0	20326
68.0	20085
112.0	19962
96.0	17759
120.0	17272
128.0	17251
100.0	16709
116.0	16393
108.0	15615
144.0	15264
132.0	13378
136.0	12230
152.0	12010
140.0	11980
124.0	11780
160.0	11324
156.0	10920
172.0	10268
180.0	9551
168.0	9345
148.0	9136
164.0	8674
184.0	8670
188.0	8212
200.0	7633
212.0	7407
196.0	7134
176.0	6569
192.0	6441
208.0	6389
216.0	6008
8.0	5824
224.0	5681
228.0	5370
204.0	4987
18.0	4975
34.0	4713
236.0	4592
240.0	4459
220.0	4069
232.0	3881
248.0	3859
252.0	3854
264.0	3687
46.0	3577
66.0	3433
50.0	3293
74.0	3257
42.0	3244
256.0	3147
26.0	3137
58.0	3064
244.0	3048
102.0	2882
54.0	2784
4.0	2741
70.0	2685
78.0	2662
62.0	2594
268.0	2551
12.0	2533
98.0	2467
110.0	2427
22.0	2424
82.0	2395
106.0	2327
90.0	2266
86.0	2252
276.0	2208
130.0	2193
38.0	2174
114.0	2095
126.0	2055
30.0	1995
260.0	1988
94.0	1966
280.0	1947
10.0	1921
146.0	1841
118.0	1816
284.0	1807
17.0	1801
134.0	1778
142.0	1755
122.0	1740
154.0	1715
158.0	1697
150.0	1697
138.0	1576
162.0	1554
166.0	1493
33.0	1485
292.0	1451
272.0	1414
296.0	1396
21.0	1317
186.0	1302
170.0	1281
174.0	1270
178.0	1212
182.0	1188
49.0	1181
194.0	1177
45.0	1167
25.0	1163
190.0	1143
29.0	1077
304.0	1056
202.0	1043
206.0	1034
61.0	1031
53.0	991
23.0	968
198.0	950
57.0	933
308.0	933
69.0	902
210.0	895
65.0	892
218.0	891
288.0	884
85.0	874
222.0	851
214.0	845
81.0	844
73.0	833
77.0	808
89.0	806
230.0	757
226.0	755
316.0	752
93.0	747
238.0	729
300.0	726
101.0	708
320.0	677
234.0	665
19.0	664
97.0	656
67.0	643
242.0	639
71.0	636
312.0	632
113.0	625
105.0	604
109.0	603
324.0	579
258.0	554
117.0	548
246.0	544
254.0	534
129.0	530
121.0	529
35.0	512
250.0	510
125.0	501
332.0	499
266.0	491
262.0	490
63.0	478
37.0	474
59.0	444
55.0	437
141.0	432
137.0	430
133.0	426
41.0	419
83.0	412
270.0	408
75.0	395
51.0	390
278.0	389
107.0	389
87.0	386
103.0	385
47.0	382
27.0	378
79.0	377
9.0	376
149.0	376
153.0	370
274.0	368
336.0	362
43.0	354
99.0	353
282.0	351
91.0	347
165.0	347
127.0	347
286.0	347
95.0	346
119.0	345
145.0	343
290.0	336
131.0	336
157.0	335
161.0	334
328.0	329
294.0	327
177.0	318
14.0	312
344.0	311
169.0	308
123.0	305
39.0	299
31.0	289
111.0	289
143.0	287
115.0	287
147.0	285
139.0	263
151.0	262
155.0	261
135.0	253
173.0	252
340.0	249
181.0	247
193.0	241
159.0	237
352.0	236
189.0	234
298.0	227
179.0	226
306.0	225
348.0	219
185.0	216
302.0	216
191.0	215
205.0	211
175.0	210
167.0	209
171.0	206
201.0	206
183.0	203
360.0	202
197.0	201
163.0	201
310.0	198
209.0	195
217.0	193
318.0	191
187.0	185
213.0	185
322.0	182
314.0	180
225.0	170
5.0	170
326.0	169
195.0	168
207.0	167
364.0	165
229.0	164
203.0	162
372.0	160
233.0	159
223.0	159
241.0	157
221.0	156
330.0	156
334.0	152
199.0	152
245.0	147
211.0	146
227.0	145
338.0	144
237.0	143
219.0	143
253.0	141
342.0	133
356.0	132
215.0	130
231.0	128
249.0	127
368.0	122
376.0	117
257.0	115
13.0	115
235.0	114
346.0	104
380.0	102
261.0	101
239.0	97
289.0	97
265.0	97
388.0	96
269.0	95
285.0	95
255.0	95
392.0	94
358.0	94
350.0	94
354.0	93
362.0	93
267.0	92
263.0	91
384.0	89
243.0	88
247.0	88
370.0	86
374.0	82
400.0	82
412.0	82
251.0	79
366.0	78
281.0	78
279.0	77
273.0	77
275.0	75
277.0	75
297.0	74
408.0	73
396.0	73
259.0	72
301.0	70
271.0	69
293.0	69
420.0	67
299.0	67
291.0	67
283.0	62
15.0	61
416.0	59
303.0	58
337.0	58
305.0	57
390.0	57
295.0	56
313.0	55
311.0	55
319.0	55
382.0	55
287.0	54
402.0	53
428.0	53
323.0	52
309.0	51
406.0	51
424.0	50
333.0	50
315.0	50
404.0	49
452.0	47
349.0	45
317.0	45
11.0	43
446.0	43
436.0	43
440.0	43
414.0	42
410.0	42
307.0	42
394.0	41
329.0	41
422.0	41
378.0	41
448.0	40
341.0	40
458.0	39
464.0	39
386.0	39
454.0	38
426.0	37
325.0	37
331.0	37
361.0	37
347.0	36
432.0	36
353.0	36
345.0	35
379.0	35
343.0	34
359.0	34
438.0	34
327.0	33
460.0	33
351.0	32
321.0	32
444.0	31
335.0	31
456.0	31
377.0	31
397.0	31
450.0	30
371.0	30
468.0	30
430.0	29
339.0	29
496.0	28
357.0	27
474.0	27
355.0	27
409.0	26
385.0	26
418.0	26
389.0	26
393.0	26
472.0	26
485.0	26
367.0	24
512.0	24
466.0	24
375.0	24
442.0	24
494.0	24
462.0	24
520.0	24
478.0	23
399.0	23
508.0	23
413.0	23
492.0	23
434.0	23
411.0	22
439.0	22
484.0	22
441.0	22
445.0	22
383.0	22
514.0	21
381.0	20
423.0	20
498.0	20
524.0	20
369.0	20
480.0	20
473.0	20
540.0	20
365.0	20
433.0	20
6.0	20
486.0	20
476.0	20
398.0	20
363.0	20
435.0	19
391.0	19
407.0	19
387.0	19
467.0	19
506.0	19
421.0	18
564.0	18
419.0	18
535.0	18
373.0	18
570.0	18
489.0	17
483.0	17
459.0	17
488.0	17
481.0	17
500.0	17
451.0	17
519.0	17
461.0	17
490.0	16
417.0	16
463.0	16
544.0	16
566.0	16
427.0	16
553.0	16
443.0	16
425.0	16
431.0	16
487.0	15
477.0	15
532.0	15
495.0	15
580.0	15
593.0	15
405.0	15
429.0	15
518.0	15
493.0	14
614.0	14
449.0	14
572.0	14
505.0	14
510.0	14
482.0	14
401.0	14
509.0	14
592.0	14
517.0	14
479.0	14
530.0	13
556.0	13
501.0	13
575.0	13
578.0	13
537.0	13
515.0	13
536.0	13
499.0	13
565.0	13
507.0	13
522.0	13
577.0	13
525.0	12
595.0	12
608.0	12
511.0	12
729.0	12
528.0	12
513.0	12
581.0	12
549.0	12
516.0	12
589.0	11
569.0	11
591.0	11
491.0	11
610.0	11
600.0	11
551.0	11
415.0	11
625.0	11
560.0	11
503.0	11
502.0	11
616.0	11
683.0	11
548.0	11
576.0	11
584.0	11
579.0	11
465.0	11
475.0	11
504.0	11
542.0	10
585.0	10
637.0	10
558.0	10
403.0	10
555.0	10
582.0	10
674.0	10
666.0	10
568.0	10
601.0	10
562.0	10
469.0	10
529.0	10
534.0	10
573.0	10
470.0	10
395.0	10
526.0	10
612.0	10
533.0	9
689.0	9
604.0	9
632.0	9
453.0	9
541.0	9
531.0	9
543.0	9
594.0	9
471.0	9
671.0	9
457.0	9
620.0	9
698.0	9
545.0	9
546.0	9
603.0	9
651.0	9
552.0	9
597.0	9
455.0	8
447.0	8
684.0	8
633.0	8
708.0	8
563.0	8
605.0	8
547.0	8
538.0	8
619.0	8
833.0	8
437.0	8
574.0	8
630.0	8
567.0	8
521.0	8
550.0	8
561.0	8
636.0	8
768.0	8
629.0	7
635.0	7
527.0	7
539.0	7
679.0	7
628.0	7
717.0	7
722.0	7
776.0	7
618.0	7
856.0	7
617.0	7
596.0	7
583.0	7
587.0	7
557.0	7
607.0	7
641.0	7
691.0	6
676.0	6
677.0	6
622.0	6
665.0	6
678.0	6
716.0	6
559.0	6
655.0	6
692.0	6
626.0	6
770.0	6
721.0	6
621.0	6
627.0	6
662.0	6
749.0	6
599.0	6
718.0	6
658.0	6
696.0	6
795.0	6
588.0	6
586.0	6
754.0	6
644.0	6
660.0	6
638.0	6
590.0	5
623.0	5
624.0	5
646.0	5
706.0	5
602.0	5
704.0	5
742.0	5
686.0	5
670.0	5
702.0	5
755.0	5
806.0	5
709.0	5
598.0	5
817.0	5
889.0	5
697.0	5
745.0	5
690.0	5
611.0	5
654.0	5
975.0	5
807.0	5
642.0	5
640.0	5
715.0	5
724.0	5
653.0	5
554.0	5
497.0	5
652.0	5
668.0	5
772.0	5
808.0	5
828.0	4
769.0	4
663.0	4
727.0	4
779.0	4
7.0	4
757.0	4
606.0	4
685.0	4
785.0	4
648.0	4
756.0	4
664.0	4
672.0	4
613.0	4
714.0	4
766.0	4
736.0	4
838.0	4
673.0	4
823.0	4
712.0	4
631.0	4
669.0	4
941.0	4
649.0	4
693.0	4
726.0	4
788.0	4
699.0	4
571.0	4
760.0	4
830.0	4
1041.0	3
850.0	3
811.0	3
814.0	3
682.0	3
656.0	3
737.0	3
688.0	3
787.0	3
786.0	3
829.0	3
797.0	3
831.0	3
790.0	3
816.0	3
730.0	3
784.0	3
809.0	3
694.0	3
946.0	3
1025.0	3
675.0	3
634.0	3
963.0	3
777.0	3
960.0	3
711.0	3
1005.0	3
723.0	3
815.0	3
840.0	3
687.0	3
731.0	3
681.0	3
1088.0	3
810.0	3
868.0	3
661.0	3
657.0	3
747.0	3
659.0	3
812.0	3
703.0	3
869.0	3
701.0	3
615.0	3
700.0	3
680.0	3
862.0	3
741.0	3
858.0	2
839.0	2
886.0	2
800.0	2
1133.0	2
1217.0	2
885.0	2
650.0	2
1153.0	2
944.0	2
973.0	2
1022.0	2
893.0	2
1100.0	2
931.0	2
1158.0	2
1944.0	2
883.0	2
1098.0	2
609.0	2
1067.0	2
1482.0	2
639.0	2
781.0	2
861.0	2
837.0	2
761.0	2
738.0	2
1173.0	2
847.0	2
970.0	2
1107.0	2
890.0	2
900.0	2
935.0	2
1084.0	2
895.0	2
1142.0	2
1295.0	2
739.0	2
918.0	2
1076.0	2
775.0	2
1048.0	2
1081.0	2
695.0	2
765.0	2
929.0	2
964.0	2
860.0	2
866.0	2
928.0	2
843.0	2
896.0	2
1119.0	2
1020.0	2
1007.0	2
1179.0	2
1120.0	2
986.0	2
1443.0	2
645.0	2
902.0	2
647.0	2
523.0	2
940.0	2
799.0	2
1083.0	2
1327.0	2
1011.0	2
753.0	2
932.0	2
1395.0	2
751.0	2
1252.0	2
1063.0	2
762.0	2
813.0	2
710.0	2
744.0	2
863.0	2
758.0	2
903.0	2
879.0	2
1051.0	2
1061.0	2
705.0	1
1417.0	1
974.0	1
1113.0	1
1280.0	1
743.0	1
1248.0	1
1090.0	1
924.0	1
1003.0	1
914.0	1
835.0	1
1188.0	1
919.0	1
791.0	1
1167.0	1
771.0	1
891.0	1
748.0	1
968.0	1
1160.0	1
892.0	1
1166.0	1
836.0	1
763.0	1
853.0	1
1278.0	1
1000.0	1
793.0	1
957.0	1
1111.0	1
906.0	1
733.0	1
1082.0	1
1056.0	1
904.0	1
667.0	1
1035.0	1
792.0	1
832.0	1
1116.0	1
936.0	1
1027.0	1
952.0	1
983.0	1
796.0	1
842.0	1
1394.0	1
713.0	1
774.0	1
977.0	1
764.0	1
804.0	1
1221.0	1
773.0	1
826.0	1
1151.0	1
955.0	1
805.0	1
1075.0	1
1478.0	1
1169.0	1
988.0	1
1096.0	1
901.0	1
1365.0	1
880.0	1
719.0	1
1264.0	1
819.0	1
1012.0	1
1253.0	1
921.0	1
783.0	1
825.0	1
1118.0	1
920.0	1
1234.0	1
865.0	1
1350.0	1
732.0	1
1284.0	1
884.0	1
1052.0	1
767.0	1
759.0	1
1091.0	1
780.0	1
916.0	1
1068.0	1
1256.0	1
1274.0	1
897.0	1
851.0	1
1508.0	1
954.0	1
824.0	1
1161.0	1
841.0	1
939.0	1
734.0	1
910.0	1
965.0	1
877.0	1
1039.0	1
979.0	1
1397.0	1
887.0	1
1512.0	1
