Value	Count
60.0	44584
48.0	43989
108.0	38404
72.0	35166
144.0	33640
192.0	32668
180.0	31851
132.0	31363
96.0	29286
156.0	29214
264.0	28852
216.0	26639
84.0	26054
228.0	24902
276.0	24299
312.0	22456
120.0	22348
252.0	22259
240.0	21409
168.0	20326
204.0	20085
336.0	19962
288.0	17759
360.0	17272
384.0	17251
300.0	16709
348.0	16393
324.0	15615
432.0	15264
396.0	13378
408.0	12230
456.0	12010
420.0	11980
372.0	11780
480.0	11324
468.0	10920
516.0	10268
540.0	9551
504.0	9345
444.0	9136
492.0	8674
552.0	8670
564.0	8212
600.0	7633
636.0	7407
588.0	7134
528.0	6569
576.0	6441
624.0	6389
648.0	6008
24.0	5824
672.0	5681
684.0	5370
612.0	4987
54.0	4975
102.0	4713
708.0	4592
720.0	4459
660.0	4069
696.0	3881
744.0	3859
756.0	3854
792.0	3687
138.0	3577
198.0	3433
150.0	3293
222.0	3257
126.0	3244
768.0	3147
78.0	3137
174.0	3064
732.0	3048
306.0	2882
162.0	2784
12.0	2741
210.0	2685
234.0	2662
186.0	2594
804.0	2551
36.0	2533
294.0	2467
330.0	2427
66.0	2424
246.0	2395
318.0	2327
270.0	2266
258.0	2252
828.0	2208
390.0	2193
114.0	2174
342.0	2095
378.0	2055
90.0	1995
780.0	1988
282.0	1966
840.0	1947
30.0	1921
438.0	1841
354.0	1816
852.0	1807
51.0	1801
402.0	1778
426.0	1755
366.0	1740
462.0	1715
474.0	1697
450.0	1697
414.0	1576
486.0	1554
498.0	1493
99.0	1485
876.0	1451
816.0	1414
888.0	1396
63.0	1317
558.0	1302
510.0	1281
522.0	1270
534.0	1212
546.0	1188
147.0	1181
582.0	1177
135.0	1167
75.0	1163
570.0	1143
87.0	1077
912.0	1056
606.0	1043
618.0	1034
183.0	1031
159.0	991
69.0	968
594.0	950
171.0	933
924.0	933
207.0	902
630.0	895
195.0	892
654.0	891
864.0	884
255.0	874
666.0	851
642.0	845
243.0	844
219.0	833
231.0	808
267.0	806
690.0	757
678.0	755
948.0	752
279.0	747
714.0	729
900.0	726
303.0	708
960.0	677
702.0	665
57.0	664
291.0	656
201.0	643
726.0	639
213.0	636
936.0	632
339.0	625
315.0	604
327.0	603
972.0	579
774.0	554
351.0	548
738.0	544
762.0	534
387.0	530
363.0	529
105.0	512
750.0	510
375.0	501
996.0	499
798.0	491
786.0	490
189.0	478
111.0	474
177.0	444
165.0	437
423.0	432
411.0	430
399.0	426
123.0	419
249.0	412
810.0	408
225.0	395
153.0	390
834.0	389
321.0	389
261.0	386
309.0	385
141.0	382
81.0	378
237.0	377
27.0	376
447.0	376
459.0	370
822.0	368
1008.0	362
129.0	354
297.0	353
846.0	351
273.0	347
495.0	347
381.0	347
858.0	347
285.0	346
357.0	345
435.0	343
870.0	336
393.0	336
471.0	335
483.0	334
984.0	329
882.0	327
531.0	318
42.0	312
1032.0	311
507.0	308
369.0	305
117.0	299
93.0	289
333.0	289
429.0	287
345.0	287
441.0	285
417.0	263
453.0	262
465.0	261
405.0	253
519.0	252
1020.0	249
543.0	247
579.0	241
477.0	237
1056.0	236
567.0	234
894.0	227
537.0	226
918.0	225
1044.0	219
555.0	216
906.0	216
573.0	215
615.0	211
525.0	210
501.0	209
513.0	206
603.0	206
549.0	203
1080.0	202
591.0	201
489.0	201
930.0	198
627.0	195
651.0	193
954.0	191
561.0	185
639.0	185
966.0	182
942.0	180
675.0	170
15.0	170
978.0	169
585.0	168
621.0	167
1092.0	165
687.0	164
609.0	162
1116.0	160
699.0	159
669.0	159
723.0	157
663.0	156
990.0	156
1002.0	152
597.0	152
735.0	147
633.0	146
681.0	145
1014.0	144
711.0	143
657.0	143
759.0	141
1026.0	133
1068.0	132
645.0	130
693.0	128
747.0	127
1104.0	122
1128.0	117
771.0	115
39.0	115
705.0	114
1038.0	104
1140.0	102
783.0	101
717.0	97
867.0	97
795.0	97
1164.0	96
807.0	95
855.0	95
765.0	95
1176.0	94
1074.0	94
1050.0	94
1062.0	93
1086.0	93
801.0	92
789.0	91
1152.0	89
729.0	88
741.0	88
1110.0	86
1122.0	82
1200.0	82
1236.0	82
753.0	79
1098.0	78
843.0	78
837.0	77
819.0	77
825.0	75
831.0	75
891.0	74
1224.0	73
1188.0	73
777.0	72
903.0	70
813.0	69
879.0	69
1260.0	67
897.0	67
873.0	67
849.0	62
45.0	61
1248.0	59
909.0	58
1011.0	58
915.0	57
1170.0	57
885.0	56
939.0	55
933.0	55
957.0	55
1146.0	55
861.0	54
1206.0	53
1284.0	53
969.0	52
927.0	51
1218.0	51
1272.0	50
999.0	50
945.0	50
1212.0	49
1356.0	47
1047.0	45
951.0	45
33.0	43
