Brightness	Occurrences
0.0	1519
5.0	735
4.0	686
6.0	610
8.0	601
12.0	547
7.0	529
9.0	529
13.0	485
17.0	478
20.0	470
11.0	462
14.0	444
15.0	413
22.0	389
26.0	388
24.0	387
37.0	387
16.0	386
33.0	375
19.0	369
23.0	367
31.0	362
27.0	351
21.0	344
30.0	339
25.0	333
28.0	327
42.0	326
18.0	313
43.0	308
36.0	306
71.0	306
47.0	305
32.0	305
34.0	304
63.0	304
10.0	300
39.0	297
68.0	294
54.0	292
40.0	291
29.0	290
3.0	289
50.0	286
60.0	283
46.0	282
84.0	274
35.0	274
123.0	273
45.0	272
72.0	269
51.0	268
89.0	265
78.0	264
49.0	262
38.0	262
181.0	261
41.0	261
70.0	260
65.0	259
66.0	257
188.0	256
2.0	254
112.0	253
55.0	253
67.0	253
57.0	252
48.0	251
233.0	251
110.0	251
180.0	250
121.0	250
171.0	249
77.0	248
100.0	248
125.0	246
44.0	246
98.0	245
82.0	244
86.0	244
88.0	243
104.0	243
83.0	242
56.0	241
291.0	241
90.0	241
116.0	240
79.0	240
81.0	240
137.0	240
52.0	239
132.0	239
115.0	238
61.0	238
145.0	238
76.0	237
190.0	237
117.0	237
69.0	236
235.0	235
59.0	235
184.0	235
134.0	235
155.0	234
239.0	234
80.0	233
133.0	233
162.0	232
64.0	231
245.0	230
114.0	230
150.0	229
108.0	229
217.0	228
176.0	228
136.0	228
91.0	228
187.0	228
122.0	226
175.0	225
96.0	224
107.0	223
167.0	222
154.0	222
128.0	222
87.0	222
106.0	221
102.0	221
118.0	221
58.0	221
209.0	221
166.0	220
85.0	220
156.0	220
103.0	220
142.0	219
250.0	219
95.0	218
147.0	217
97.0	217
277.0	216
168.0	216
205.0	216
74.0	216
99.0	215
193.0	214
157.0	214
152.0	213
113.0	213
131.0	212
172.0	212
109.0	212
244.0	211
160.0	211
216.0	211
243.0	210
120.0	209
138.0	209
301.0	208
179.0	208
53.0	208
226.0	208
208.0	208
73.0	207
141.0	206
225.0	205
202.0	205
163.0	205
93.0	205
230.0	205
127.0	204
224.0	204
241.0	203
198.0	203
215.0	203
196.0	202
242.0	202
305.0	202
206.0	202
236.0	201
251.0	201
210.0	201
259.0	201
140.0	201
286.0	201
287.0	201
153.0	200
232.0	200
94.0	200
185.0	200
255.0	199
223.0	199
271.0	199
257.0	198
144.0	198
221.0	198
200.0	198
281.0	197
170.0	197
240.0	197
238.0	196
139.0	195
173.0	195
254.0	195
75.0	194
62.0	194
143.0	194
149.0	194
261.0	193
212.0	193
189.0	192
124.0	192
317.0	192
105.0	191
342.0	191
292.0	191
256.0	191
92.0	191
228.0	190
308.0	190
229.0	189
126.0	189
237.0	188
204.0	188
268.0	188
191.0	188
199.0	188
246.0	187
159.0	187
279.0	187
297.0	187
158.0	187
164.0	187
222.0	186
300.0	186
192.0	185
284.0	185
266.0	184
249.0	183
129.0	183
213.0	183
119.0	183
307.0	183
289.0	183
146.0	182
101.0	182
207.0	181
306.0	181
194.0	181
220.0	181
290.0	180
275.0	180
350.0	180
219.0	180
269.0	179
265.0	178
270.0	178
178.0	178
227.0	178
248.0	178
324.0	176
321.0	176
130.0	176
311.0	175
247.0	175
211.0	175
348.0	175
296.0	174
151.0	173
111.0	173
282.0	173
258.0	173
331.0	173
263.0	173
169.0	172
386.0	172
332.0	172
195.0	172
148.0	172
218.0	172
165.0	172
203.0	171
367.0	171
312.0	171
316.0	171
214.0	171
336.0	170
