# frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	0	376.139898989899	0.8823232323232323	9.0	9.0	9.0	9.0	1980.0	599.0	539.0	842.0
0	1	208.3757225433526	19.04431599229287	6.0	6.0	6.0	4.0	519.0	105.0	197.0	217.0
0	2	103.11309523809524	23.760416666666668	5.0	4.0	5.0	5.0	672.0	202.0	260.0	210.0
0	3	453.0647558386412	46.33757961783439	11.0	10.0	9.0	9.0	942.0	354.0	292.0	296.0
0	4	551.6658653846154	61.53846153846154	4.0	4.0	4.0	2.0	416.0	143.0	191.0	82.0
0	5	202.8048359240069	62.58117443868739	5.0	5.0	4.0	3.0	1158.0	499.0	412.0	247.0
0	6	468.0	73.67175572519083	2.0	2.0	2.0	2.0	131.0	41.0	56.0	34.0
0	7	468.3677758318739	87.15936952714536	6.0	6.0	6.0	5.0	571.0	169.0	216.0	186.0
0	8	307.32774674115456	89.92178770949721	5.0	4.0	5.0	4.0	537.0	147.0	213.0	177.0
0	9	538.4244966442953	97.82885906040268	6.0	6.0	6.0	6.0	596.0	219.0	207.0	170.0
0	10	30.0	99.0	1.0	1.0	0.0	1.0	22.0	7.0	0.0	15.0
0	11	43.65483584738243	102.22182786157941	7.0	7.0	7.0	3.0	1127.0	513.0	464.0	150.0
0	12	2.1098765432098765	117.92962962962963	8.0	7.0	7.0	5.0	810.0	288.0	284.0	238.0
0	13	177.03883495145632	122.00597460791636	11.0	11.0	8.0	7.0	1339.0	714.0	361.0	264.0
0	14	148.4853641933288	125.83798502382574	9.0	5.0	6.0	8.0	1469.0	365.0	548.0	556.0
0	15	99.0	138.7704918032787	3.0	2.0	3.0	3.0	122.0	50.0	40.0	31.0
0	16	38.57236842105263	143.07236842105263	7.0	6.0	4.0	4.0	608.0	188.0	227.0	193.0
0	17	152.53781512605042	159.28991596638656	4.0	3.0	4.0	3.0	238.0	53.0	97.0	87.0
0	18	160.44568062827224	160.73756544502618	7.0	5.0	6.0	7.0	1528.0	337.0	451.0	740.0
0	19	84.46582466567608	163.24591381872213	7.0	3.0	5.0	7.0	1346.0	195.0	347.0	804.0
0	20	519.8909952606635	174.75355450236967	5.0	4.0	5.0	3.0	422.0	142.0	179.0	101.0
0	21	267.0	180.0	1.0	1.0	1.0	0.0	8.0	4.0	4.0	0.0
0	22	622.4261517615176	182.43563685636857	5.0	5.0	4.0	4.0	1476.0	618.0	529.0	329.0
0	23	221.60338983050846	189.27118644067798	6.0	6.0	5.0	5.0	295.0	142.0	73.0	80.0
0	24	622.4770992366413	195.1979280261723	9.0	9.0	7.0	6.0	1834.0	625.0	511.0	697.0
0	25	448.0	205.0	1.0	1.0	1.0	1.0	52.0	25.0	21.0	6.0
0	26	378.0	212.0	1.0	1.0	1.0	1.0	12.0	5.0	3.0	4.0
0	27	311.4988864142539	214.38901262063845	10.0	7.0	9.0	8.0	1347.0	483.0	567.0	297.0
0	28	286.0542168674699	223.0	3.0	1.0	3.0	3.0	166.0	9.0	64.0	93.0
0	29	615.3695937090432	235.81389252948887	10.0	7.0	8.0	10.0	2289.0	523.0	629.0	1137.0
0	30	313.5997807017544	244.69298245614036	6.0	5.0	5.0	4.0	912.0	282.0	367.0	262.0
0	31	136.55645161290323	259.62609970674487	6.0	5.0	6.0	6.0	1364.0	300.0	446.0	618.0
0	32	168.36936936936937	259.2972972972973	3.0	2.0	3.0	3.0	111.0	10.0	44.0	57.0
0	33	450.5806988352745	259.98668885191347	6.0	5.0	6.0	6.0	601.0	187.0	230.0	184.0
0	34	564.8355879292403	263.47554630593135	4.0	3.0	4.0	4.0	961.0	226.0	332.0	403.0
0	35	436.20881905727316	264.6776482513938	8.0	6.0	8.0	7.0	1973.0	530.0	665.0	778.0
0	36	623.4285714285714	285.2324093816631	10.0	8.0	8.0	10.0	1407.0	460.0	366.0	581.0
0	37	29.959269662921347	286.311797752809	7.0	6.0	7.0	7.0	712.0	244.0	208.0	260.0
0	38	54.490545050055616	292.0945494994438	6.0	6.0	6.0	4.0	899.0	295.0	408.0	195.0
0	39	587.80195599022	293.3789731051345	4.0	4.0	4.0	3.0	409.0	153.0	165.0	91.0
0	40	417.6564705882353	314.61764705882354	7.0	7.0	6.0	6.0	850.0	316.0	228.0	306.0
0	41	106.08004778972521	324.63560334528074	7.0	6.0	7.0	7.0	837.0	228.0	287.0	322.0
0	42	276.09794392523366	331.47476635514016	10.0	10.0	6.0	6.0	2675.0	844.0	956.0	875.0
0	43	483.89490559315993	333.2223013893837	10.0	10.0	9.0	10.0	2807.0	904.0	829.0	1074.0
0	44	96.07586206896552	339.06206896551726	4.0	4.0	3.0	3.0	145.0	18.0	11.0	115.0
0	45	405.4305676855895	343.7606986899563	9.0	8.0	8.0	8.0	1145.0	362.0	394.0	389.0
0	46	42.55670103092783	345.9896907216495	4.0	4.0	4.0	4.0	291.0	105.0	105.0	81.0
0	47	163.22626262626264	358.1151515151515	5.0	5.0	5.0	4.0	495.0	138.0	169.0	188.0
0	48	258.64379947229554	366.6200527704485	4.0	4.0	4.0	4.0	379.0	143.0	129.0	107.0
0	49	549.3395176252319	367.08719851576996	3.0	3.0	3.0	3.0	539.0	153.0	182.0	204.0
0	50	174.56024096385542	374.0	2.0	2.0	2.0	2.0	166.0	45.0	40.0	81.0
0	51	87.38483345145288	380.05598866052446	7.0	7.0	7.0	7.0	1411.0	337.0	485.0	589.0
0	52	89.91605839416059	400.57481751824815	6.0	4.0	6.0	5.0	548.0	115.0	221.0	212.0
0	53	591.3780991735537	400.74793388429754	3.0	3.0	3.0	3.0	484.0	142.0	165.0	177.0
0	54	278.50602409638554	412.0	2.0	2.0	2.0	2.0	166.0	45.0	69.0	52.0
0	55	92.05457598656591	422.3702770780856	7.0	7.0	7.0	6.0	1191.0	448.0	433.0	310.0
0	56	457.4642857142857	426.7551020408163	4.0	4.0	3.0	2.0	196.0	89.0	64.0	42.0
0	57	567.6746987951807	432.82329317269074	7.0	7.0	6.0	6.0	747.0	322.0	184.0	240.0
0	58	248.0	443.0568181818182	2.0	1.0	2.0	2.0	176.0	51.0	67.0	57.0
0	59	129.13214285714287	446.51964285714286	9.0	8.0	7.0	6.0	1680.0	846.0	506.0	328.0
0	60	229.6315789473684	448.1168910648715	7.0	6.0	7.0	6.0	1634.0	486.0	594.0	554.0
0	61	387.174358974359	447.4923076923077	7.0	5.0	5.0	7.0	1170.0	221.0	251.0	698.0
0	62	388.5959004392387	452.38286969253295	4.0	3.0	4.0	4.0	1366.0	263.0	489.0	614.0
0	63	43.01919866444074	456.30634390651085	8.0	7.0	8.0	8.0	1198.0	325.0	398.0	475.0
0	64	37.515151515151516	457.0	2.0	2.0	2.0	0.0	33.0	16.0	17.0	0.0
0	65	259.2857142857143	466.2857142857143	2.0	2.0	2.0	2.0	84.0	26.0	25.0	33.0
0	66	587.4264919941776	474.04075691411936	5.0	4.0	5.0	4.0	687.0	206.0	304.0	177.0
0	67	85.55135658914729	477.26259689922483	8.0	8.0	6.0	7.0	1032.0	437.0	256.0	339.0
0	68	210.49463647199048	477.6746126340882	5.0	5.0	5.0	5.0	839.0	355.0	292.0	192.0
1	0	488.29237288135596	5.84957627118644	9.0	9.0	8.0	7.0	944.0	421.0	230.0	293.0
1	1	375.7155361050328	12.094091903719912	4.0	4.0	4.0	4.0	457.0	130.0	192.0	135.0
1	2	537.2844444444445	20.04	3.0	2.0	3.0	2.0	225.0	85.0	76.0	63.0
1	3	589.3361204013378	21.38628762541806	6.0	6.0	4.0	4.0	1196.0	498.0	373.0	325.0
1	4	629.8570686070686	32.525467775467774	7.0	6.0	7.0	6.0	1924.0	497.0	767.0	660.0
1	5	83.71040189125296	33.39125295508274	6.0	5.0	6.0	4.0	846.0	445.0	274.0	126.0
