Brightness	Occurrences
1443.0	23
1869.0	18
1659.0	16
1828.0	15
1797.0	15
2326.0	14
2275.0	14
2010.0	14
2210.0	14
1926.0	14
1688.0	13
2006.0	13
2249.0	13
2893.0	13
2329.0	12
2125.0	12
1854.0	11
2195.0	11
2088.0	11
1934.0	11
2384.0	10
2994.0	10
1867.0	10
1803.0	10
1972.0	10
1813.0	9
2257.0	9
2367.0	9
1959.0	9
2601.0	9
2000.0	9
2116.0	9
2788.0	9
1925.0	9
2625.0	8
1890.0	8
2587.0	8
2500.0	8
2280.0	8
1824.0	8
2765.0	8
2267.0	8
1805.0	8
2143.0	8
2118.0	8
1674.0	8
2350.0	7
2248.0	7
1967.0	7
2536.0	7
2835.0	7
2769.0	7
2070.0	7
2655.0	7
1872.0	7
2756.0	7
2126.0	7
1827.0	7
3432.0	7
2130.0	7
2361.0	7
2570.0	6
2321.0	6
2045.0	6
2609.0	6
2109.0	6
2327.0	6
2562.0	6
3227.0	6
1960.0	6
2666.0	6
3080.0	6
2484.0	6
2531.0	6
2331.0	6
2555.0	6
2286.0	6
2929.0	6
2665.0	6
2056.0	6
2380.0	6
2293.0	6
1942.0	6
2548.0	6
2328.0	6
2106.0	6
2205.0	6
2099.0	6
2291.0	6
2187.0	6
2266.0	6
2323.0	6
2851.0	6
2409.0	6
2566.0	6
2009.0	6
2338.0	6
3467.0	6
2959.0	5
3149.0	5
2735.0	5
2199.0	5
2618.0	5
3016.0	5
2905.0	5
1956.0	5
1806.0	5
3377.0	5
3607.0	5
2425.0	5
2671.0	5
2895.0	5
2377.0	5
2685.0	5
3490.0	5
3238.0	5
2168.0	5
2677.0	5
2518.0	5
3279.0	5
2987.0	5
2217.0	5
2208.0	5
2701.0	5
2304.0	5
2404.0	5
2307.0	5
3011.0	5
2652.0	5
3359.0	5
2688.0	5
2303.0	5
2119.0	5
2731.0	5
1995.0	5
2174.0	5
3547.0	5
2611.0	5
2687.0	5
2875.0	5
2846.0	5
2296.0	5
3605.0	5
2100.0	5
2827.0	5
3168.0	5
2628.0	5
2659.0	5
2524.0	5
2468.0	5
3178.0	5
2253.0	4
2714.0	4
2674.0	4
3056.0	4
2683.0	4
2279.0	4
2324.0	4
2316.0	4
2220.0	4
2439.0	4
2235.0	4
2285.0	4
3024.0	4
3275.0	4
2216.0	4
2318.0	4
3548.0	4
2614.0	4
3461.0	4
2812.0	4
2355.0	4
2529.0	4
3089.0	4
2311.0	4
3094.0	4
2058.0	4
