Value	Count
5.0	210
4.0	194
19.0	185
9.0	182
14.0	181
8.0	175
12.0	174
7.0	172
40.0	151
11.0	149
6.0	148
22.0	146
15.0	144
31.0	138
13.0	137
17.0	134
29.0	133
23.0	132
30.0	125
16.0	124
27.0	123
24.0	119
64.0	117
33.0	117
10.0	115
20.0	114
26.0	113
34.0	113
189.0	110
60.0	110
36.0	108
52.0	108
135.0	107
21.0	107
45.0	107
84.0	106
51.0	105
38.0	105
208.0	104
25.0	104
207.0	100
35.0	100
78.0	100
80.0	99
72.0	99
50.0	98
152.0	98
88.0	98
41.0	96
46.0	96
55.0	95
93.0	94
67.0	93
49.0	93
87.0	92
79.0	92
57.0	92
133.0	92
197.0	92
122.0	91
59.0	91
62.0	91
121.0	91
28.0	91
81.0	90
77.0	90
63.0	90
118.0	90
66.0	90
70.0	89
137.0	88
201.0	88
227.0	88
161.0	88
114.0	88
320.0	87
236.0	87
264.0	87
276.0	87
146.0	87
42.0	86
184.0	86
186.0	86
110.0	86
254.0	85
39.0	85
202.0	85
83.0	85
181.0	85
174.0	84
43.0	84
164.0	84
248.0	84
298.0	84
136.0	84
48.0	84
279.0	83
96.0	83
203.0	83
3.0	83
144.0	83
167.0	82
319.0	82
86.0	82
243.0	82
268.0	82
2.0	82
111.0	82
245.0	82
199.0	82
89.0	81
44.0	81
162.0	81
306.0	81
205.0	80
193.0	80
211.0	80
262.0	80
94.0	80
200.0	80
209.0	80
85.0	79
18.0	79
73.0	79
171.0	79
293.0	79
170.0	79
61.0	78
291.0	78
140.0	78
282.0	78
176.0	78
101.0	78
231.0	77
305.0	77
53.0	77
366.0	77
360.0	77
113.0	76
120.0	76
251.0	76
91.0	76
226.0	76
258.0	75
220.0	75
32.0	75
278.0	75
153.0	75
177.0	75
119.0	75
216.0	75
54.0	75
351.0	75
194.0	75
286.0	74
117.0	74
58.0	74
37.0	74
180.0	74
105.0	74
259.0	74
215.0	74
221.0	74
56.0	74
224.0	74
76.0	74
280.0	74
125.0	74
362.0	74
349.0	74
214.0	73
163.0	73
126.0	73
155.0	73
317.0	73
104.0	73
90.0	73
106.0	73
212.0	72
284.0	72
169.0	72
398.0	72
246.0	72
115.0	72
271.0	72
242.0	72
69.0	72
187.0	72
138.0	72
219.0	72
139.0	72
217.0	72
253.0	71
234.0	71
132.0	71
361.0	71
112.0	71
128.0	71
206.0	71
252.0	71
277.0	70
68.0	70
74.0	70
304.0	70
386.0	70
223.0	70
157.0	70
109.0	69
159.0	69
150.0	69
75.0	69
376.0	69
168.0	69
292.0	69
47.0	68
108.0	68
238.0	68
379.0	68
272.0	68
107.0	68
145.0	68
230.0	68
312.0	67
392.0	67
233.0	67
222.0	67
310.0	67
459.0	67
290.0	67
103.0	67
131.0	67
315.0	66
154.0	66
283.0	66
151.0	66
285.0	66
142.0	66
329.0	66
391.0	66
65.0	65
368.0	65
179.0	65
71.0	65
99.0	65
456.0	65
172.0	65
384.0	65
296.0	65
489.0	64
339.0	64
241.0	64
229.0	64
356.0	64
191.0	64
297.0	64
141.0	64
340.0	64
175.0	63
330.0	63
185.0	63
129.0	63
82.0	63
307.0	63
295.0	63
370.0	63
143.0	63
347.0	63
98.0	62
390.0	62
381.0	62
323.0	62
158.0	62
196.0	62
95.0	62
309.0	62
342.0	61
92.0	61
130.0	61
314.0	61
178.0	61
451.0	61
355.0	61
400.0	61
470.0	60
210.0	60
412.0	60
123.0	60
147.0	60
166.0	60
275.0	60
257.0	60
486.0	60
350.0	60
239.0	59
417.0	59
148.0	59
249.0	59
100.0	59
303.0	59
403.0	59
165.0	59
240.0	59
225.0	59
97.0	59
415.0	59
444.0	58
364.0	58
482.0	58
345.0	58
255.0	58
265.0	58
313.0	58
373.0	58
299.0	58
149.0	58
182.0	57
434.0	57
405.0	57
507.0	57
449.0	57
204.0	57
256.0	57
327.0	57
102.0	57
446.0	57
321.0	57
382.0	57
331.0	57
281.0	57
519.0	57
213.0	57
261.0	56
160.0	56
260.0	56
371.0	56
173.0	56
266.0	55
341.0	55
421.0	55
359.0	55
287.0	55
289.0	55
383.0	54
389.0	54
352.0	54
422.0	54
273.0	54
127.0	54
188.0	54
420.0	54
399.0	54
124.0	54
505.0	54
332.0	54
372.0	54
357.0	54
344.0	53
269.0	53
409.0	53
267.0	53
433.0	53
270.0	53
388.0	53
228.0	53
496.0	52
195.0	52
218.0	52
441.0	52
325.0	52
485.0	52
378.0	52
445.0	52
308.0	51
478.0	51
156.0	51
487.0	51
190.0	51
502.0	51
524.0	51
439.0	51
480.0	51
316.0	51
413.0	51
250.0	51
116.0	51
457.0	51
232.0	50
134.0	50
436.0	50
380.0	50
447.0	50
365.0	50
311.0	50
423.0	50
235.0	50
589.0	50
198.0	50
353.0	50
515.0	50
237.0	50
401.0	50
510.0	49
428.0	49
410.0	49
244.0	49
418.0	49
488.0	49
374.0	49
337.0	49
543.0	49
460.0	49
437.0	49
336.0	49
396.0	49
407.0	48
335.0	48
535.0	48
404.0	48
458.0	48
465.0	48
367.0	48
358.0	48
633.0	48
183.0	48
294.0	48
326.0	47
438.0	47
402.0	47
464.0	47
406.0	47
537.0	47
474.0	47
442.0	47
577.0	46
263.0	46
393.0	46
527.0	46
531.0	46
492.0	46
503.0	46
453.0	46
322.0	46
416.0	46
461.0	45
363.0	45
397.0	45
411.0	45
377.0	45
301.0	45
395.0	45
419.0	44
599.0	44
300.0	44
328.0	44
495.0	44
440.0	44
469.0	44
385.0	44
192.0	44
288.0	44
343.0	44
493.0	43
348.0	43
466.0	43
536.0	43
526.0	43
429.0	43
354.0	43
590.0	43
497.0	42
346.0	42
533.0	42
506.0	42
333.0	42
540.0	42
318.0	42
471.0	42
334.0	42
576.0	42
491.0	42
302.0	41
274.0	41
394.0	41
584.0	41
572.0	41
551.0	40
561.0	40
554.0	40
455.0	40
425.0	40
476.0	40
479.0	40
414.0	39
548.0	39
529.0	39
587.0	39
534.0	39
450.0	39
611.0	39
490.0	38
424.0	38
477.0	38
324.0	38
375.0	38
472.0	38
463.0	37
