Value	Count
12.0	137
15.0	135
27.0	114
33.0	98
21.0	94
24.0	94
36.0	93
39.0	92
57.0	91
48.0	72
18.0	72
30.0	72
60.0	67
43.0	67
34.0	67
42.0	64
45.0	63
44.0	61
19.0	59
69.0	58
82.0	58
11.0	57
51.0	56
84.0	56
72.0	53
13.0	52
147.0	52
22.0	51
63.0	51
99.0	51
79.0	51
71.0	50
992.0	49
25.0	49
14.0	48
26.0	48
119.0	47
35.0	47
47.0	47
66.0	46
364.0	45
168.0	45
77.0	44
58.0	44
28.0	44
110.0	44
62.0	43
180.0	43
41.0	43
1259.0	43
135.0	43
1038.0	43
1049.0	43
568.0	42
1052.0	42
78.0	42
394.0	42
630.0	42
29.0	41
174.0	41
1195.0	41
100.0	41
37.0	41
120.0	41
177.0	41
31.0	41
1363.0	40
90.0	40
237.0	40
1340.0	40
38.0	40
684.0	40
1307.0	40
1275.0	40
1039.0	40
23.0	39
832.0	39
409.0	39
418.0	39
20.0	39
171.0	39
61.0	39
833.0	39
1087.0	38
40.0	38
1249.0	38
1349.0	38
152.0	38
275.0	38
46.0	38
117.0	38
16.0	38
76.0	38
1011.0	38
81.0	37
1496.0	37
386.0	37
1338.0	37
467.0	37
118.0	37
336.0	37
8.0	37
70.0	37
190.0	37
685.0	37
784.0	37
121.0	37
111.0	37
283.0	37
767.0	36
89.0	36
241.0	36
269.0	36
108.0	36
10.0	36
17.0	36
1403.0	36
1045.0	36
88.0	36
96.0	36
159.0	36
92.0	36
123.0	36
106.0	36
538.0	36
844.0	35
1503.0	35
116.0	35
138.0	35
938.0	35
1227.0	35
93.0	35
1471.0	35
205.0	35
845.0	35
713.0	35
421.0	35
1391.0	35
216.0	35
746.0	35
83.0	35
185.0	35
1162.0	35
963.0	35
430.0	35
794.0	35
1406.0	35
107.0	34
411.0	34
1545.0	34
53.0	34
73.0	34
1534.0	34
1390.0	34
304.0	34
1050.0	34
471.0	34
1076.0	34
114.0	34
91.0	34
101.0	34
1108.0	34
1114.0	34
1325.0	34
1283.0	34
521.0	34
124.0	34
699.0	34
55.0	34
230.0	34
1147.0	34
688.0	34
130.0	34
415.0	34
461.0	34
54.0	34
163.0	34
148.0	33
127.0	33
1139.0	33
831.0	33
126.0	33
1048.0	33
1174.0	33
510.0	33
917.0	33
396.0	33
600.0	33
175.0	33
1613.0	33
323.0	33
317.0	33
911.0	33
771.0	33
1425.0	33
973.0	33
312.0	33
255.0	33
886.0	33
1273.0	33
166.0	33
328.0	33
775.0	33
195.0	33
824.0	33
307.0	33
334.0	33
1370.0	33
75.0	33
341.0	33
1137.0	32
1507.0	32
758.0	32
895.0	32
32.0	32
1291.0	32
956.0	32
1078.0	32
1398.0	32
1501.0	32
349.0	32
1212.0	32
1197.0	32
1367.0	32
136.0	32
946.0	32
780.0	32
1109.0	32
730.0	32
544.0	32
1418.0	32
731.0	32
1099.0	32
1096.0	32
1315.0	32
1143.0	32
913.0	32
321.0	32
1033.0	32
105.0	32
714.0	32
940.0	32
582.0	32
943.0	32
1287.0	32
1064.0	32
437.0	32
638.0	32
443.0	32
220.0	32
744.0	32
1118.0	31
372.0	31
297.0	31
1339.0	31
65.0	31
728.0	31
1158.0	31
541.0	31
86.0	31
567.0	31
611.0	31
1185.0	31
1434.0	31
1007.0	31
1591.0	31
215.0	31
224.0	31
1299.0	31
1184.0	31
1088.0	31
419.0	31
128.0	31
1023.0	31
515.0	31
755.0	31
98.0	31
648.0	31
855.0	31
1354.0	31
826.0	31
252.0	31
747.0	31
1574.0	31
1075.0	31
883.0	31
759.0	31
1061.0	31
1121.0	31
186.0	30
451.0	30
706.0	30
682.0	30
918.0	30
732.0	30
1113.0	30
680.0	30
206.0	30
652.0	30
251.0	30
1182.0	30
949.0	30
524.0	30
313.0	30
752.0	30
102.0	30
87.0	30
1376.0	30
455.0	30
80.0	30
1126.0	30
754.0	30
1187.0	30
1413.0	30
953.0	30
981.0	30
285.0	30
425.0	30
625.0	30
214.0	30
1295.0	30
223.0	30
592.0	30
811.0	30
306.0	30
59.0	30
1042.0	30
142.0	30
284.0	30
1465.0	30
546.0	30
1393.0	30
1030.0	30
1487.0	30
95.0	30
838.0	30
300.0	30
1383.0	30
370.0	30
281.0	30
1002.0	30
591.0	30
1336.0	29
724.0	29
176.0	29
1164.0	29
482.0	29
240.0	29
1348.0	29
465.0	29
149.0	29
1172.0	29
235.0	29
484.0	29
1217.0	29
446.0	29
225.0	29
137.0	29
741.0	29
581.0	29
1444.0	29
1199.0	29
182.0	29
1245.0	29
705.0	29
1178.0	29
203.0	29
248.0	29
479.0	29
282.0	29
579.0	29
261.0	29
769.0	29
853.0	29
1296.0	29
753.0	29
1214.0	29
894.0	29
867.0	29
550.0	29
997.0	29
50.0	29
727.0	29
444.0	29
296.0	29
1138.0	29
839.0	29
1372.0	29
1374.0	29
355.0	28
9.0	28
782.0	28
68.0	28
184.0	28
52.0	28
627.0	28
85.0	28
134.0	28
537.0	28
1300.0	28
1133.0	28
1127.0	28
431.0	28
475.0	28
1474.0	28
887.0	28
830.0	28
172.0	28
1426.0	28
1321.0	28
1266.0	28
1436.0	28
104.0	28
1578.0	28
1473.0	28
440.0	28
1378.0	28
1346.0	28
1326.0	28
1368.0	28
1541.0	28
1150.0	28
238.0	28
818.0	28
485.0	28
1132.0	28
848.0	28
204.0	28
1320.0	28
1445.0	28
622.0	28
906.0	28
1120.0	28
259.0	28
987.0	28
363.0	28
721.0	28
1077.0	28
986.0	28
928.0	28
874.0	28
243.0	28
1208.0	28
1294.0	27
493.0	27
154.0	27
687.0	27
1314.0	27
160.0	27
1382.0	27
414.0	27
207.0	27
1111.0	27
131.0	27
681.0	27
1092.0	27
198.0	27
348.0	27
460.0	27
1254.0	27
211.0	27
192.0	27
736.0	27
776.0	27
1189.0	27
1059.0	27
1563.0	27
1486.0	27
325.0	27
1116.0	27
314.0	27
1611.0	27
277.0	27
655.0	27
890.0	27
1041.0	27
837.0	27
763.0	27
1482.0	27
381.0	27
673.0	27
562.0	27
1216.0	27
466.0	27
1248.0	27
536.0	27
109.0	27
692.0	27
577.0	27
501.0	27
1733.0	27
1124.0	27
335.0	27
332.0	27
1469.0	27
194.0	27
1548.0	27
1284.0	27
347.0	27
585.0	27
375.0	27
1047.0	27
850.0	27
1021.0	27
594.0	27
1329.0	27
229.0	26
1324.0	26
94.0	26
1081.0	26
113.0	26
213.0	26
695.0	26
995.0	26
1432.0	26
1298.0	26
1519.0	26
1371.0	26
872.0	26
957.0	26
210.0	26
245.0	26
1389.0	26
1522.0	26
165.0	26
843.0	26
636.0	26
870.0	26
1369.0	26
1004.0	26
1244.0	26
339.0	26
1285.0	26
1067.0	26
1350.0	26
955.0	26
722.0	26
1676.0	26
671.0	26
144.0	26
1316.0	26
187.0	26
298.0	26
1044.0	26
558.0	26
67.0	26
125.0	26
1510.0	26
1204.0	26
305.0	26
944.0	26
1365.0	26
1237.0	26
1034.0	26
1491.0	26
1079.0	26
200.0	26
858.0	26
545.0	26
228.0	26
1012.0	26
1289.0	26
711.0	26
878.0	26
557.0	26
473.0	26
257.0	26
1673.0	26
1020.0	26
217.0	26
586.0	26
1399.0	26
287.0	26
910.0	26
1241.0	26
896.0	26
383.0	25
975.0	25
1219.0	25
459.0	25
1181.0	25
423.0	25
155.0	25
1286.0	25
97.0	25
840.0	25
1568.0	25
1499.0	25
765.0	25
189.0	25
1080.0	25
191.0	25
1129.0	25
786.0	25
1609.0	25
274.0	25
639.0	25
1274.0	25
757.0	25
129.0	25
865.0	25
576.0	25
1163.0	25
1515.0	25
1006.0	25
1093.0	25
162.0	25
921.0	25
676.0	25
817.0	25
1168.0	25
1360.0	25
436.0	25
691.0	25
258.0	25
1387.0	25
56.0	25
1220.0	25
1242.0	25
779.0	25
909.0	25
140.0	25
1251.0	25
472.0	25
958.0	25
260.0	25
628.0	25
1763.0	25
331.0	25
401.0	25
1513.0	25
1505.0	25
1313.0	25
1225.0	25
745.0	25
158.0	25
1176.0	25
1362.0	25
945.0	25
726.0	25
556.0	24
823.0	24
851.0	24
607.0	24
1463.0	24
1230.0	24
429.0	24
1577.0	24
402.0	24
1082.0	24
1194.0	24
1258.0	24
862.0	24
333.0	24
1110.0	24
900.0	24
1055.0	24
49.0	24
1431.0	24
690.0	24
1035.0	24
1239.0	24
202.0	24
965.0	24
1664.0	24
1481.0	24
464.0	24
1235.0	24
1028.0	24
1483.0	24
327.0	24
1136.0	24
319.0	24
985.0	24
806.0	24
1466.0	24
1559.0	24
645.0	24
391.0	24
351.0	24
1357.0	24
1623.0	24
678.0	24
935.0	24
1117.0	24
1094.0	24
434.0	24
1680.0	24
209.0	24
1668.0	24
819.0	24
1620.0	24
299.0	24
1306.0	24
534.0	24
1156.0	24
1524.0	24
367.0	24
1177.0	24
1744.0	24
803.0	24
469.0	24
122.0	23
522.0	23
932.0	23
222.0	23
362.0	23
1485.0	23
315.0	23
1656.0	23
904.0	23
1331.0	23
961.0	23
495.0	23
528.0	23
1086.0	23
1560.0	23
218.0	23
1618.0	23
773.0	23
115.0	23
256.0	23
1104.0	23
1089.0	23
393.0	23
1585.0	23
340.0	23
1247.0	23
552.0	23
1405.0	23
1180.0	23
999.0	23
1351.0	23
1161.0	23
290.0	23
1366.0	23
292.0	23
1586.0	23
1430.0	23
278.0	23
432.0	23
820.0	23
196.0	23
768.0	23
766.0	23
1232.0	23
619.0	23
1375.0	23
499.0	23
930.0	23
1167.0	23
1582.0	23
793.0	23
1271.0	23
1438.0	23
412.0	23
873.0	23
276.0	23
1531.0	23
1379.0	23
1544.0	23
1468.0	23
756.0	23
929.0	23
634.0	23
488.0	23
1083.0	23
1746.0	23
1128.0	23
338.0	23
774.0	23
723.0	23
1053.0	23
1424.0	23
416.0	23
477.0	23
470.0	23
389.0	23
1257.0	22
1439.0	22
1553.0	22
183.0	22
709.0	22
1353.0	22
1302.0	22
1448.0	22
772.0	22
1095.0	22
1385.0	22
593.0	22
1202.0	22
1355.0	22
539.0	22
1449.0	22
1694.0	22
64.0	22
303.0	22
869.0	22
1046.0	22
1612.0	22
208.0	22
246.0	22
1356.0	22
1500.0	22
1317.0	22
156.0	22
666.0	22
1165.0	22
1010.0	22
197.0	22
1166.0	22
743.0	22
1101.0	22
1131.0	22
1460.0	22
672.0	22
807.0	22
1478.0	22
1521.0	22
1573.0	22
1570.0	22
267.0	22
1175.0	22
1475.0	22
1282.0	22
1250.0	22
112.0	22
737.0	22
407.0	22
1226.0	22
563.0	22
1240.0	22
920.0	22
770.0	22
397.0	22
729.0	22
1036.0	22
439.0	22
1417.0	22
948.0	22
498.0	22
377.0	22
718.0	22
1743.0	22
1364.0	22
797.0	22
700.0	22
1279.0	22
1342.0	22
266.0	22
1031.0	22
1090.0	22
978.0	22
1459.0	22
1179.0	22
507.0	22
1097.0	22
1107.0	22
575.0	22
164.0	22
1106.0	22
664.0	22
517.0	22
1102.0	22
1394.0	22
322.0	22
1149.0	22
560.0	22
1221.0	21
1530.0	21
967.0	21
435.0	21
1327.0	21
486.0	21
1458.0	21
308.0	21
264.0	21
994.0	21
658.0	21
1532.0	21
139.0	21
463.0	21
1454.0	21
1614.0	21
1477.0	21
273.0	21
150.0	21
1571.0	21
169.0	21
1512.0	21
936.0	21
1188.0	21
923.0	21
901.0	21
1003.0	21
667.0	21
329.0	21
926.0	21
1404.0	21
791.0	21
1543.0	21
708.0	21
378.0	21
866.0	21
178.0	21
428.0	21
1134.0	21
1125.0	21
892.0	21
897.0	21
1091.0	21
1606.0	21
1480.0	21
1411.0	21
976.0	21
1550.0	21
884.0	21
236.0	21
697.0	21
893.0	21
1895.0	21
566.0	21
868.0	21
1562.0	21
143.0	21
1322.0	21
1069.0	21
1704.0	21
908.0	21
1144.0	21
1160.0	21
199.0	21
748.0	21
413.0	21
219.0	21
1440.0	21
1359.0	21
233.0	21
1409.0	21
1027.0	21
523.0	21
1263.0	21
360.0	21
879.0	21
623.0	21
674.0	21
452.0	21
715.0	21
1140.0	21
422.0	20
792.0	20
513.0	20
966.0	20
1303.0	20
1173.0	20
602.0	20
380.0	20
496.0	20
359.0	20
703.0	20
787.0	20
877.0	20
613.0	20
1589.0	20
971.0	20
221.0	20
234.0	20
487.0	20
289.0	20
1453.0	20
373.0	20
1386.0	20
1554.0	20
650.0	20
1645.0	20
1278.0	20
847.0	20
796.0	20
250.0	20
846.0	20
1381.0	20
354.0	20
1580.0	20
1427.0	20
1264.0	20
489.0	20
809.0	20
542.0	20
1540.0	20
1497.0	20
1312.0	20
458.0	20
1361.0	20
962.0	20
712.0	20
1599.0	20
1461.0	20
614.0	20
694.0	20
379.0	20
532.0	20
1269.0	20
969.0	20
816.0	20
291.0	20
1228.0	20
1422.0	20
1072.0	20
1009.0	20
369.0	20
616.0	20
74.0	20
689.0	20
1105.0	20
1596.0	20
1022.0	20
750.0	20
590.0	20
410.0	20
518.0	20
571.0	20
982.0	20
1523.0	20
683.0	20
503.0	20
1492.0	20
644.0	20
572.0	20
1890.0	20
1839.0	20
438.0	20
912.0	20
669.0	20
1629.0	20
620.0	20
231.0	20
777.0	20
1332.0	20
553.0	20
1311.0	20
1626.0	19
1822.0	19
445.0	19
990.0	19
574.0	19
1632.0	19
854.0	19
548.0	19
1688.0	19
1597.0	19
624.0	19
637.0	19
330.0	19
1141.0	19
583.0	19
272.0	19
433.0	19
181.0	19
1084.0	19
456.0	19
462.0	19
1057.0	19
294.0	19
1396.0	19
1190.0	19
1476.0	19
1029.0	19
133.0	19
1334.0	19
941.0	19
392.0	19
1672.0	19
1661.0	19
1429.0	19
547.0	19
481.0	19
739.0	19
1520.0	19
927.0	19
1433.0	19
916.0	19
725.0	19
1019.0	19
934.0	19
1683.0	19
1644.0	19
525.0	19
626.0	19
670.0	19
1373.0	19
399.0	19
551.0	19
1709.0	19
596.0	19
1392.0	19
1410.0	19
179.0	19
1590.0	19
533.0	19
954.0	19
1401.0	19
448.0	19
1728.0	19
1817.0	19
318.0	19
132.0	19
188.0	19
1026.0	19
1051.0	19
1335.0	19
1043.0	19
942.0	19
599.0	19
1799.0	19
1732.0	19
309.0	19
1292.0	19
1024.0	19
453.0	19
153.0	19
247.0	18
790.0	18
849.0	18
693.0	18
1509.0	18
891.0	18
1414.0	18
1875.0	18
996.0	18
612.0	18
903.0	18
950.0	18
964.0	18
1820.0	18
265.0	18
632.0	18
812.0	18
1384.0	18
1152.0	18
1467.0	18
651.0	18
629.0	18
1566.0	18
1518.0	18
1435.0	18
1267.0	18
1867.0	18
1280.0	18
1624.0	18
1533.0	18
1265.0	18
103.0	18
813.0	18
988.0	18
1388.0	18
543.0	18
1621.0	18
1455.0	18
1074.0	18
388.0	18
1684.0	18
480.0	18
490.0	18
1536.0	18
799.0	18
1470.0	18
1605.0	18
1647.0	18
514.0	18
424.0	18
526.0	18
1288.0	18
1494.0	18
1752.0	18
1442.0	18
1112.0	18
641.0	18
357.0	18
1736.0	18
1625.0	18
1756.0	18
311.0	18
1297.0	18
1015.0	18
778.0	18
1305.0	18
450.0	18
1017.0	18
704.0	18
1281.0	18
827.0	18
520.0	18
468.0	18
342.0	18
979.0	18
1691.0	18
751.0	18
1420.0	17
1702.0	17
810.0	17
371.0	17
983.0	17
1443.0	17
569.0	17
1008.0	17
1207.0	17
1441.0	17
1758.0	17
1070.0	17
1123.0	17
761.0	17
1719.0	17
1262.0	17
679.0	17
980.0	17
601.0	17
665.0	17
1472.0	17
352.0	17
249.0	17
989.0	17
1098.0	17
1345.0	17
145.0	17
1551.0	17
157.0	17
1446.0	17
1276.0	17
1205.0	17
603.0	17
815.0	17
597.0	17
270.0	17
268.0	17
1192.0	17
1457.0	17
633.0	17
508.0	17
1484.0	17
288.0	17
1155.0	17
808.0	17
952.0	17
1556.0	17
657.0	17
972.0	17
1062.0	17
609.0	17
441.0	17
1547.0	17
1660.0	17
1561.0	17
789.0	17
608.0	17
1018.0	17
1066.0	17
2019.0	17
984.0	17
358.0	17
1056.0	17
882.0	17
635.0	17
880.0	17
660.0	17
1699.0	17
642.0	17
716.0	17
505.0	17
405.0	17
516.0	17
828.0	17
1193.0	17
1725.0	17
1215.0	17
1654.0	17
201.0	17
1157.0	17
1154.0	17
1222.0	17
835.0	17
1705.0	17
549.0	17
167.0	17
1462.0	16
519.0	16
1741.0	16
1552.0	16
1608.0	16
899.0	16
1211.0	16
1643.0	16
356.0	16
889.0	16
1377.0	16
1615.0	16
922.0	16
1456.0	16
587.0	16
800.0	16
659.0	16
374.0	16
631.0	16
390.0	16
738.0	16
573.0	16
559.0	16
530.0	16
1085.0	16
788.0	16
1557.0	16
675.0	16
1400.0	16
1838.0	16
702.0	16
1380.0	16
1186.0	16
242.0	16
1014.0	16
1333.0	16
802.0	16
1016.0	16
1408.0	16
1198.0	16
1261.0	16
1040.0	16
1063.0	16
1653.0	16
478.0	16
1542.0	16
1236.0	16
1504.0	16
885.0	16
1260.0	16
1200.0	16
860.0	16
1213.0	16
1740.0	16
326.0	16
512.0	16
271.0	16
998.0	16
863.0	16
733.0	16
1657.0	16
1488.0	16
1926.0	16
1610.0	16
1954.0	16
1238.0	16
561.0	16
668.0	16
1635.0	16
598.0	16
1565.0	16
1622.0	16
554.0	16
939.0	16
905.0	16
141.0	16
382.0	16
1782.0	16
852.0	16
1527.0	16
365.0	15
1145.0	15
1631.0	15
1191.0	15
1754.0	15
239.0	15
914.0	15
595.0	15
1452.0	15
656.0	15
1636.0	15
742.0	15
1268.0	15
1567.0	15
310.0	15
1025.0	15
1666.0	15
1319.0	15
653.0	15
970.0	15
350.0	15
1183.0	15
531.0	15
1723.0	15
1323.0	15
1343.0	15
696.0	15
1415.0	15
584.0	15
497.0	15
805.0	15
279.0	15
1253.0	15
353.0	15
1549.0	15
1146.0	15
1233.0	15
1054.0	15
1873.0	15
1330.0	15
801.0	15
841.0	15
764.0	15
1005.0	15
1032.0	15
384.0	15
262.0	15
907.0	15
1700.0	15
1304.0	15
1421.0	15
1790.0	15
263.0	15
426.0	15
1122.0	15
1569.0	15
1797.0	15
212.0	15
1310.0	15
1576.0	15
1058.0	15
226.0	15
1921.0	15
494.0	15
1598.0	15
663.0	15
1659.0	15
1737.0	15
1703.0	15
1687.0	15
1697.0	15
1841.0	15
1538.0	15
280.0	15
1859.0	15
875.0	15
506.0	15
376.0	15
1641.0	15
1231.0	15
822.0	15
1795.0	15
1412.0	15
1419.0	15
740.0	15
1638.0	15
707.0	14
1924.0	14
902.0	14
749.0	14
1931.0	14
861.0	14
1416.0	14
1807.0	14
993.0	14
395.0	14
2122.0	14
1464.0	14
1498.0	14
1209.0	14
1579.0	14
829.0	14
1738.0	14
1755.0	14
1525.0	14
1575.0	14
804.0	14
227.0	14
919.0	14
1803.0	14
734.0	14
1103.0	14
337.0	14
1603.0	14
1696.0	14
1602.0	14
1341.0	14
610.0	14
1130.0	14
876.0	14
1529.0	14
1815.0	14
578.0	14
1731.0	14
1277.0	14
710.0	14
991.0	14
881.0	14
1785.0	14
698.0	14
1447.0	14
1135.0	14
385.0	14
1159.0	14
1119.0	14
400.0	14
1711.0	14
924.0	14
1347.0	14
1564.0	14
1206.0	14
1604.0	14
662.0	14
346.0	14
570.0	14
1423.0	14
1153.0	14
1882.0	14
1655.0	14
1677.0	14
1071.0	14
857.0	14
1678.0	14
1750.0	14
529.0	14
476.0	14
1594.0	14
146.0	14
504.0	14
1352.0	14
1796.0	14
151.0	14
814.0	13
1037.0	13
302.0	13
454.0	13
859.0	13
1759.0	13
173.0	13
387.0	13
836.0	13
654.0	13
617.0	13
1784.0	13
1203.0	13
1671.0	13
254.0	13
1270.0	13
1686.0	13
1234.0	13
1224.0	13
1115.0	13
1170.0	13
1272.0	13
1775.0	13
1974.0	13
161.0	13
408.0	13
1593.0	13
1821.0	13
1630.0	13
1778.0	13
1293.0	13
1516.0	13
1142.0	13
1712.0	13
344.0	13
1328.0	13
1318.0	13
925.0	13
785.0	13
1652.0	13
1679.0	13
555.0	13
1581.0	13
420.0	13
615.0	13
1789.0	13
244.0	13
1840.0	13
1682.0	13
1793.0	13
1148.0	13
1169.0	13
604.0	13
232.0	13
1537.0	13
933.0	13
535.0	13
1301.0	13
417.0	13
398.0	13
1861.0	13
1792.0	13
286.0	13
1829.0	13
1760.0	13
502.0	13
1617.0	12
1745.0	12
661.0	12
864.0	12
647.0	12
649.0	12
760.0	12
1887.0	12
959.0	12
1717.0	12
403.0	12
1502.0	12
937.0	12
1748.0	12
1846.0	12
1506.0	12
1898.0	12
1810.0	12
449.0	12
1337.0	12
646.0	12
1201.0	12
1514.0	12
606.0	12
1854.0	12
1715.0	12
1690.0	12
1979.0	12
1885.0	12
915.0	12
1695.0	12
1068.0	12
491.0	12
1883.0	12
1607.0	12
968.0	12
588.0	12
1558.0	12
1252.0	12
643.0	12
1824.0	12
295.0	12
253.0	12
821.0	12
783.0	12
1769.0	12
735.0	12
1255.0	12
457.0	12
366.0	12
1000.0	12
1196.0	12
1397.0	12
1526.0	12
1395.0	12
1229.0	12
1256.0	12
1584.0	12
1642.0	12
842.0	12
605.0	12
