Value	Count
4.0	254
12.0	209
7.0	201
5.0	200
8.0	197
6.0	192
13.0	173
9.0	172
15.0	164
19.0	157
11.0	148
14.0	144
10.0	143
24.0	140
31.0	136
20.0	132
17.0	132
26.0	126
36.0	124
21.0	121
23.0	121
16.0	115
29.0	114
25.0	113
302.0	112
33.0	111
56.0	110
28.0	109
18.0	108
42.0	107
289.0	107
22.0	107
73.0	106
48.0	103
369.0	101
43.0	99
446.0	99
275.0	99
34.0	99
40.0	97
41.0	97
55.0	97
371.0	95
346.0	95
62.0	94
87.0	94
299.0	94
362.0	93
27.0	93
131.0	92
229.0	92
32.0	92
71.0	92
389.0	90
237.0	90
60.0	90
128.0	90
310.0	90
315.0	89
151.0	89
84.0	89
54.0	88
171.0	87
431.0	87
364.0	87
475.0	86
263.0	86
37.0	86
372.0	86
356.0	86
69.0	86
375.0	85
483.0	85
340.0	85
63.0	85
49.0	85
473.0	84
38.0	84
413.0	84
293.0	84
52.0	84
421.0	83
463.0	83
467.0	83
98.0	83
53.0	83
487.0	83
113.0	83
188.0	83
300.0	83
162.0	83
57.0	82
236.0	82
94.0	82
214.0	81
397.0	81
67.0	81
92.0	81
316.0	81
104.0	81
403.0	81
385.0	81
153.0	80
307.0	80
334.0	80
276.0	80
225.0	79
89.0	79
380.0	79
425.0	79
76.0	79
370.0	79
365.0	78
314.0	78
124.0	78
59.0	78
149.0	78
341.0	78
357.0	78
441.0	78
408.0	77
109.0	77
51.0	77
146.0	77
414.0	77
331.0	77
86.0	77
257.0	77
50.0	77
450.0	76
221.0	76
35.0	76
353.0	76
499.0	75
395.0	75
88.0	75
345.0	75
47.0	75
427.0	75
517.0	75
336.0	75
271.0	75
350.0	74
444.0	74
155.0	74
452.0	74
306.0	74
388.0	74
68.0	74
242.0	74
126.0	74
272.0	74
435.0	73
3.0	73
412.0	73
436.0	73
278.0	73
384.0	73
297.0	73
355.0	73
313.0	73
261.0	73
322.0	73
156.0	73
110.0	73
177.0	73
390.0	73
108.0	73
115.0	73
285.0	73
552.0	72
82.0	72
77.0	72
186.0	72
359.0	72
437.0	72
100.0	72
279.0	72
97.0	72
