Value	Count
4.0	234
5.0	204
12.0	187
9.0	180
7.0	170
19.0	168
13.0	164
8.0	164
14.0	160
6.0	150
11.0	147
17.0	146
16.0	145
24.0	139
15.0	138
20.0	137
28.0	133
36.0	132
64.0	126
25.0	122
21.0	122
27.0	121
30.0	120
22.0	119
46.0	116
26.0	115
53.0	113
34.0	110
71.0	110
416.0	109
23.0	107
29.0	104
42.0	103
35.0	103
69.0	102
43.0	102
40.0	102
146.0	100
459.0	100
62.0	100
33.0	100
135.0	99
250.0	99
10.0	99
60.0	98
209.0	96
299.0	96
48.0	95
107.0	95
77.0	94
31.0	93
49.0	92
51.0	92
18.0	92
79.0	92
45.0	92
285.0	91
165.0	91
76.0	91
78.0	91
70.0	91
140.0	91
122.0	90
162.0	90
108.0	90
197.0	90
284.0	90
52.0	89
55.0	88
75.0	88
150.0	88
125.0	88
123.0	88
347.0	87
192.0	87
258.0	87
277.0	87
318.0	87
61.0	87
82.0	86
205.0	86
99.0	86
224.0	86
74.0	86
320.0	86
121.0	86
167.0	86
200.0	85
259.0	85
204.0	85
92.0	85
59.0	85
154.0	85
72.0	84
152.0	84
118.0	84
210.0	84
219.0	84
105.0	84
240.0	83
397.0	83
54.0	83
114.0	83
145.0	83
90.0	83
128.0	82
193.0	82
41.0	82
160.0	82
184.0	82
221.0	82
352.0	82
183.0	82
392.0	82
223.0	82
37.0	82
201.0	81
96.0	81
86.0	81
216.0	81
83.0	81
263.0	81
120.0	81
164.0	81
50.0	81
220.0	81
449.0	80
283.0	80
171.0	80
420.0	80
180.0	80
130.0	80
256.0	80
47.0	80
265.0	80
44.0	80
56.0	79
124.0	79
172.0	79
177.0	79
317.0	79
188.0	79
159.0	79
248.0	79
280.0	78
112.0	78
229.0	78
481.0	78
288.0	78
313.0	78
328.0	78
98.0	77
116.0	77
38.0	77
279.0	77
301.0	77
175.0	77
252.0	77
234.0	77
339.0	76
218.0	76
249.0	76
261.0	76
329.0	76
138.0	76
87.0	75
65.0	75
406.0	75
222.0	75
264.0	75
243.0	75
292.0	75
316.0	75
236.0	75
174.0	75
66.0	74
262.0	74
415.0	74
366.0	74
266.0	74
450.0	74
302.0	74
63.0	74
304.0	74
182.0	73
289.0	73
3.0	73
324.0	73
203.0	73
377.0	73
57.0	72
158.0	72
126.0	72
321.0	72
342.0	72
305.0	72
327.0	72
215.0	71
97.0	71
466.0	71
251.0	71
67.0	71
68.0	71
94.0	71
453.0	70
101.0	70
360.0	70
117.0	70
270.0	70
331.0	70
254.0	70
429.0	70
148.0	70
383.0	69
176.0	69
297.0	69
357.0	69
393.0	69
189.0	69
213.0	69
237.0	69
405.0	69
73.0	69
372.0	68
85.0	68
242.0	68
330.0	68
208.0	68
95.0	68
267.0	68
195.0	68
310.0	68
437.0	67
227.0	67
408.0	67
119.0	67
228.0	67
460.0	67
133.0	67
356.0	67
207.0	67
286.0	67
232.0	67
235.0	67
361.0	67
32.0	67
281.0	66
100.0	66
143.0	66
431.0	66
244.0	66
198.0	66
362.0	66
178.0	66
111.0	66
422.0	65
255.0	65
131.0	65
142.0	65
109.0	65
364.0	65
295.0	65
291.0	65
179.0	65
332.0	65
307.0	65
452.0	65
298.0	64
231.0	64
190.0	64
