#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	0	378.29522108083967	0.4935238945958017	7.0	5.0	7.0	6.0	2239.0	480.0	881.0	878.0
0	1	148.21882951653944	4.71882951653944	6.0	2.0	2.0	6.0	786.0	123.0	119.0	544.0
0	2	377.0	25.0	1.0	1.0	1.0	0.0	15.0	6.0	9.0	0.0
0	3	442.59080962800874	37.21663019693654	5.0	5.0	4.0	3.0	457.0	219.0	164.0	74.0
0	4	495.05589307411907	51.681652490887	7.0	6.0	6.0	7.0	823.0	162.0	221.0	440.0
0	5	621.9496402877697	52.68884892086331	8.0	5.0	7.0	8.0	1668.0	303.0	522.0	843.0
0	6	151.25641025641025	54.09440559440559	6.0	6.0	6.0	5.0	858.0	300.0	371.0	187.0
0	7	338.62796208530807	64.05805687203791	7.0	6.0	7.0	6.0	844.0	295.0	298.0	250.0
0	8	377.4267461669506	66.62095400340715	6.0	6.0	5.0	5.0	1174.0	454.0	379.0	341.0
0	9	465.0	70.0	1.0	1.0	1.0	1.0	103.0	34.0	35.0	34.0
0	10	630.468448729185	76.8957055214724	8.0	8.0	7.0	6.0	2282.0	904.0	755.0	623.0
0	11	184.09608678806663	118.70166602092212	8.0	8.0	8.0	6.0	2581.0	691.0	1043.0	847.0
0	12	446.0	133.47590361445782	2.0	2.0	2.0	2.0	166.0	56.0	56.0	54.0
0	13	198.84848484848484	140.0151515151515	4.0	4.0	4.0	3.0	132.0	64.0	40.0	28.0
0	14	520.6399217221135	139.92367906066536	4.0	4.0	4.0	4.0	511.0	169.0	146.0	196.0
0	15	108.40143369175627	150.80645161290323	4.0	4.0	4.0	2.0	279.0	73.0	122.0	84.0
0	16	267.9248120300752	154.90977443609023	6.0	5.0	5.0	4.0	532.0	200.0	183.0	147.0
0	17	594.9345203905801	159.24066628374499	11.0	11.0	10.0	11.0	1741.0	636.0	421.0	684.0
0	18	498.56363636363636	159.6848484848485	4.0	2.0	4.0	4.0	165.0	50.0	73.0	41.0
0	19	311.85925925925926	161.57222222222222	5.0	5.0	5.0	4.0	540.0	189.0	196.0	155.0
0	20	283.75	164.0	2.0	2.0	2.0	2.0	108.0	34.0	33.0	41.0
0	21	326.43754619364375	174.12416851441242	9.0	9.0	6.0	5.0	1353.0	800.0	351.0	202.0
0	22	324.8165020707232	178.85759796113413	13.0	10.0	12.0	13.0	3139.0	760.0	935.0	1444.0
0	23	639.0	183.0	1.0	1.0	1.0	1.0	75.0	10.0	37.0	28.0
0	24	369.6130397967824	195.18797629127857	7.0	6.0	6.0	5.0	1181.0	296.0	446.0	439.0
0	25	361.4153846153846	215.67384615384614	4.0	4.0	4.0	4.0	650.0	219.0	200.0	231.0
0	26	170.43063063063062	237.64684684684684	6.0	6.0	6.0	5.0	555.0	181.0	223.0	151.0
0	27	427.3776435045317	259.68126888217523	4.0	4.0	4.0	4.0	662.0	173.0	225.0	264.0
0	28	161.7596223674655	263.55628177196803	7.0	7.0	6.0	6.0	1377.0	442.0	503.0	432.0
0	29	265.9546875	291.421875	6.0	5.0	6.0	6.0	640.0	137.0	213.0	290.0
0	30	83.51524879614767	304.4430176565008	4.0	3.0	4.0	4.0	623.0	143.0	178.0	302.0
0	31	475.7702479338843	310.57190082644627	6.0	6.0	6.0	2.0	605.0	276.0	284.0	45.0
0	32	258.358390682901	323.26680783483323	7.0	7.0	6.0	6.0	1889.0	559.0	526.0	804.0
0	33	299.33672431332656	331.98880976602237	13.0	9.0	12.0	13.0	3932.0	941.0	1279.0	1711.0
0	34	332.5191082802548	341.11146496815286	7.0	7.0	3.0	3.0	628.0	365.0	111.0	152.0
0	35	149.93086003372682	343.929173693086	4.0	3.0	4.0	4.0	593.0	160.0	168.0	265.0
0	36	560.5733512786003	348.3674293405114	4.0	4.0	4.0	4.0	743.0	151.0	280.0	312.0
0	37	498.28753993610223	355.38338658146967	4.0	3.0	4.0	4.0	313.0	61.0	97.0	155.0
0	38	203.8940234134319	367.3000616142945	16.0	14.0	14.0	10.0	3246.0	1217.0	1285.0	743.0
0	39	289.33541430192963	369.0686719636776	9.0	6.0	7.0	6.0	1762.0	736.0	591.0	435.0
0	40	270.7088607594937	406.7649186256781	4.0	4.0	4.0	2.0	553.0	244.0	195.0	114.0
0	41	56.45164410058027	415.54448742746615	4.0	4.0	4.0	4.0	1034.0	240.0	358.0	436.0
0	42	497.8568848758465	418.91286681715576	9.0	7.0	8.0	9.0	2215.0	406.0	901.0	907.0
0	43	593.7429530201342	436.37919463087246	5.0	5.0	5.0	5.0	1490.0	388.0	550.0	552.0
0	44	52.106988249845394	441.36054421768705	7.0	6.0	7.0	6.0	1617.0	697.0	580.0	340.0
0	45	268.55884995507637	441.88230008984726	6.0	6.0	6.0	5.0	1113.0	388.0	410.0	315.0
0	46	365.6911928651059	450.4726867335563	6.0	6.0	5.0	6.0	897.0	350.0	214.0	333.0
