Value	Count
4.0	59
7.0	54
5.0	51
3.0	49
32.0	48
11.0	47
29.0	45
20.0	43
21.0	43
27.0	42
17.0	41
8.0	40
37.0	37
57.0	37
9.0	36
23.0	36
61.0	36
14.0	35
12.0	34
33.0	34
34.0	34
148.0	33
22.0	33
53.0	33
73.0	33
13.0	32
50.0	32
59.0	32
36.0	32
47.0	32
51.0	31
62.0	31
54.0	31
78.0	31
97.0	30
173.0	30
150.0	30
35.0	30
71.0	30
25.0	30
108.0	29
100.0	29
104.0	29
6.0	29
2.0	29
98.0	29
31.0	28
119.0	28
30.0	28
28.0	28
145.0	27
58.0	27
44.0	27
16.0	27
18.0	27
82.0	26
189.0	26
56.0	26
49.0	26
26.0	25
194.0	25
180.0	25
381.0	25
74.0	25
187.0	25
175.0	25
295.0	25
245.0	24
312.0	24
24.0	24
288.0	24
91.0	24
45.0	23
120.0	23
10.0	23
72.0	23
66.0	23
94.0	23
275.0	23
177.0	23
101.0	23
83.0	23
76.0	23
225.0	23
282.0	23
166.0	22
114.0	22
138.0	22
90.0	22
176.0	22
231.0	22
48.0	22
55.0	22
113.0	22
106.0	22
197.0	22
207.0	22
121.0	22
272.0	22
200.0	22
107.0	21
123.0	21
208.0	21
105.0	21
163.0	21
253.0	21
69.0	21
64.0	21
19.0	21
201.0	21
103.0	21
124.0	21
43.0	20
251.0	20
234.0	20
278.0	20
126.0	20
140.0	20
79.0	20
89.0	20
136.0	20
52.0	20
155.0	20
164.0	20
88.0	20
170.0	20
247.0	19
267.0	19
81.0	19
220.0	19
362.0	19
70.0	19
77.0	19
63.0	19
95.0	19
290.0	19
109.0	19
205.0	19
87.0	19
115.0	19
143.0	19
284.0	19
125.0	19
146.0	18
504.0	18
41.0	18
273.0	18
156.0	18
38.0	18
117.0	18
93.0	18
134.0	18
437.0	18
171.0	18
153.0	18
118.0	18
235.0	18
67.0	18
75.0	18
221.0	18
219.0	18
39.0	17
325.0	17
15.0	17
385.0	17
276.0	17
182.0	17
92.0	17
188.0	17
133.0	17
316.0	17
132.0	17
324.0	17
60.0	17
158.0	17
243.0	17
248.0	17
269.0	16
252.0	16
238.0	16
