Value	Count
15.0	45
12.0	41
38.0	28
32.0	25
11.0	24
20.0	23
26.0	23
21.0	23
31.0	23
39.0	23
16.0	22
27.0	20
42.0	20
290.0	20
18.0	20
975.0	19
109.0	19
19.0	18
519.0	18
30.0	18
8.0	18
71.0	18
131.0	17
593.0	17
69.0	17
35.0	17
686.0	17
51.0	17
299.0	17
446.0	17
62.0	16
41.0	16
144.0	16
100.0	16
877.0	16
600.0	15
101.0	15
774.0	15
548.0	15
142.0	15
578.0	15
79.0	15
726.0	15
163.0	15
138.0	15
373.0	15
29.0	14
74.0	14
699.0	14
472.0	14
61.0	14
962.0	14
388.0	14
285.0	14
63.0	14
471.0	14
184.0	14
228.0	14
524.0	14
67.0	13
54.0	13
60.0	13
530.0	13
403.0	13
33.0	13
83.0	13
367.0	13
13.0	13
673.0	13
225.0	13
104.0	13
209.0	13
282.0	13
737.0	13
1050.0	13
135.0	13
191.0	13
210.0	13
148.0	13
368.0	13
1155.0	12
669.0	12
36.0	12
1042.0	12
226.0	12
48.0	12
440.0	12
22.0	12
451.0	12
86.0	12
24.0	12
6.0	12
149.0	12
434.0	12
211.0	12
134.0	12
339.0	12
1617.0	12
1327.0	12
34.0	12
37.0	12
53.0	12
399.0	12
632.0	12
126.0	12
164.0	12
95.0	12
244.0	12
81.0	12
345.0	12
215.0	12
28.0	12
176.0	12
641.0	11
830.0	11
168.0	11
125.0	11
206.0	11
501.0	11
771.0	11
812.0	11
1312.0	11
272.0	11
196.0	11
628.0	11
256.0	11
263.0	11
302.0	11
45.0	11
221.0	11
58.0	11
66.0	11
927.0	11
120.0	11
68.0	11
55.0	11
106.0	11
706.0	11
23.0	10
503.0	10
249.0	10
873.0	10
453.0	10
43.0	10
1026.0	10
1085.0	10
793.0	10
1175.0	10
1189.0	10
1362.0	10
885.0	10
635.0	10
923.0	10
658.0	10
112.0	10
576.0	10
907.0	10
828.0	10
417.0	10
108.0	10
110.0	10
201.0	10
1048.0	10
161.0	10
1381.0	10
459.0	10
949.0	10
177.0	10
603.0	10
1838.0	10
463.0	10
691.0	10
265.0	10
738.0	10
270.0	10
554.0	10
568.0	10
909.0	10
1139.0	10
57.0	10
186.0	10
902.0	10
864.0	10
401.0	10
333.0	10
70.0	10
7.0	10
897.0	10
1356.0	10
1060.0	10
642.0	10
566.0	10
99.0	9
528.0	9
2110.0	9
10.0	9
1101.0	9
219.0	9
717.0	9
856.0	9
428.0	9
1639.0	9
248.0	9
1285.0	9
9.0	9
213.0	9
808.0	9
65.0	9
742.0	9
652.0	9
605.0	9
896.0	9
532.0	9
546.0	9
835.0	9
553.0	9
868.0	9
534.0	9
874.0	9
97.0	9
179.0	9
78.0	9
502.0	9
1163.0	9
687.0	9
1541.0	9
676.0	9
1121.0	9
766.0	9
158.0	9
216.0	9
96.0	9
181.0	9
224.0	9
842.0	9
694.0	9
1162.0	9
246.0	9
887.0	9
728.0	9
617.0	9
193.0	9
906.0	9
533.0	9
769.0	9
414.0	9
587.0	8
680.0	8
1070.0	8
17.0	8
615.0	8
204.0	8
415.0	8
1062.0	8
157.0	8
867.0	8
611.0	8
564.0	8
14.0	8
1402.0	8
288.0	8
304.0	8
202.0	8
870.0	8
678.0	8
187.0	8
529.0	8
334.0	8
279.0	8
92.0	8
429.0	8
175.0	8
40.0	8
452.0	8
991.0	8
755.0	8
393.0	8
477.0	8
725.0	8
1053.0	8
1276.0	8
798.0	8
1029.0	8
121.0	8
84.0	8
1028.0	8
740.0	8
520.0	8
462.0	8
655.0	8
118.0	8
1114.0	8
865.0	8
303.0	8
220.0	8
387.0	8
653.0	8
581.0	8
1688.0	8
1299.0	8
127.0	8
974.0	8
672.0	8
894.0	8
508.0	8
930.0	8
703.0	8
259.0	8
624.0	8
704.0	8
538.0	8
277.0	8
309.0	8
948.0	8
1016.0	8
636.0	8
350.0	8
841.0	8
80.0	8
156.0	8
90.0	8
884.0	8
1843.0	8
52.0	8
627.0	8
565.0	8
782.0	8
583.0	8
2569.0	8
141.0	8
230.0	8
758.0	8
88.0	8
426.0	8
643.0	7
1829.0	7
140.0	7
132.0	7
511.0	7
1073.0	7
404.0	7
1122.0	7
572.0	7
1809.0	7
544.0	7
661.0	7
1322.0	7
690.0	7
837.0	7
944.0	7
577.0	7
139.0	7
558.0	7
1023.0	7
460.0	7
731.0	7
935.0	7
286.0	7
945.0	7
297.0	7
1115.0	7
797.0	7
260.0	7
872.0	7
1369.0	7
831.0	7
205.0	7
123.0	7
274.0	7
749.0	7
267.0	7
2656.0	7
307.0	7
594.0	7
765.0	7
983.0	7
1383.0	7
895.0	7
1531.0	7
760.0	7
714.0	7
971.0	7
626.0	7
990.0	7
117.0	7
2039.0	7
172.0	7
878.0	7
242.0	7
476.0	7
482.0	7
1088.0	7
754.0	7
316.0	7
834.0	7
733.0	7
571.0	7
1597.0	7
995.0	7
231.0	7
2166.0	7
631.0	7
491.0	7
1240.0	7
854.0	7
843.0	7
616.0	7
855.0	7
1995.0	7
47.0	7
1905.0	7
953.0	7
261.0	7
597.0	7
663.0	7
1555.0	7
606.0	7
441.0	7
1292.0	7
283.0	7
1308.0	7
522.0	7
494.0	7
667.0	7
410.0	7
340.0	7
707.0	7
1039.0	7
2004.0	7
1449.0	7
651.0	7
273.0	7
674.0	7
347.0	7
325.0	7
25.0	7
836.0	7
480.0	7
824.0	7
575.0	7
739.0	7
531.0	7
358.0	7
794.0	7
1213.0	7
93.0	6
115.0	6
1179.0	6
722.0	6
392.0	6
1195.0	6
498.0	6
319.0	6
582.0	6
1591.0	6
419.0	6
64.0	6
359.0	6
292.0	6
1504.0	6
2495.0	6
371.0	6
2366.0	6
972.0	6
275.0	6
1108.0	6
430.0	6
625.0	6
777.0	6
178.0	6
612.0	6
2802.0	6
850.0	6
892.0	6
973.0	6
1448.0	6
1263.0	6
153.0	6
863.0	6
3734.0	6
861.0	6
1097.0	6
695.0	6
666.0	6
922.0	6
348.0	6
515.0	6
1630.0	6
1429.0	6
173.0	6
147.0	6
1316.0	6
1400.0	6
1071.0	6
235.0	6
227.0	6
420.0	6
1741.0	6
143.0	6
162.0	6
46.0	6
1494.0	6
258.0	6
620.0	6
1025.0	6
298.0	6
198.0	6
1145.0	6
