Value	Count
7.0	69
6.0	64
4.0	49
17.0	47
33.0	47
15.0	45
27.0	43
5.0	39
36.0	36
11.0	36
14.0	34
23.0	34
12.0	33
8.0	33
60.0	33
52.0	33
72.0	32
69.0	32
19.0	31
262.0	30
190.0	30
268.0	29
237.0	28
129.0	28
26.0	28
51.0	28
9.0	28
86.0	28
21.0	28
179.0	28
320.0	27
58.0	27
71.0	27
31.0	27
210.0	27
290.0	26
116.0	26
239.0	26
22.0	26
48.0	26
43.0	25
195.0	25
64.0	25
242.0	25
80.0	25
313.0	25
40.0	25
29.0	25
185.0	25
300.0	24
13.0	24
223.0	24
68.0	24
84.0	24
187.0	24
44.0	24
276.0	24
38.0	24
288.0	24
161.0	23
82.0	23
104.0	23
34.0	23
314.0	23
105.0	23
203.0	23
63.0	23
225.0	23
368.0	22
174.0	22
16.0	22
123.0	22
264.0	22
200.0	22
18.0	22
224.0	22
78.0	22
287.0	22
93.0	22
294.0	22
207.0	21
175.0	21
139.0	21
206.0	21
24.0	21
96.0	21
107.0	21
292.0	21
113.0	21
20.0	21
76.0	21
79.0	21
480.0	21
249.0	20
168.0	20
336.0	20
369.0	20
201.0	20
258.0	20
165.0	20
178.0	20
219.0	20
385.0	20
90.0	20
274.0	20
119.0	20
502.0	20
311.0	20
301.0	20
56.0	20
321.0	19
281.0	19
108.0	19
87.0	19
296.0	19
355.0	19
154.0	19
202.0	19
145.0	19
404.0	19
198.0	19
35.0	19
227.0	19
261.0	18
59.0	18
117.0	18
213.0	18
409.0	18
205.0	18
156.0	18
67.0	18
153.0	18
209.0	18
155.0	18
81.0	18
379.0	18
199.0	18
53.0	18
136.0	18
125.0	18
92.0	18
245.0	18
220.0	18
388.0	17
328.0	17
410.0	17
66.0	17
218.0	17
214.0	17
222.0	17
226.0	17
458.0	17
271.0	17
45.0	17
231.0	17
128.0	17
55.0	17
140.0	17
160.0	17
327.0	17
257.0	17
70.0	17
405.0	16
133.0	16
285.0	16
135.0	16
230.0	16
122.0	16
217.0	16
47.0	16
98.0	16
392.0	16
189.0	16
49.0	16
62.0	16
97.0	16
180.0	16
279.0	16
169.0	16
10.0	16
32.0	16
351.0	16
37.0	16
112.0	16
240.0	16
54.0	16
157.0	16
283.0	16
250.0	16
580.0	15
730.0	15
305.0	15
215.0	15
102.0	15
267.0	15
419.0	15
263.0	15
100.0	15
111.0	15
389.0	15
41.0	15
243.0	15
74.0	15
77.0	15
194.0	15
253.0	15
293.0	15
196.0	15
124.0	15
297.0	15
428.0	15
109.0	15
687.0	15
437.0	15
3.0	15
273.0	14
260.0	14
158.0	14
28.0	14
364.0	14
144.0	14
246.0	14
131.0	14
115.0	14
143.0	14
303.0	14
265.0	14
432.0	14
574.0	14
177.0	14
94.0	14
544.0	14
191.0	14
212.0	14
348.0	14
384.0	14
146.0	14
304.0	14
381.0	14
357.0	14
725.0	14
106.0	13
683.0	13
299.0	13
334.0	13
255.0	13
150.0	13
85.0	13
446.0	13
396.0	13
326.0	13
439.0	13
166.0	13
350.0	13
25.0	13
164.0	13
339.0	13
30.0	13
315.0	13
173.0	13
142.0	13
349.0	13
75.0	13
65.0	13
170.0	13
269.0	13
302.0	13
441.0	13
138.0	13
323.0	13
134.0	13
89.0	13
337.0	13
91.0	13
461.0	13
360.0	13
39.0	13
278.0	13
777.0	13
449.0	13
697.0	12
141.0	12
340.0	12
42.0	12
149.0	12
760.0	12
192.0	12
391.0	12
50.0	12
316.0	12
358.0	12
197.0	12
318.0	12
280.0	12
374.0	12
211.0	12
132.0	12
256.0	12
324.0	12
307.0	12
478.0	12
407.0	12
372.0	12
424.0	12
651.0	12
234.0	12
248.0	12
188.0	12
184.0	12
266.0	12
426.0	12
282.0	12
244.0	12
487.0	12
312.0	11
95.0	11
848.0	11
430.0	11
346.0	11
359.0	11
591.0	11
284.0	11
88.0	11
101.0	11
362.0	11
366.0	11
417.0	11
356.0	11
99.0	11
363.0	11
460.0	11
568.0	11
688.0	11
371.0	11
277.0	11
110.0	11
511.0	11
221.0	11
2.0	11
621.0	11
445.0	11
589.0	11
306.0	11
523.0	10
317.0	10
365.0	10
709.0	10
412.0	10
427.0	10
130.0	10
377.0	10
481.0	10
778.0	10
604.0	10
103.0	10
513.0	10
73.0	10
167.0	10
61.0	10
322.0	10
137.0	10
298.0	10
342.0	10
495.0	10
236.0	10
539.0	10
171.0	10
565.0	10
183.0	10
252.0	10
506.0	10
436.0	10
286.0	10
493.0	9
536.0	9
626.0	9
403.0	9
416.0	9
499.0	9
623.0	9
275.0	9
618.0	9
519.0	9
376.0	9
176.0	9
501.0	9
162.0	9
654.0	9
204.0	9
57.0	9
965.0	9
479.0	9
629.0	9
148.0	9
386.0	9
448.0	9
341.0	9
557.0	9
431.0	9
390.0	9
684.0	9
423.0	9
656.0	9
370.0	9
462.0	9
401.0	9
433.0	9
486.0	9
425.0	9
397.0	9
583.0	9
216.0	9
905.0	9
163.0	9
531.0	9
259.0	9
208.0	9
422.0	9
1291.0	8
561.0	8
861.0	8
272.0	8
691.0	8
685.0	8
595.0	8
541.0	8
615.0	8
400.0	8
411.0	8
650.0	8
308.0	8
547.0	8
83.0	8
624.0	8
703.0	8
127.0	8
636.0	8
507.0	8
663.0	8
330.0	8
382.0	8
345.0	8
114.0	8
233.0	8
679.0	8
638.0	8
473.0	8
251.0	8
700.0	8
471.0	8
562.0	8
418.0	8
528.0	8
570.0	8
329.0	8
415.0	8
532.0	8
587.0	8
241.0	8
540.0	8
408.0	8
338.0	8
232.0	8
367.0	8
744.0	8
496.0	8
343.0	7
235.0	7
836.0	7
573.0	7
538.0	7
620.0	7
773.0	7
454.0	7
373.0	7
310.0	7
387.0	7
309.0	7
706.0	7
949.0	7
464.0	7
118.0	7
147.0	7
710.0	7
733.0	7
801.0	7
611.0	7
497.0	7
353.0	7
126.0	7
254.0	7
489.0	7
500.0	7
613.0	7
354.0	7
151.0	7
347.0	7
673.0	7
625.0	7
398.0	7
664.0	7
936.0	7
181.0	7
1436.0	7
764.0	7
474.0	7
661.0	7
723.0	7
793.0	7
453.0	7
537.0	7
395.0	7
689.0	7
853.0	7
46.0	7
987.0	7
572.0	7
614.0	7
981.0	7
534.0	7
599.0	7
681.0	7
361.0	7
553.0	7
331.0	7
459.0	6
414.0	6
247.0	6
483.0	6
662.0	6
637.0	6
442.0	6
289.0	6
450.0	6
863.0	6
645.0	6
186.0	6
333.0	6
524.0	6
455.0	6
319.0	6
555.0	6
394.0	6
738.0	6
228.0	6
855.0	6
958.0	6
632.0	6
451.0	6
660.0	6
1148.0	6
476.0	6
609.0	6
973.0	6
865.0	6
719.0	6
193.0	6
820.0	6
593.0	6
533.0	6
383.0	6
682.0	6
484.0	6
335.0	6
508.0	6
120.0	6
498.0	6
578.0	6
1747.0	6
466.0	6
352.0	6
911.0	6
670.0	6
741.0	6
873.0	6
831.0	6
765.0	6
630.0	6
607.0	6
399.0	6
1346.0	6
291.0	6
576.0	6
270.0	6
514.0	6
600.0	6
421.0	6
1177.0	6
522.0	6
748.0	6
727.0	5
707.0	5
1049.0	5
826.0	5
238.0	5
1044.0	5
767.0	5
751.0	5
467.0	5
647.0	5
559.0	5
743.0	5
546.0	5
823.0	5
803.0	5
713.0	5
552.0	5
811.0	5
943.0	5
914.0	5
718.0	5
974.0	5
470.0	5
891.0	5
780.0	5
883.0	5
543.0	5
779.0	5
586.0	5
584.0	5
488.0	5
998.0	5
420.0	5
928.0	5
548.0	5
812.0	5
933.0	5
527.0	5
542.0	5
1058.0	5
1194.0	5
1169.0	5
603.0	5
960.0	5
526.0	5
1013.0	5
640.0	5
886.0	5
1023.0	5
954.0	5
1037.0	5
747.0	5
1063.0	5
919.0	5
1048.0	5
182.0	5
930.0	5
896.0	5
754.0	5
759.0	5
711.0	5
676.0	5
693.0	5
642.0	5
674.0	5
827.0	5
712.0	5
763.0	5
677.0	5
596.0	5
554.0	5
375.0	5
675.0	5
413.0	5
761.0	5
469.0	4
699.0	4
1001.0	4
1355.0	4
452.0	4
472.0	4
1213.0	4
1145.0	4
504.0	4
444.0	4
1051.0	4
393.0	4
438.0	4
894.0	4
849.0	4
295.0	4
775.0	4
435.0	4
874.0	4
560.0	4
612.0	4
734.0	4
592.0	4
867.0	4
728.0	4
690.0	4
566.0	4
782.0	4
520.0	4
152.0	4
121.0	4
879.0	4
577.0	4
648.0	4
1111.0	4
402.0	4
515.0	4
788.0	4
1045.0	4
482.0	4
406.0	4
494.0	4
605.0	4
816.0	4
808.0	4
172.0	4
840.0	4
692.0	4
575.0	4
745.0	4
1300.0	4
995.0	4
512.0	4
1086.0	4
843.0	4
530.0	4
518.0	4
1016.0	4
819.0	4
790.0	4
549.0	4
1076.0	4
529.0	4
737.0	4
1142.0	4
1009.0	4
716.0	4
868.0	4
517.0	4
810.0	4
739.0	4
825.0	4
698.0	4
732.0	4
695.0	4
380.0	4
509.0	4
776.0	4
1119.0	4
1187.0	4
918.0	4
705.0	4
332.0	4
1257.0	4
598.0	4
752.0	4
653.0	4
678.0	4
931.0	4
567.0	4
491.0	4
585.0	4
729.0	4
786.0	4
772.0	4
556.0	4
440.0	4
490.0	4
877.0	4
885.0	4
505.0	4
563.0	4
1050.0	4
666.0	3
1269.0	3
1150.0	3
1204.0	3
1022.0	3
923.0	3
1162.0	3
862.0	3
872.0	3
881.0	3
802.0	3
989.0	3
551.0	3
1325.0	3
1491.0	3
968.0	3
