Value	Count
4.0	64
6.0	63
5.0	57
12.0	49
45.0	48
9.0	46
32.0	43
23.0	42
22.0	42
15.0	41
7.0	39
13.0	39
21.0	38
57.0	38
54.0	35
26.0	35
18.0	35
105.0	34
61.0	33
59.0	33
271.0	33
17.0	33
201.0	32
82.0	32
16.0	32
55.0	32
14.0	32
247.0	32
119.0	32
24.0	31
39.0	31
72.0	31
19.0	30
27.0	30
33.0	30
172.0	30
174.0	28
31.0	28
52.0	28
25.0	27
155.0	27
20.0	27
189.0	27
65.0	27
193.0	27
175.0	27
70.0	27
10.0	26
197.0	26
73.0	26
42.0	26
216.0	26
126.0	26
58.0	26
208.0	25
104.0	25
43.0	25
2.0	25
135.0	25
134.0	25
75.0	24
195.0	24
89.0	24
147.0	24
29.0	24
8.0	24
167.0	24
203.0	24
40.0	24
200.0	24
323.0	23
77.0	23
228.0	23
68.0	23
76.0	23
46.0	23
88.0	23
424.0	23
36.0	23
265.0	23
115.0	23
34.0	23
137.0	22
275.0	22
322.0	22
112.0	22
153.0	22
110.0	22
150.0	22
69.0	22
102.0	22
161.0	22
56.0	22
79.0	22
221.0	22
168.0	22
220.0	21
248.0	21
49.0	21
35.0	21
132.0	21
227.0	21
145.0	21
97.0	21
50.0	21
64.0	21
212.0	21
196.0	21
3.0	20
214.0	20
192.0	20
238.0	20
74.0	20
210.0	20
251.0	20
318.0	20
37.0	20
53.0	20
184.0	19
62.0	19
269.0	19
243.0	19
240.0	19
41.0	19
11.0	19
190.0	19
199.0	19
340.0	19
276.0	19
152.0	19
256.0	19
178.0	18
98.0	18
48.0	18
99.0	18
261.0	18
358.0	18
101.0	18
166.0	18
233.0	18
28.0	18
385.0	18
95.0	18
133.0	18
124.0	18
266.0	18
108.0	18
163.0	17
92.0	17
127.0	17
612.0	17
258.0	17
224.0	17
205.0	17
290.0	17
169.0	17
382.0	17
156.0	17
364.0	17
218.0	17
423.0	17
118.0	17
215.0	17
128.0	17
191.0	16
131.0	16
435.0	16
222.0	16
100.0	16
179.0	16
176.0	16
235.0	16
96.0	16
310.0	16
51.0	16
279.0	16
387.0	16
421.0	16
226.0	16
337.0	15
806.0	15
429.0	15
307.0	15
361.0	15
139.0	15
130.0	15
438.0	15
503.0	15
129.0	15
116.0	15
136.0	15
83.0	15
334.0	15
245.0	15
246.0	15
441.0	15
206.0	15
267.0	15
309.0	15
154.0	15
157.0	15
264.0	15
331.0	15
180.0	15
418.0	15
397.0	15
38.0	14
288.0	14
311.0	14
399.0	14
78.0	14
44.0	14
123.0	14
162.0	14
63.0	14
419.0	14
117.0	14
183.0	14
303.0	14
291.0	14
185.0	14
443.0	14
30.0	14
171.0	14
474.0	14
305.0	14
359.0	14
158.0	14
148.0	14
325.0	14
373.0	14
177.0	14
244.0	14
299.0	14
207.0	14
141.0	14
87.0	14
549.0	14
329.0	14
324.0	13
355.0	13
427.0	13
641.0	13
306.0	13
298.0	13
302.0	13
182.0	13
71.0	13
250.0	13
308.0	13
159.0	13
114.0	13
342.0	13
94.0	13
121.0	13
396.0	13
146.0	13
576.0	13
186.0	13
151.0	13
255.0	13
272.0	13
273.0	12
350.0	12
338.0	12
447.0	12
365.0	12
187.0	12
286.0	12
107.0	12
389.0	12
219.0	12
314.0	12
217.0	12
198.0	12
109.0	12
685.0	12
287.0	12
454.0	12
360.0	12
262.0	12
283.0	12
173.0	12
84.0	12
406.0	12
491.0	12
67.0	12
241.0	12
351.0	12
278.0	12
285.0	12
85.0	12
237.0	12
339.0	12
249.0	12
469.0	12
521.0	12
144.0	12
410.0	12
204.0	12
232.0	11
636.0	11
242.0	11
113.0	11
343.0	11
552.0	11
181.0	11
583.0	11
319.0	11
590.0	11
332.0	11
539.0	11
252.0	11
170.0	11
259.0	11
489.0	11
473.0	11
543.0	11
93.0	11
621.0	11
580.0	11
366.0	11
453.0	11
478.0	11
301.0	11
656.0	11
142.0	11
624.0	11
379.0	11
372.0	11
468.0	10
149.0	10
534.0	10
326.0	10
428.0	10
211.0	10
388.0	10
282.0	10
504.0	10
90.0	10
398.0	10
106.0	10
415.0	10
194.0	10
721.0	10
611.0	10
412.0	10
571.0	10
511.0	10
537.0	10
188.0	10
346.0	10
578.0	10
632.0	10
289.0	10
320.0	10
370.0	10
696.0	10
515.0	10
91.0	10
679.0	10
691.0	10
420.0	10
555.0	10
403.0	10
708.0	10
527.0	10
86.0	10
561.0	10
225.0	10
375.0	10
239.0	10
234.0	10
472.0	9
400.0	9
253.0	9
47.0	9
254.0	9
645.0	9
436.0	9
120.0	9
619.0	9
277.0	9
536.0	9
383.0	9
465.0	9
297.0	9
209.0	9
138.0	9
81.0	9
820.0	9
1023.0	9
395.0	9
509.0	9
616.0	9
457.0	9
300.0	9
257.0	9
328.0	9
664.0	9
526.0	9
524.0	9
317.0	9
344.0	9
475.0	9
663.0	9
471.0	9
165.0	9
413.0	9
202.0	9
433.0	9
662.0	8
485.0	8
556.0	8
80.0	8
229.0	8
563.0	8
739.0	8
434.0	8
321.0	8
666.0	8
754.0	8
513.0	8
362.0	8
213.0	8
850.0	8
586.0	8
333.0	8
525.0	8
414.0	8
312.0	8
236.0	8
629.0	8
506.0	8
703.0	8
160.0	8
284.0	8
417.0	8
637.0	8
748.0	8
445.0	8
111.0	8
670.0	8
744.0	8
487.0	8
483.0	8
690.0	8
353.0	8
357.0	8
559.0	8
546.0	8
280.0	8
470.0	8
501.0	8
1133.0	8
488.0	8
815.0	7
466.0	7
416.0	7
865.0	7
712.0	7
349.0	7
529.0	7
818.0	7
354.0	7
720.0	7
390.0	7
1068.0	7
304.0	7
730.0	7
1018.0	7
592.0	7
394.0	7
531.0	7
892.0	7
1021.0	7
405.0	7
661.0	7
315.0	7
377.0	7
425.0	7
573.0	7
584.0	7
295.0	7
514.0	7
732.0	7
430.0	7
740.0	7
140.0	7
268.0	7
1097.0	7
589.0	7
223.0	7
871.0	7
717.0	7
505.0	7
380.0	7
143.0	7
66.0	7
880.0	7
595.0	7
626.0	7
610.0	6
807.0	6
862.0	6
461.0	6
538.0	6
263.0	6
623.0	6
551.0	6
773.0	6
480.0	6
409.0	6
402.0	6
891.0	6
548.0	6
581.0	6
568.0	6
843.0	6
743.0	6
654.0	6
566.0	6
791.0	6
607.0	6
374.0	6
780.0	6
368.0	6
103.0	6
371.0	6
869.0	6
510.0	6
1147.0	6
733.0	6
516.0	6
348.0	6
341.0	6
777.0	6
852.0	6
570.0	6
614.0	6
356.0	6
572.0	6
60.0	6
347.0	6
895.0	6
753.0	6
749.0	6
446.0	6
1022.0	6
426.0	6
692.0	6
1253.0	6
898.0	6
652.0	6
620.0	6
825.0	6
655.0	6
793.0	6
625.0	5
463.0	5
393.0	5
448.0	5
598.0	5
1261.0	5
782.0	5
1492.0	5
747.0	5
615.0	5
671.0	5
422.0	5
498.0	5
635.0	5
757.0	5
599.0	5
605.0	5
651.0	5
1216.0	5
760.0	5
363.0	5
847.0	5
401.0	5
1000.0	5
522.0	5
1333.0	5
404.0	5
490.0	5
384.0	5
808.0	5
336.0	5
535.0	5
982.0	5
1741.0	5
726.0	5
931.0	5
274.0	5
1031.0	5
122.0	5
786.0	5
929.0	5
888.0	5
497.0	5
577.0	5
603.0	5
164.0	5
618.0	5
832.0	5
896.0	5
848.0	5
499.0	5
459.0	5
719.0	5
567.0	5
714.0	5
799.0	5
545.0	5
367.0	5
697.0	5
507.0	5
560.0	5
702.0	5
569.0	5
913.0	5
437.0	5
1247.0	5
335.0	5
904.0	4
484.0	4
824.0	4
600.0	4
800.0	4
500.0	4
411.0	4
1026.0	4
1157.0	4
1395.0	4
407.0	4
701.0	4
582.0	4
781.0	4
735.0	4
813.0	4
762.0	4
296.0	4
686.0	4
969.0	4
574.0	4
231.0	4
444.0	4
601.0	4
877.0	4
575.0	4
669.0	4
602.0	4
588.0	4
801.0	4
460.0	4
517.0	4
1060.0	4
452.0	4
814.0	4
230.0	4
948.0	4
674.0	4
751.0	4
558.0	4
