Value	Count
32.0	34
13.0	32
34.0	29
17.0	28
37.0	26
12.0	24
42.0	24
10.0	23
44.0	21
47.0	21
31.0	21
18.0	20
11.0	20
20.0	20
15.0	20
59.0	19
27.0	19
30.0	19
52.0	19
14.0	19
87.0	18
8.0	18
180.0	18
38.0	18
51.0	17
122.0	17
9.0	17
412.0	17
35.0	17
19.0	17
16.0	16
545.0	16
96.0	16
224.0	15
72.0	15
66.0	15
36.0	15
247.0	15
99.0	15
61.0	15
258.0	15
48.0	15
40.0	15
260.0	14
45.0	14
134.0	14
697.0	14
94.0	14
277.0	14
69.0	14
56.0	14
341.0	14
21.0	14
167.0	14
75.0	14
23.0	14
176.0	14
1059.0	13
1009.0	13
43.0	13
213.0	13
63.0	13
592.0	13
107.0	13
39.0	13
206.0	13
129.0	13
383.0	13
98.0	13
262.0	13
145.0	13
823.0	13
210.0	12
403.0	12
762.0	12
102.0	12
239.0	12
82.0	12
60.0	12
149.0	12
333.0	12
172.0	12
83.0	12
73.0	12
7.0	12
81.0	12
1093.0	12
77.0	12
335.0	12
641.0	12
147.0	12
160.0	11
53.0	11
482.0	11
244.0	11
67.0	11
941.0	11
113.0	11
539.0	11
202.0	11
2081.0	11
1442.0	11
65.0	11
22.0	11
647.0	11
434.0	11
80.0	11
58.0	11
307.0	11
103.0	11
24.0	11
1390.0	11
1008.0	11
1095.0	11
313.0	11
1111.0	11
633.0	11
1553.0	11
723.0	11
228.0	11
142.0	11
6.0	11
183.0	11
1228.0	11
170.0	11
33.0	11
1404.0	10
84.0	10
71.0	10
404.0	10
238.0	10
779.0	10
115.0	10
758.0	10
828.0	10
851.0	10
92.0	10
433.0	10
1489.0	10
562.0	10
317.0	10
105.0	10
171.0	10
1289.0	10
355.0	10
152.0	10
1082.0	10
978.0	10
181.0	10
188.0	10
381.0	10
1195.0	10
108.0	10
1000.0	10
1337.0	10
516.0	10
1641.0	10
86.0	10
70.0	10
507.0	10
46.0	10
552.0	10
132.0	10
25.0	10
195.0	10
425.0	10
709.0	10
395.0	10
1056.0	10
1803.0	10
231.0	9
1293.0	9
765.0	9
41.0	9
221.0	9
88.0	9
757.0	9
114.0	9
190.0	9
283.0	9
974.0	9
310.0	9
1145.0	9
857.0	9
191.0	9
767.0	9
705.0	9
408.0	9
1665.0	9
79.0	9
769.0	9
457.0	9
893.0	9
376.0	9
140.0	9
344.0	9
706.0	9
895.0	9
29.0	9
243.0	9
558.0	9
1705.0	9
544.0	9
54.0	9
330.0	9
104.0	9
526.0	9
393.0	9
1137.0	9
850.0	9
586.0	9
614.0	9
932.0	9
164.0	9
477.0	9
1333.0	9
747.0	9
584.0	9
636.0	9
634.0	9
1151.0	9
1224.0	9
328.0	9
493.0	9
229.0	9
870.0	9
274.0	9
808.0	9
212.0	9
613.0	9
611.0	9
1194.0	9
136.0	9
156.0	9
154.0	9
201.0	9
726.0	9
292.0	9
76.0	9
371.0	9
567.0	9
93.0	9
331.0	9
49.0	8
451.0	8
1075.0	8
575.0	8
158.0	8
143.0	8
780.0	8
735.0	8
1303.0	8
794.0	8
1027.0	8
365.0	8
179.0	8
840.0	8
121.0	8
2005.0	8
1864.0	8
511.0	8
354.0	8
89.0	8
1271.0	8
848.0	8
964.0	8
388.0	8
1651.0	8
207.0	8
284.0	8
1134.0	8
370.0	8
1126.0	8
561.0	8
351.0	8
426.0	8
800.0	8
324.0	8
496.0	8
1904.0	8
1846.0	8
50.0	8
133.0	8
1438.0	8
1417.0	8
1366.0	8
447.0	8
669.0	8
1770.0	8
1299.0	8
1726.0	8
980.0	8
1103.0	8
182.0	8
1564.0	8
671.0	8
905.0	8
564.0	8
944.0	8
497.0	8
550.0	8
173.0	8
1153.0	8
137.0	8
1634.0	8
350.0	8
1362.0	8
422.0	8
251.0	8
834.0	8
1821.0	8
593.0	8
346.0	8
655.0	8
733.0	8
1181.0	8
643.0	8
362.0	8
209.0	8
854.0	8
1800.0	8
127.0	8
925.0	8
463.0	8
318.0	8
1264.0	8
503.0	8
1522.0	8
563.0	8
730.0	7
380.0	7
1144.0	7
927.0	7
406.0	7
217.0	7
2380.0	7
896.0	7
1616.0	7
1557.0	7
1209.0	7
116.0	7
1506.0	7
1097.0	7
605.0	7
504.0	7
323.0	7
1136.0	7
520.0	7
1282.0	7
1721.0	7
916.0	7
557.0	7
78.0	7
1433.0	7
1266.0	7
423.0	7
1449.0	7
522.0	7
1081.0	7
1294.0	7
3054.0	7
684.0	7
1829.0	7
1551.0	7
1225.0	7
1752.0	7
253.0	7
994.0	7
215.0	7
1114.0	7
465.0	7
1515.0	7
91.0	7
518.0	7
367.0	7
1369.0	7
1067.0	7
1089.0	7
691.0	7
279.0	7
300.0	7
194.0	7
1889.0	7
95.0	7
1383.0	7
4430.0	7
888.0	7
2337.0	7
894.0	7
956.0	7
74.0	7
1738.0	7
353.0	7
296.0	7
542.0	7
1932.0	7
203.0	7
2140.0	7
579.0	7
1983.0	7
985.0	7
707.0	7
784.0	7
807.0	7
1788.0	7
716.0	7
715.0	7
424.0	7
120.0	7
852.0	7
168.0	7
2072.0	7
1175.0	7
1806.0	7
1370.0	7
304.0	7
233.0	7
125.0	7
1794.0	7
245.0	7
327.0	7
2366.0	7
450.0	7
162.0	7
340.0	7
612.0	7
1409.0	7
185.0	7
831.0	7
651.0	7
569.0	7
640.0	7
123.0	7
1005.0	7
591.0	7
505.0	7
725.0	7
157.0	7
459.0	7
750.0	7
322.0	7
693.0	7
177.0	7
1894.0	7
218.0	6
342.0	6
368.0	6
1573.0	6
1246.0	6
242.0	6
237.0	6
1834.0	6
749.0	6
1710.0	6
256.0	6
548.0	6
2350.0	6
1249.0	6
676.0	6
178.0	6
443.0	6
1098.0	6
163.0	6
637.0	6
594.0	6
357.0	6
940.0	6
1990.0	6
1367.0	6
1286.0	6
825.0	6
1041.0	6
1967.0	6
1873.0	6
1353.0	6
1241.0	6
2266.0	6
220.0	6
219.0	6
508.0	6
1042.0	6
97.0	6
2817.0	6
1157.0	6
336.0	6
1167.0	6
428.0	6
1406.0	6
620.0	6
975.0	6
513.0	6
736.0	6
528.0	6
1503.0	6
1355.0	6
55.0	6
464.0	6
663.0	6
473.0	6
1215.0	6
1154.0	6
642.0	6
960.0	6
869.0	6
986.0	6
1450.0	6
1505.0	6
461.0	6
130.0	6
246.0	6
864.0	6
124.0	6
468.0	6
386.0	6
1308.0	6
1386.0	6
254.0	6
427.0	6
1119.0	6
703.0	6
692.0	6
847.0	6
624.0	6
555.0	6
1022.0	6
718.0	6
343.0	6
311.0	6
236.0	6
621.0	6
337.0	6
364.0	6
858.0	6
1473.0	6
1076.0	6
347.0	6
488.0	6
1044.0	6
1899.0	6
961.0	6
2027.0	6
786.0	6
2727.0	6
1737.0	6
409.0	6
859.0	6
1297.0	6
1171.0	6
135.0	6
384.0	6
536.0	6
338.0	6
259.0	6
668.0	6
1085.0	6
583.0	6
650.0	6
1435.0	6
1628.0	6
1911.0	6
646.0	6
1848.0	6
481.0	6
737.0	6
2422.0	6
514.0	6
1135.0	6
1809.0	6
551.0	6
1587.0	6
657.0	6
227.0	6
2188.0	6
498.0	6
1896.0	6
1179.0	6
1283.0	6
1918.0	6
998.0	6
771.0	6
2389.0	6
818.0	6
169.0	6
943.0	6
814.0	6
3329.0	6
935.0	6
573.0	6
862.0	6
1707.0	6
608.0	6
2259.0	6
159.0	6
892.0	6
1635.0	6
1352.0	6
2103.0	6
664.0	6
2290.0	6
863.0	6
1537.0	6
198.0	6
638.0	5
1252.0	5
1288.0	5
729.0	5
547.0	5
1561.0	5
2456.0	5
109.0	5
1447.0	5
1998.0	5
1036.0	5
2537.0	5
1263.0	5
471.0	5
1813.0	5
2117.0	5
1957.0	5
1347.0	5
2441.0	5
1649.0	5
139.0	5
1298.0	5
271.0	5
2772.0	5
1518.0	5
665.0	5
161.0	5
339.0	5
778.0	5
1339.0	5
2121.0	5
1373.0	5
570.0	5
914.0	5
2283.0	5
1372.0	5
760.0	5
991.0	5
1860.0	5
1906.0	5
1767.0	5
479.0	5
1411.0	5
369.0	5
796.0	5
1258.0	5
2783.0	5
711.0	5
1926.0	5
1165.0	5
1584.0	5
402.0	5
546.0	5
2861.0	5
196.0	5
1574.0	5
645.0	5
2542.0	5
405.0	5
1273.0	5
1613.0	5
1335.0	5
924.0	5
454.0	5
2138.0	5
1570.0	5
192.0	5
1011.0	5
1290.0	5
57.0	5
2375.0	5
1388.0	5
506.0	5
1524.0	5
1344.0	5
290.0	5
1125.0	5
910.0	5
656.0	5
294.0	5
1627.0	5
1484.0	5
1350.0	5
418.0	5
2039.0	5
1260.0	5
1485.0	5
2245.0	5
64.0	5
509.0	5
2907.0	5
1500.0	5
1063.0	5
499.0	5
189.0	5
954.0	5
652.0	5
1566.0	5
1073.0	5
2707.0	5
1622.0	5
813.0	5
1585.0	5
816.0	5
1107.0	5
2132.0	5
1060.0	5
1636.0	5
1053.0	5
392.0	5
1921.0	5
469.0	5
886.0	5
437.0	5
225.0	5
2246.0	5
1437.0	5
1160.0	5
1152.0	5
829.0	5
560.0	5
264.0	5
401.0	5
1070.0	5
708.0	5
232.0	5
792.0	5
2785.0	5
3162.0	5
1032.0	5
746.0	5
26.0	5
