Value	Count
10.0	59
6.0	52
7.0	48
31.0	48
20.0	46
15.0	45
4.0	44
5.0	43
16.0	42
21.0	38
12.0	37
37.0	37
25.0	36
14.0	36
8.0	34
158.0	33
52.0	33
19.0	32
129.0	32
72.0	32
26.0	31
11.0	31
9.0	30
36.0	29
57.0	29
24.0	28
97.0	27
663.0	27
122.0	27
114.0	27
41.0	27
132.0	26
105.0	26
313.0	26
89.0	26
23.0	26
244.0	26
33.0	25
44.0	25
28.0	25
59.0	25
152.0	25
82.0	25
39.0	25
29.0	25
50.0	25
88.0	25
62.0	24
18.0	24
30.0	24
75.0	24
141.0	24
60.0	23
27.0	23
304.0	23
267.0	23
326.0	23
35.0	23
349.0	23
42.0	23
284.0	22
38.0	22
504.0	22
46.0	22
270.0	22
73.0	22
40.0	22
123.0	22
144.0	22
98.0	21
91.0	21
119.0	21
275.0	21
220.0	21
187.0	21
462.0	21
176.0	21
543.0	21
156.0	21
155.0	21
70.0	21
199.0	21
379.0	21
351.0	21
93.0	21
17.0	21
167.0	21
47.0	20
13.0	20
394.0	20
165.0	20
290.0	20
94.0	20
246.0	20
230.0	20
170.0	20
136.0	20
56.0	20
87.0	20
100.0	19
650.0	19
66.0	19
184.0	19
74.0	19
104.0	19
249.0	19
362.0	19
34.0	19
53.0	19
364.0	19
375.0	19
126.0	19
149.0	19
115.0	19
102.0	19
380.0	19
84.0	19
116.0	19
99.0	19
69.0	19
45.0	19
49.0	19
528.0	18
48.0	18
71.0	18
357.0	18
111.0	18
251.0	18
252.0	18
264.0	18
321.0	18
205.0	18
160.0	18
67.0	18
130.0	18
237.0	18
433.0	18
153.0	18
83.0	18
180.0	17
257.0	17
315.0	17
51.0	17
182.0	17
271.0	17
279.0	17
291.0	17
96.0	17
274.0	17
228.0	17
459.0	17
32.0	17
612.0	17
231.0	17
373.0	17
334.0	17
384.0	17
480.0	17
476.0	17
22.0	17
405.0	16
673.0	16
219.0	16
775.0	16
368.0	16
318.0	16
441.0	16
113.0	16
461.0	16
329.0	16
239.0	16
80.0	16
171.0	16
594.0	16
428.0	16
117.0	16
277.0	16
473.0	16
506.0	16
347.0	16
358.0	16
224.0	15
420.0	15
221.0	15
234.0	15
352.0	15
467.0	15
320.0	15
437.0	15
302.0	15
128.0	15
276.0	15
755.0	15
143.0	15
356.0	15
78.0	15
263.0	15
207.0	15
157.0	15
555.0	15
311.0	15
265.0	15
55.0	15
536.0	15
85.0	15
166.0	15
201.0	15
415.0	14
112.0	14
408.0	14
336.0	14
455.0	14
206.0	14
168.0	14
403.0	14
470.0	14
227.0	14
213.0	14
191.0	14
223.0	14
108.0	14
261.0	14
431.0	14
354.0	14
54.0	14
456.0	14
348.0	14
314.0	14
222.0	14
185.0	14
203.0	14
194.0	14
363.0	14
410.0	14
181.0	14
488.0	14
211.0	14
436.0	14
365.0	14
439.0	14
135.0	14
95.0	14
544.0	13
332.0	13
282.0	13
216.0	13
145.0	13
507.0	13
474.0	13
209.0	13
154.0	13
294.0	13
131.0	13
389.0	13
511.0	13
412.0	13
547.0	13
421.0	13
367.0	13
566.0	13
452.0	13
522.0	13
81.0	13
423.0	13
65.0	13
197.0	13
322.0	13
259.0	13
76.0	13
232.0	13
780.0	13
162.0	13
330.0	12
344.0	12
287.0	12
196.0	12
398.0	12
174.0	12
169.0	12
341.0	12
618.0	12
103.0	12
381.0	12
489.0	12
592.0	12
301.0	12
718.0	12
406.0	12
479.0	12
215.0	12
388.0	12
355.0	12
360.0	12
750.0	12
681.0	12
620.0	12
342.0	12
63.0	12
590.0	12
374.0	12
283.0	12
183.0	12
64.0	12
606.0	12
148.0	12
293.0	12
316.0	11
151.0	11
429.0	11
712.0	11
438.0	11
295.0	11
587.0	11
651.0	11
345.0	11
61.0	11
208.0	11
369.0	11
458.0	11
177.0	11
445.0	11
377.0	11
147.0	11
245.0	11
101.0	11
794.0	11
189.0	11
175.0	11
309.0	11
486.0	11
140.0	11
297.0	11
68.0	11
419.0	11
371.0	11
217.0	11
571.0	11
724.0	11
502.0	11
241.0	11
125.0	11
569.0	11
110.0	11
235.0	11
323.0	11
300.0	11
809.0	11
292.0	11
353.0	11
477.0	10
366.0	10
958.0	10
58.0	10
127.0	10
382.0	10
588.0	10
262.0	10
434.0	10
556.0	10
306.0	10
343.0	10
508.0	10
190.0	10
212.0	10
471.0	10
139.0	10
611.0	10
179.0	10
475.0	10
417.0	10
142.0	10
178.0	10
610.0	10
186.0	10
414.0	10
758.0	10
634.0	10
317.0	10
