Value	Count
5.0	81
4.0	66
16.0	52
20.0	50
9.0	49
13.0	46
15.0	43
7.0	42
6.0	41
17.0	41
22.0	41
26.0	41
52.0	38
47.0	37
12.0	36
23.0	36
19.0	35
66.0	34
29.0	34
14.0	33
32.0	33
34.0	33
10.0	33
93.0	32
50.0	32
58.0	32
71.0	31
11.0	31
42.0	31
91.0	30
28.0	30
111.0	29
54.0	29
35.0	28
48.0	28
65.0	28
159.0	28
3.0	28
24.0	27
78.0	27
27.0	27
133.0	27
59.0	27
44.0	27
49.0	26
56.0	26
233.0	25
153.0	25
323.0	25
30.0	25
101.0	25
160.0	25
31.0	25
43.0	25
351.0	25
96.0	24
8.0	24
325.0	24
76.0	24
57.0	24
354.0	24
206.0	23
39.0	23
246.0	23
53.0	23
106.0	23
192.0	23
69.0	23
170.0	23
492.0	23
154.0	22
148.0	22
102.0	22
262.0	22
352.0	22
73.0	22
89.0	22
21.0	22
55.0	22
163.0	22
183.0	22
62.0	22
321.0	22
119.0	21
134.0	21
215.0	21
103.0	21
68.0	21
234.0	21
36.0	21
122.0	21
245.0	21
127.0	21
222.0	21
195.0	21
84.0	21
81.0	20
77.0	20
249.0	20
313.0	20
18.0	20
108.0	20
88.0	20
87.0	20
230.0	20
142.0	20
25.0	20
80.0	19
158.0	19
2.0	19
135.0	19
131.0	19
118.0	19
350.0	19
531.0	19
343.0	19
463.0	19
143.0	19
141.0	19
164.0	19
33.0	19
114.0	19
181.0	19
185.0	18
254.0	18
329.0	18
220.0	18
662.0	18
312.0	18
377.0	18
251.0	18
64.0	18
125.0	18
272.0	18
293.0	18
395.0	18
74.0	18
258.0	18
276.0	18
228.0	17
147.0	17
176.0	17
177.0	17
61.0	17
112.0	17
224.0	17
417.0	17
161.0	17
217.0	17
240.0	17
205.0	17
51.0	17
324.0	17
152.0	17
115.0	17
334.0	17
150.0	17
121.0	17
507.0	17
166.0	17
333.0	17
303.0	17
85.0	16
38.0	16
382.0	16
212.0	16
620.0	16
194.0	16
37.0	16
298.0	16
129.0	16
140.0	16
180.0	16
60.0	16
347.0	16
208.0	16
105.0	16
404.0	16
203.0	16
146.0	15
168.0	15
514.0	15
433.0	15
83.0	15
384.0	15
231.0	15
75.0	15
349.0	15
247.0	15
299.0	15
145.0	15
510.0	15
273.0	15
211.0	15
326.0	15
264.0	15
239.0	15
104.0	15
365.0	15
90.0	15
497.0	15
132.0	15
184.0	15
139.0	15
327.0	15
179.0	15
840.0	15
110.0	15
543.0	14
366.0	14
82.0	14
316.0	14
380.0	14
188.0	14
261.0	14
72.0	14
46.0	14
242.0	14
79.0	14
401.0	14
100.0	14
204.0	14
534.0	14
186.0	14
41.0	14
288.0	14
156.0	14
632.0	14
45.0	14
375.0	14
271.0	14
169.0	14
408.0	14
92.0	14
310.0	14
225.0	14
213.0	14
238.0	14
107.0	14
175.0	14
385.0	13
178.0	13
40.0	13
304.0	13
94.0	13
360.0	13
171.0	13
144.0	13
571.0	13
348.0	13
636.0	13
167.0	13
410.0	13
97.0	13
137.0	13
266.0	13
202.0	13
603.0	13
199.0	13
282.0	13
201.0	13
109.0	13
223.0	13
138.0	13
67.0	13
99.0	13
538.0	13
98.0	12
519.0	12
659.0	12
255.0	12
257.0	12
268.0	12
306.0	12
221.0	12
367.0	12
336.0	12
440.0	12
256.0	12
490.0	12
498.0	12
278.0	12
279.0	12
207.0	12
465.0	12
548.0	12
508.0	12
617.0	12
337.0	12
219.0	12
829.0	12
265.0	12
130.0	12
232.0	12
521.0	12
227.0	12
244.0	12
431.0	12
356.0	12
530.0	12
529.0	12
284.0	12
474.0	11
576.0	11
86.0	11
566.0	11
339.0	11
592.0	11
376.0	11
397.0	11
216.0	11
341.0	11
429.0	11
317.0	11
518.0	11
477.0	11
473.0	11
128.0	11
848.0	11
649.0	11
388.0	11
190.0	11
297.0	11
274.0	11
446.0	11
504.0	11
574.0	11
335.0	11
415.0	11
200.0	11
270.0	11
516.0	11
253.0	11
439.0	11
214.0	11
842.0	11
528.0	10
654.0	10
472.0	10
831.0	10
379.0	10
562.0	10
573.0	10
750.0	10
542.0	10
520.0	10
301.0	10
