Value	Count
5.0	468
6.0	430
7.0	421
11.0	408
4.0	403
9.0	400
13.0	352
8.0	340
12.0	331
14.0	322
26.0	319
16.0	312
21.0	312
17.0	311
23.0	305
15.0	293
32.0	287
19.0	285
20.0	284
18.0	275
10.0	263
33.0	254
64.0	247
27.0	247
22.0	246
24.0	246
34.0	241
42.0	241
41.0	237
30.0	234
39.0	234
28.0	231
50.0	230
55.0	230
36.0	224
48.0	223
40.0	223
35.0	222
57.0	222
58.0	220
73.0	220
2.0	219
31.0	219
3.0	218
69.0	217
101.0	217
126.0	215
44.0	215
195.0	214
82.0	214
135.0	213
80.0	213
148.0	213
97.0	213
68.0	212
51.0	211
120.0	211
37.0	209
70.0	208
38.0	207
81.0	207
76.0	205
46.0	203
159.0	203
157.0	201
188.0	201
43.0	200
71.0	200
89.0	200
47.0	200
65.0	200
107.0	199
125.0	198
62.0	198
45.0	198
96.0	198
59.0	198
52.0	197
85.0	197
29.0	197
169.0	196
90.0	196
229.0	195
60.0	195
240.0	195
93.0	195
112.0	195
54.0	195
166.0	194
61.0	193
25.0	193
198.0	193
153.0	193
72.0	193
172.0	192
103.0	191
102.0	191
200.0	191
86.0	191
79.0	191
178.0	191
84.0	190
164.0	190
197.0	190
298.0	189
162.0	189
264.0	188
78.0	188
227.0	188
174.0	188
77.0	187
113.0	187
210.0	187
56.0	187
137.0	185
53.0	184
91.0	184
146.0	183
223.0	183
261.0	183
136.0	182
235.0	181
176.0	181
88.0	181
94.0	180
156.0	180
196.0	180
123.0	180
150.0	180
190.0	179
257.0	178
131.0	178
173.0	178
49.0	177
170.0	177
208.0	177
114.0	177
87.0	177
111.0	177
260.0	177
285.0	177
317.0	176
98.0	175
122.0	175
141.0	174
163.0	174
116.0	174
117.0	174
187.0	173
145.0	173
350.0	173
207.0	173
63.0	172
194.0	172
143.0	172
99.0	172
251.0	171
66.0	171
165.0	171
220.0	171
216.0	171
259.0	171
110.0	171
273.0	171
201.0	171
191.0	170
284.0	169
177.0	169
138.0	168
118.0	168
209.0	168
180.0	168
132.0	167
222.0	167
291.0	166
280.0	166
109.0	166
234.0	166
155.0	166
308.0	165
230.0	165
154.0	165
124.0	164
241.0	164
142.0	164
243.0	164
104.0	164
211.0	164
129.0	163
189.0	163
256.0	163
226.0	163
202.0	162
67.0	162
248.0	162
147.0	162
186.0	162
228.0	161
199.0	161
205.0	160
214.0	159
250.0	159
246.0	158
287.0	158
184.0	158
217.0	157
100.0	156
212.0	156
105.0	155
149.0	155
276.0	155
249.0	155
83.0	155
258.0	154
192.0	154
253.0	154
74.0	154
95.0	153
274.0	153
161.0	153
299.0	153
221.0	153
175.0	153
344.0	152
275.0	152
345.0	152
303.0	152
75.0	152
92.0	152
337.0	151
158.0	151
254.0	150
115.0	150
294.0	150
238.0	150
305.0	150
144.0	149
225.0	149
286.0	148
224.0	148
108.0	148
119.0	148
310.0	147
245.0	147
233.0	147
383.0	147
292.0	147
140.0	147
182.0	147
263.0	146
266.0	146
232.0	146
171.0	146
297.0	145
130.0	145
203.0	145
306.0	145
325.0	145
321.0	145
265.0	145
167.0	144
127.0	144
181.0	144
304.0	143
318.0	143
335.0	143
311.0	143
168.0	142
121.0	141
300.0	141
151.0	141
215.0	141
183.0	141
179.0	141
281.0	140
133.0	140
368.0	140
296.0	139
282.0	139
334.0	139
242.0	138
270.0	138
347.0	138
324.0	137
204.0	136
322.0	136
289.0	136
271.0	136
301.0	135
339.0	135
363.0	135
309.0	135
323.0	135
244.0	135
331.0	135
377.0	135
237.0	135
193.0	134
295.0	134
283.0	133
268.0	133
293.0	132
185.0	132
139.0	132
315.0	132
302.0	132
252.0	132
351.0	132
239.0	132
262.0	131
290.0	131
357.0	131
219.0	131
349.0	130
213.0	130
382.0	130
332.0	129
269.0	129
343.0	128
160.0	127
134.0	127
272.0	127
365.0	126
361.0	126
319.0	125
218.0	125
328.0	125
128.0	125
364.0	124
307.0	124
396.0	122
338.0	122
372.0	121
106.0	120
374.0	120
313.0	118
362.0	118
342.0	118
366.0	118
312.0	118
354.0	118
279.0	117
397.0	117
231.0	117
255.0	117
316.0	116
327.0	116
236.0	115
247.0	115
314.0	115
288.0	114
385.0	114
381.0	114
152.0	114
326.0	114
434.0	114
340.0	112
353.0	112
320.0	112
439.0	111
390.0	111
486.0	111
336.0	111
278.0	110
352.0	110
431.0	109
329.0	109
346.0	109
395.0	107
330.0	107
409.0	107
360.0	107
378.0	107
206.0	106
348.0	106
405.0	106
404.0	106
414.0	105
398.0	105
333.0	105
389.0	104
356.0	104
267.0	103
402.0	103
387.0	102
388.0	102
421.0	102
393.0	102
411.0	101
277.0	101
391.0	100
410.0	99
371.0	99
367.0	98
379.0	97
451.0	97
400.0	96
420.0	96
355.0	96
407.0	95
443.0	95
457.0	95
394.0	94
358.0	94
412.0	94
384.0	93
424.0	93
341.0	93
453.0	93
370.0	93
403.0	93
380.0	93
386.0	93
417.0	92
375.0	92
436.0	92
422.0	91
430.0	91
415.0	91
455.0	91
428.0	90
446.0	90
442.0	90
487.0	90
399.0	90
427.0	89
401.0	89
359.0	88
416.0	88
418.0	87
464.0	86
513.0	86
433.0	86
376.0	86
369.0	85
477.0	83
392.0	83
447.0	83
423.0	83
441.0	82
505.0	80
426.0	80
460.0	80
456.0	79
490.0	79
489.0	79
413.0	78
471.0	78
499.0	78
425.0	77
466.0	76
478.0	76
438.0	76
463.0	76
465.0	76
437.0	75
507.0	75
449.0	74
406.0	74
373.0	73
518.0	72
408.0	72
503.0	71
479.0	71
480.0	71
497.0	69
452.0	69
510.0	69
419.0	68
458.0	68
492.0	68
470.0	68
496.0	67
494.0	66
488.0	66
435.0	66
495.0	66
484.0	65
523.0	65
448.0	64
527.0	64
467.0	64
459.0	64
482.0	64
461.0	63
561.0	63
475.0	62
525.0	62
468.0	62
539.0	61
444.0	61
432.0	61
493.0	61
476.0	60
474.0	60
545.0	60
500.0	59
481.0	59
588.0	59
429.0	59
516.0	59
450.0	57
514.0	57
511.0	57
557.0	57
533.0	57
560.0	56
515.0	55
544.0	55
506.0	55
483.0	55
556.0	55
501.0	55
502.0	55
565.0	54
520.0	54
462.0	54
509.0	53
534.0	53
570.0	53
485.0	53
551.0	53
454.0	52
440.0	52
602.0	52
529.0	52
445.0	52
469.0	52
517.0	51
616.0	51
554.0	51
491.0	51
531.0	50
532.0	50
522.0	49
472.0	49
528.0	49
541.0	48
559.0	48
543.0	48
547.0	48
536.0	48
542.0	47
573.0	47
592.0	47
540.0	47
538.0	47
521.0	46
526.0	46
519.0	46
558.0	45
610.0	45
617.0	45
555.0	45
575.0	44
568.0	44
530.0	44
604.0	44
599.0	43
473.0	43
591.0	43
546.0	43
646.0	42
535.0	41
663.0	41
656.0	40
650.0	39
508.0	39
583.0	39
498.0	39
579.0	39
574.0	38
563.0	38
641.0	38
642.0	38
524.0	38
596.0	38
512.0	38
587.0	38
584.0	37
569.0	37
553.0	37
614.0	36
552.0	36
644.0	36
577.0	36
590.0	36
580.0	36
504.0	36
567.0	35
667.0	35
600.0	35
550.0	35
593.0	34
594.0	34
608.0	34
618.0	34
566.0	33
581.0	33
620.0	33
605.0	33
585.0	33
636.0	32
625.0	32
606.0	32
657.0	32
562.0	32
633.0	32
586.0	31
658.0	31
564.0	31
537.0	30
578.0	30
629.0	30
707.0	30
576.0	30
674.0	30
613.0	30
571.0	30
595.0	29
611.0	29
627.0	29
549.0	29
619.0	28
684.0	28
621.0	28
603.0	28
582.0	28
628.0	28
700.0	28
659.0	27
607.0	27
675.0	27
589.0	27
643.0	27
548.0	27
631.0	26
686.0	26
609.0	26
718.0	26
615.0	26
662.0	26
622.0	26
601.0	26
637.0	25
612.0	25
666.0	25
721.0	25
572.0	24
678.0	24
731.0	23
623.0	23
670.0	23
647.0	22
740.0	22
681.0	22
728.0	22
710.0	22
660.0	22
654.0	22
757.0	21
672.0	21
762.0	21
638.0	21
665.0	21
704.0	21
640.0	21
645.0	20
632.0	20
649.0	20
