Value	Count
12.0	257
15.0	248
18.0	223
13.0	181
33.0	168
21.0	163
27.0	161
19.0	155
8.0	148
24.0	145
11.0	144
48.0	142
39.0	141
20.0	138
36.0	136
60.0	134
9.0	132
10.0	131
51.0	130
34.0	126
16.0	125
45.0	124
28.0	123
26.0	120
30.0	119
32.0	117
42.0	117
17.0	115
22.0	112
23.0	112
37.0	111
29.0	108
35.0	108
59.0	107
80.0	107
64.0	106
40.0	105
77.0	103
31.0	102
66.0	102
926.0	101
868.0	101
14.0	100
78.0	100
58.0	100
1042.0	100
82.0	98
99.0	97
81.0	97
881.0	96
62.0	96
75.0	95
980.0	95
991.0	95
38.0	94
44.0	94
141.0	93
84.0	93
985.0	93
47.0	93
108.0	92
1039.0	92
53.0	91
912.0	91
134.0	91
43.0	91
1188.0	91
1012.0	90
50.0	90
71.0	90
1095.0	89
158.0	89
103.0	88
132.0	88
41.0	88
70.0	87
57.0	87
85.0	87
960.0	87
224.0	87
164.0	87
76.0	86
54.0	86
1159.0	86
1075.0	86
73.0	86
83.0	86
968.0	86
1035.0	85
49.0	85
67.0	85
185.0	85
1207.0	85
79.0	84
89.0	84
90.0	84
1090.0	84
1088.0	84
87.0	84
25.0	83
61.0	83
901.0	83
1040.0	83
157.0	83
123.0	83
116.0	83
867.0	82
1056.0	82
946.0	82
287.0	81
129.0	81
86.0	81
1080.0	81
92.0	81
1023.0	81
1182.0	81
46.0	81
114.0	80
1053.0	80
1109.0	80
72.0	80
953.0	80
209.0	80
68.0	80
1003.0	80
1087.0	80
1206.0	79
101.0	79
267.0	79
1058.0	79
737.0	79
102.0	79
109.0	79
937.0	79
1063.0	79
96.0	78
805.0	78
794.0	78
1060.0	78
956.0	78
1010.0	78
797.0	78
938.0	78
809.0	78
981.0	78
296.0	77
1263.0	77
853.0	77
156.0	77
1007.0	77
1029.0	77
179.0	77
591.0	76
91.0	76
1139.0	76
349.0	76
831.0	76
121.0	76
190.0	76
883.0	76
165.0	76
900.0	75
1192.0	75
65.0	75
988.0	75
921.0	75
895.0	75
1205.0	75
964.0	75
984.0	75
1044.0	74
257.0	74
1065.0	74
1172.0	74
741.0	74
162.0	74
212.0	74
126.0	74
718.0	74
930.0	74
656.0	74
106.0	74
1021.0	74
136.0	74
6.0	74
1104.0	73
147.0	73
774.0	73
743.0	73
1068.0	73
234.0	73
896.0	73
207.0	73
821.0	73
1028.0	73
1076.0	73
918.0	73
975.0	73
713.0	73
138.0	72
1097.0	72
7.0	72
1243.0	72
983.0	72
56.0	72
1245.0	72
130.0	72
124.0	72
242.0	72
781.0	72
98.0	72
833.0	72
972.0	72
683.0	72
1038.0	72
825.0	71
1015.0	71
368.0	71
283.0	71
94.0	71
695.0	71
161.0	71
276.0	71
1026.0	71
1008.0	71
366.0	71
846.0	71
222.0	71
127.0	70
850.0	70
308.0	70
888.0	70
135.0	70
197.0	70
886.0	70
696.0	70
1105.0	70
189.0	70
206.0	70
1009.0	70
74.0	70
1017.0	70
235.0	70
1049.0	70
899.0	70
1121.0	69
757.0	69
1197.0	69
1041.0	69
119.0	69
148.0	69
869.0	69
1131.0	69
1084.0	69
746.0	69
669.0	69
1030.0	69
976.0	69
167.0	69
864.0	69
874.0	69
935.0	69
152.0	69
63.0	69
1067.0	68
792.0	68
973.0	68
641.0	68
529.0	68
104.0	68
832.0	68
1133.0	68
990.0	68
219.0	68
110.0	68
941.0	68
865.0	68
657.0	68
1122.0	68
88.0	68
847.0	68
186.0	68
180.0	68
285.0	68
751.0	67
838.0	67
1037.0	67
1001.0	67
860.0	67
537.0	67
784.0	67
184.0	67
607.0	67
1002.0	67
834.0	67
133.0	67
260.0	67
674.0	67
527.0	67
933.0	67
905.0	67
1101.0	66
258.0	66
678.0	66
1155.0	66
318.0	66
1031.0	66
1163.0	66
915.0	66
1276.0	66
1118.0	66
1166.0	66
125.0	66
541.0	66
160.0	66
528.0	66
760.0	66
1136.0	65
836.0	65
1174.0	65
907.0	65
1138.0	65
772.0	65
1018.0	65
1034.0	65
69.0	65
128.0	65
880.0	65
950.0	65
750.0	65
944.0	64
1055.0	64
963.0	64
174.0	64
986.0	64
962.0	64
768.0	64
1033.0	64
715.0	64
650.0	64
659.0	64
1187.0	64
181.0	64
1125.0	64
105.0	64
1066.0	64
1043.0	64
676.0	63
327.0	63
449.0	63
1110.0	63
997.0	63
903.0	63
1020.0	63
575.0	63
492.0	63
117.0	63
517.0	63
146.0	63
897.0	63
279.0	63
666.0	63
1050.0	63
95.0	63
1142.0	63
931.0	63
910.0	63
1047.0	63
1036.0	63
112.0	63
239.0	63
299.0	63
314.0	63
909.0	63
818.0	63
879.0	63
987.0	63
924.0	63
93.0	63
348.0	62
1094.0	62
1103.0	62
1149.0	62
111.0	62
1077.0	62
1271.0	62
680.0	62
396.0	62
1153.0	62
377.0	62
610.0	62
958.0	62
339.0	62
397.0	62
461.0	62
213.0	62
925.0	62
1140.0	62
1096.0	62
298.0	62
957.0	62
854.0	62
993.0	62
1089.0	62
576.0	62
590.0	62
1209.0	62
1156.0	62
961.0	62
1078.0	62
841.0	62
699.0	62
1146.0	62
201.0	61
934.0	61
1079.0	61
1074.0	61
419.0	61
908.0	61
1022.0	61
1051.0	61
948.0	61
564.0	61
828.0	61
433.0	61
1267.0	61
203.0	61
562.0	61
137.0	61
799.0	61
978.0	61
269.0	61
1085.0	61
200.0	61
913.0	61
971.0	61
1005.0	61
494.0	61
168.0	61
892.0	61
882.0	61
1107.0	61
822.0	61
177.0	61
1099.0	60
942.0	60
378.0	60
785.0	60
506.0	60
1046.0	60
796.0	60
970.0	60
661.0	60
55.0	60
372.0	60
1308.0	60
1137.0	60
545.0	60
1300.0	60
732.0	60
807.0	60
52.0	60
1141.0	60
310.0	60
1091.0	60
558.0	60
571.0	60
889.0	60
107.0	59
789.0	59
300.0	59
745.0	59
923.0	59
829.0	59
392.0	59
793.0	59
337.0	59
196.0	59
1045.0	59
1249.0	59
204.0	59
686.0	59
884.0	59
331.0	59
690.0	59
1115.0	59
872.0	59
145.0	59
1000.0	59
434.0	59
637.0	59
786.0	59
383.0	59
1004.0	59
583.0	59
100.0	59
187.0	59
955.0	59
1220.0	59
306.0	59
270.0	59
391.0	58
1082.0	58
1069.0	58
616.0	58
1195.0	58
582.0	58
1086.0	58
425.0	58
1027.0	58
762.0	58
940.0	58
873.0	58
803.0	58
577.0	58
536.0	58
740.0	58
240.0	58
1161.0	58
998.0	58
170.0	58
265.0	58
763.0	58
1116.0	58
837.0	58
447.0	58
1167.0	58
704.0	58
248.0	58
1160.0	58
371.0	58
598.0	58
952.0	58
1178.0	58
1232.0	57
863.0	57
422.0	57
142.0	57
1057.0	57
871.0	57
800.0	57
906.0	57
1204.0	57
369.0	57
724.0	57
440.0	57
412.0	57
820.0	57
782.0	57
788.0	57
1252.0	57
753.0	57
1151.0	57
1287.0	57
294.0	57
532.0	57
655.0	57
1108.0	57
1081.0	57
322.0	57
969.0	57
205.0	57
712.0	57
795.0	57
1032.0	57
649.0	57
218.0	57
979.0	57
468.0	57
540.0	57
877.0	56
1134.0	56
264.0	56
1152.0	56
756.0	56
862.0	56
247.0	56
1203.0	56
1202.0	56
1024.0	56
553.0	56
1210.0	56
578.0	56
228.0	56
518.0	56
843.0	56
707.0	56
721.0	56
1098.0	56
1054.0	56
1240.0	56
120.0	56
813.0	56
229.0	56
627.0	56
566.0	56
898.0	56
154.0	56
370.0	56
1246.0	56
754.0	56
508.0	56
775.0	56
266.0	56
183.0	56
274.0	56
1270.0	56
1165.0	55
526.0	55
347.0	55
144.0	55
361.0	55
885.0	55
857.0	55
252.0	55
499.0	55
363.0	55
628.0	55
221.0	55
556.0	55
191.0	55
477.0	55
982.0	55
936.0	55
1117.0	55
1059.0	55
424.0	55
766.0	55
965.0	55
1227.0	55
1357.0	55
947.0	55
1025.0	55
1176.0	55
325.0	55
1062.0	55
445.0	55
643.0	55
115.0	55
199.0	55
623.0	55
861.0	54
579.0	54
1265.0	54
555.0	54
1183.0	54
480.0	54
1119.0	54
999.0	54
773.0	54
1190.0	54
122.0	54
188.0	54
777.0	54
550.0	54
625.0	54
689.0	54
949.0	54
1180.0	54
210.0	54
442.0	54
647.0	54
1317.0	54
701.0	54
646.0	54
684.0	54
317.0	54
304.0	54
859.0	54
814.0	54
202.0	54
1150.0	54
324.0	54
989.0	54
1184.0	54
1111.0	54
652.0	54
1073.0	53
790.0	53
644.0	53
856.0	53
173.0	53
943.0	53
816.0	53
1219.0	53
726.0	53
487.0	53
439.0	53
890.0	53
1112.0	53
1124.0	53
939.0	53
454.0	53
851.0	53
632.0	53
405.0	53
97.0	53
525.0	53
215.0	53
359.0	53
744.0	53
1162.0	53
1208.0	53
1262.0	53
1216.0	53
1148.0	53
1215.0	53
493.0	53
551.0	53
238.0	53
388.0	53
670.0	53
225.0	53
437.0	53
231.0	53
617.0	53
273.0	52
354.0	52
824.0	52
334.0	52
250.0	52
195.0	52
727.0	52
394.0	52
512.0	52
798.0	52
1171.0	52
806.0	52
665.0	52
172.0	52
410.0	52
1258.0	52
932.0	52
765.0	52
722.0	52
992.0	52
878.0	52
554.0	52
472.0	52
767.0	52
735.0	52
282.0	52
589.0	52
336.0	52
920.0	52
1222.0	52
333.0	52
284.0	52
729.0	52
263.0	52
977.0	52
312.0	52
253.0	52
996.0	52
1144.0	52
1168.0	52
232.0	52
236.0	52
758.0	51
620.0	51
1193.0	51
262.0	51
139.0	51
332.0	51
351.0	51
182.0	51
1198.0	51
531.0	51
1175.0	51
1229.0	51
1170.0	51
1315.0	51
507.0	51
1296.0	51
214.0	51
911.0	51
524.0	51
733.0	51
671.0	51
151.0	51
719.0	51
602.0	51
502.0	51
1114.0	51
929.0	51
1129.0	51
313.0	51
891.0	51
1132.0	51
731.0	51
290.0	51
1052.0	51
755.0	51
801.0	51
609.0	50
444.0	50
826.0	50
914.0	50
1071.0	50
917.0	50
1147.0	50
660.0	50
858.0	50
364.0	50
815.0	50
254.0	50
844.0	50
490.0	50
118.0	50
954.0	50
1294.0	50
163.0	50
581.0	50
474.0	50
456.0	50
446.0	50
1126.0	50
323.0	50
866.0	50
1173.0	50
436.0	50
407.0	50
1239.0	50
1365.0	50
1048.0	50
1250.0	50
489.0	50
475.0	50
473.0	50
305.0	50
1218.0	50
1186.0	50
638.0	50
1061.0	50
567.0	50
1241.0	50
159.0	50
438.0	50
787.0	50
338.0	49
1221.0	49
192.0	49
435.0	49
894.0	49
618.0	49
1254.0	49
675.0	49
1189.0	49
530.0	49
355.0	49
538.0	49
153.0	49
1006.0	49
1064.0	49
1013.0	49
1360.0	49
1196.0	49
608.0	49
255.0	49
959.0	49
855.0	49
711.0	49
688.0	49
759.0	49
636.0	49
384.0	49
1277.0	49
233.0	49
166.0	49
519.0	48
588.0	48
817.0	48
251.0	48
211.0	48
367.0	48
421.0	48
113.0	48
1011.0	48
811.0	48
728.0	48
418.0	48
770.0	48
1092.0	48
634.0	48
966.0	48
143.0	48
178.0	48
1319.0	48
876.0	48
1130.0	48
560.0	48
1223.0	48
587.0	48
645.0	48
1293.0	48
827.0	48
893.0	48
852.0	48
687.0	47
1070.0	47
1425.0	47
902.0	47
1177.0	47
1247.0	47
557.0	47
246.0	47
1316.0	47
839.0	47
819.0	47
515.0	47
1106.0	47
720.0	47
1224.0	47
478.0	47
648.0	47
849.0	47
730.0	47
1366.0	47
496.0	47
1120.0	47
974.0	47
994.0	47
725.0	47
278.0	47
413.0	47
1217.0	47
606.0	47
1179.0	47
403.0	47
220.0	47
804.0	47
509.0	47
335.0	47
1016.0	47
705.0	46
995.0	46
346.0	46
1269.0	46
286.0	46
193.0	46
382.0	46
429.0	46
256.0	46
1253.0	46
594.0	46
1230.0	46
1135.0	46
668.0	46
802.0	46
1181.0	46
1157.0	46
1237.0	46
171.0	46
887.0	46
1359.0	46
904.0	46
268.0	46
739.0	46
840.0	46
1302.0	46
409.0	46
459.0	46
259.0	46
842.0	46
1311.0	46
484.0	46
357.0	46
404.0	46
353.0	46
622.0	46
358.0	46
131.0	46
483.0	46
1346.0	46
835.0	46
373.0	46
326.0	46
1324.0	46
432.0	45
611.0	45
922.0	45
311.0	45
501.0	45
467.0	45
453.0	45
482.0	45
812.0	45
365.0	45
1083.0	45
330.0	45
1373.0	45
685.0	45
237.0	45
592.0	45
520.0	45
1295.0	45
845.0	45
1335.0	45
340.0	45
245.0	45
497.0	45
544.0	45
658.0	45
629.0	45
596.0	45
1225.0	45
619.0	45
1266.0	45
1164.0	45
951.0	45
1128.0	44
808.0	44
464.0	44
244.0	44
280.0	44
1349.0	44
599.0	44
1194.0	44
875.0	44
682.0	44
1214.0	44
662.0	44
386.0	44
504.0	44
776.0	44
653.0	44
1199.0	44
448.0	44
1284.0	44
398.0	44
277.0	44
1340.0	44
1310.0	44
1371.0	44
561.0	44
1313.0	44
603.0	44
516.0	44
769.0	44
624.0	44
761.0	44
149.0	44
830.0	44
702.0	44
223.0	44
1213.0	44
1377.0	44
706.0	44
780.0	44
463.0	43
694.0	43
315.0	43
216.0	43
945.0	43
329.0	43
301.0	43
271.0	43
615.0	43
1102.0	43
387.0	43
428.0	43
1288.0	43
150.0	43
289.0	43
1268.0	43
1231.0	43
522.0	43
791.0	43
1191.0	43
1072.0	43
605.0	43
411.0	43
778.0	43
563.0	43
1393.0	43
1392.0	43
423.0	43
309.0	43
406.0	43
230.0	42
243.0	42
664.0	42
1228.0	42
1298.0	42
601.0	42
1201.0	42
1226.0	42
1361.0	42
275.0	42
465.0	42
455.0	42
626.0	42
1233.0	42
1290.0	42
1113.0	42
395.0	42
1145.0	42
1100.0	42
471.0	42
630.0	42
597.0	42
749.0	42
295.0	42
1275.0	42
1406.0	42
1339.0	42
380.0	42
457.0	42
1236.0	42
416.0	42
1235.0	42
642.0	42
401.0	41
374.0	41
400.0	41
539.0	41
441.0	41
281.0	41
654.0	41
1244.0	41
928.0	41
390.0	41
1158.0	41
1272.0	41
771.0	41
1382.0	41
169.0	41
612.0	41
1200.0	41
1348.0	41
573.0	40
500.0	40
307.0	40
389.0	40
651.0	40
226.0	40
681.0	40
633.0	40
748.0	40
393.0	40
1305.0	40
1019.0	40
208.0	40
1256.0	40
450.0	40
549.0	40
1356.0	40
693.0	40
513.0	40
198.0	40
1238.0	40
1274.0	40
584.0	40
420.0	40
1379.0	40
570.0	40
155.0	40
679.0	39
1312.0	39
723.0	39
1211.0	39
700.0	39
288.0	39
870.0	39
523.0	39
709.0	39
736.0	39
764.0	39
640.0	39
217.0	39
663.0	39
292.0	39
486.0	39
716.0	39
752.0	39
303.0	39
1416.0	39
1248.0	39
470.0	39
548.0	39
574.0	39
710.0	39
595.0	39
635.0	38
1093.0	38
747.0	38
703.0	38
580.0	38
1307.0	38
345.0	38
1234.0	38
320.0	38
734.0	38
919.0	38
1257.0	38
1261.0	38
543.0	38
697.0	38
631.0	38
568.0	38
927.0	38
1014.0	38
779.0	38
427.0	38
565.0	38
476.0	38
426.0	38
