Value	Count
6.0	489
7.0	407
11.0	397
5.0	381
4.0	369
8.0	357
18.0	331
9.0	330
17.0	328
10.0	322
13.0	320
14.0	304
12.0	281
16.0	277
20.0	260
21.0	256
22.0	254
19.0	242
24.0	236
61.0	234
30.0	233
33.0	232
15.0	231
392.0	230
39.0	229
31.0	227
28.0	227
26.0	223
42.0	223
25.0	219
398.0	214
385.0	214
41.0	214
394.0	214
23.0	213
383.0	212
337.0	212
29.0	212
331.0	211
314.0	208
40.0	208
403.0	206
34.0	206
35.0	206
43.0	204
328.0	204
422.0	204
32.0	204
364.0	203
395.0	203
335.0	203
48.0	202
38.0	202
367.0	200
366.0	200
84.0	200
317.0	199
333.0	198
381.0	196
53.0	196
359.0	195
312.0	194
346.0	193
327.0	192
380.0	192
363.0	192
50.0	192
302.0	191
379.0	191
46.0	191
386.0	191
294.0	191
308.0	191
277.0	190
260.0	190
36.0	190
338.0	189
354.0	189
374.0	189
279.0	188
323.0	188
356.0	188
332.0	187
298.0	187
371.0	187
69.0	186
340.0	186
45.0	185
292.0	185
409.0	185
37.0	185
322.0	185
351.0	185
309.0	185
348.0	184
66.0	183
27.0	183
349.0	183
339.0	183
47.0	182
303.0	181
362.0	181
365.0	180
301.0	180
418.0	180
391.0	180
316.0	180
404.0	180
107.0	180
51.0	180
60.0	179
357.0	179
94.0	178
399.0	178
434.0	178
350.0	178
324.0	178
144.0	178
62.0	178
274.0	177
72.0	177
343.0	177
368.0	177
52.0	177
342.0	176
369.0	176
361.0	176
307.0	176
92.0	176
246.0	176
458.0	176
370.0	175
82.0	175
300.0	175
355.0	175
389.0	175
272.0	173
58.0	173
344.0	173
63.0	173
288.0	173
387.0	173
273.0	173
421.0	173
426.0	172
122.0	172
315.0	171
400.0	171
412.0	171
115.0	171
295.0	171
341.0	171
325.0	171
102.0	170
56.0	170
114.0	170
438.0	170
276.0	170
264.0	169
378.0	169
104.0	168
167.0	168
192.0	168
318.0	168
109.0	167
373.0	167
347.0	167
388.0	167
240.0	167
405.0	166
64.0	166
433.0	166
360.0	166
57.0	166
352.0	166
319.0	166
289.0	165
140.0	165
80.0	165
269.0	165
59.0	165
243.0	164
206.0	164
353.0	164
98.0	163
402.0	163
267.0	163
123.0	163
112.0	162
401.0	162
376.0	162
271.0	162
330.0	161
44.0	161
197.0	161
377.0	161
215.0	161
411.0	161
299.0	161
311.0	160
429.0	160
417.0	160
256.0	160
345.0	160
431.0	159
390.0	159
428.0	159
68.0	158
67.0	158
420.0	158
89.0	158
270.0	158
73.0	158
220.0	158
329.0	157
286.0	157
54.0	157
384.0	157
49.0	157
268.0	157
241.0	156
96.0	156
108.0	156
55.0	156
242.0	156
78.0	155
71.0	155
126.0	155
120.0	154
375.0	154
406.0	154
75.0	153
133.0	153
252.0	153
408.0	153
234.0	153
321.0	152
230.0	152
265.0	152
236.0	152
194.0	151
432.0	151
74.0	151
396.0	151
216.0	151
113.0	151
293.0	151
228.0	151
175.0	150
262.0	150
217.0	150
251.0	150
153.0	150
334.0	149
437.0	149
290.0	149
233.0	149
88.0	149
278.0	149
259.0	149
372.0	149
106.0	149
326.0	149
77.0	148
198.0	148
427.0	148
76.0	148
258.0	148
244.0	148
87.0	148
310.0	148
141.0	148
121.0	147
284.0	147
416.0	147
100.0	147
191.0	147
142.0	146
261.0	146
397.0	146
275.0	146
219.0	146
280.0	146
81.0	146
447.0	146
451.0	146
135.0	145
320.0	145
253.0	145
226.0	145
282.0	145
223.0	144
127.0	144
410.0	144
283.0	144
211.0	143
305.0	143
336.0	143
225.0	143
65.0	143
103.0	143
117.0	142
116.0	142
209.0	142
97.0	142
393.0	142
424.0	142
93.0	141
306.0	141
149.0	141
257.0	141
291.0	141
441.0	141
255.0	141
452.0	140
205.0	140
188.0	140
454.0	140
249.0	139
212.0	139
90.0	139
443.0	139
464.0	138
248.0	138
155.0	138
263.0	138
185.0	138
157.0	138
207.0	137
161.0	137
176.0	137
196.0	137
423.0	136
184.0	136
440.0	136
439.0	136
182.0	136
131.0	136
91.0	136
85.0	136
183.0	136
227.0	136
168.0	136
413.0	135
245.0	135
118.0	135
266.0	135
430.0	134
382.0	134
70.0	134
304.0	134
195.0	134
358.0	134
201.0	133
237.0	133
281.0	133
285.0	132
473.0	132
137.0	132
156.0	132
254.0	132
139.0	131
187.0	131
179.0	131
425.0	131
445.0	131
461.0	131
181.0	131
204.0	131
238.0	130
239.0	130
214.0	130
415.0	130
419.0	130
99.0	130
203.0	130
218.0	130
250.0	130
287.0	130
444.0	130
231.0	129
95.0	129
221.0	128
407.0	128
160.0	128
229.0	127
208.0	127
442.0	127
163.0	127
128.0	127
124.0	126
130.0	126
147.0	125
436.0	125
180.0	125
134.0	125
297.0	125
190.0	125
453.0	125
