Value	Count
4.0	507
5.0	506
6.0	468
11.0	391
9.0	388
7.0	382
8.0	368
12.0	359
17.0	324
19.0	322
13.0	319
14.0	316
21.0	307
20.0	301
18.0	291
15.0	282
16.0	280
23.0	278
27.0	277
37.0	272
3.0	267
29.0	263
31.0	259
28.0	257
25.0	253
41.0	249
33.0	248
10.0	246
72.0	236
34.0	234
22.0	230
35.0	229
51.0	228
2.0	226
26.0	223
57.0	220
38.0	219
40.0	218
43.0	217
55.0	214
30.0	213
36.0	212
224.0	210
231.0	210
176.0	209
24.0	209
230.0	208
44.0	207
87.0	207
321.0	206
52.0	206
69.0	206
186.0	205
180.0	204
125.0	204
32.0	203
261.0	202
77.0	202
209.0	202
221.0	201
233.0	200
257.0	200
304.0	200
229.0	200
208.0	200
260.0	199
254.0	199
97.0	199
46.0	198
136.0	198
59.0	196
54.0	196
157.0	196
45.0	195
42.0	194
247.0	194
264.0	194
61.0	193
181.0	193
253.0	193
158.0	193
66.0	192
126.0	191
80.0	191
279.0	191
71.0	190
296.0	190
49.0	189
56.0	189
240.0	189
58.0	188
48.0	188
127.0	187
191.0	187
239.0	187
151.0	186
67.0	186
113.0	186
76.0	186
110.0	184
188.0	184
131.0	183
227.0	183
79.0	183
95.0	183
287.0	183
193.0	183
320.0	183
309.0	183
222.0	182
47.0	182
220.0	182
205.0	182
232.0	182
68.0	182
198.0	182
307.0	181
75.0	181
294.0	181
138.0	181
63.0	181
134.0	180
50.0	180
272.0	180
116.0	180
297.0	180
70.0	179
153.0	178
170.0	178
183.0	178
122.0	177
140.0	177
214.0	177
78.0	177
217.0	177
226.0	177
243.0	177
65.0	176
282.0	176
289.0	176
192.0	176
147.0	175
204.0	175
89.0	175
225.0	175
103.0	175
263.0	175
223.0	175
81.0	175
106.0	174
142.0	174
199.0	173
298.0	173
277.0	173
74.0	173
248.0	173
270.0	173
301.0	173
83.0	172
202.0	172
62.0	172
314.0	172
60.0	171
167.0	171
200.0	171
241.0	171
346.0	171
163.0	171
161.0	170
295.0	169
210.0	169
284.0	169
262.0	169
245.0	169
276.0	169
39.0	168
256.0	168
90.0	168
291.0	168
216.0	168
328.0	168
305.0	168
267.0	168
286.0	167
137.0	167
149.0	167
104.0	167
310.0	166
218.0	166
332.0	166
165.0	166
162.0	166
96.0	166
190.0	166
213.0	166
207.0	165
117.0	165
123.0	165
317.0	165
343.0	165
299.0	165
288.0	165
107.0	165
160.0	164
235.0	164
351.0	164
281.0	163
338.0	163
152.0	163
84.0	163
203.0	163
184.0	162
146.0	162
363.0	162
118.0	162
129.0	162
278.0	162
255.0	161
250.0	161
141.0	161
347.0	161
311.0	161
132.0	161
242.0	161
283.0	161
86.0	160
293.0	160
211.0	160
187.0	159
173.0	159
98.0	159
331.0	159
303.0	159
88.0	159
195.0	159
259.0	158
102.0	158
92.0	158
53.0	158
341.0	158
360.0	157
265.0	157
124.0	157
112.0	157
292.0	157
94.0	157
349.0	156
335.0	156
73.0	156
115.0	156
266.0	156
159.0	155
120.0	154
197.0	154
82.0	154
64.0	154
244.0	154
185.0	153
171.0	153
100.0	153
99.0	153
168.0	153
249.0	152
327.0	152
156.0	152
252.0	152
85.0	152
215.0	152
155.0	152
114.0	151
154.0	151
189.0	151
172.0	151
352.0	151
348.0	151
93.0	151
178.0	150
271.0	150
111.0	150
361.0	150
169.0	150
280.0	149
353.0	149
268.0	149
273.0	149
246.0	149
258.0	149
308.0	148
306.0	148
109.0	148
326.0	148
174.0	148
145.0	148
345.0	148
340.0	148
383.0	147
302.0	147
177.0	147
358.0	147
175.0	147
339.0	146
219.0	146
386.0	145
269.0	145
237.0	145
212.0	145
373.0	143
234.0	143
179.0	143
324.0	143
105.0	143
148.0	143
164.0	143
312.0	143
376.0	142
91.0	142
364.0	142
381.0	142
101.0	142
285.0	142
144.0	141
143.0	141
329.0	141
337.0	141
108.0	141
121.0	140
315.0	140
196.0	140
133.0	140
275.0	139
319.0	139
130.0	139
355.0	138
194.0	138
236.0	138
135.0	138
396.0	137
434.0	137
206.0	137
228.0	137
150.0	137
313.0	136
201.0	136
354.0	135
330.0	135
128.0	135
371.0	135
290.0	134
251.0	133
300.0	133
323.0	133
336.0	133
395.0	132
342.0	132
399.0	130
367.0	130
350.0	128
370.0	128
238.0	127
423.0	127
325.0	127
417.0	127
385.0	126
414.0	125
366.0	125
403.0	125
408.0	125
139.0	124
397.0	124
407.0	124
378.0	124
426.0	124
372.0	123
344.0	123
379.0	123
441.0	122
316.0	122
357.0	122
391.0	121
333.0	120
359.0	120
322.0	120
166.0	120
334.0	119
274.0	119
318.0	118
365.0	115
380.0	115
454.0	114
374.0	114
432.0	113
389.0	113
401.0	113
387.0	113
444.0	113
119.0	110
413.0	110
377.0	110
392.0	110
382.0	108
356.0	108
375.0	107
411.0	106
388.0	106
393.0	106
362.0	105
368.0	105
402.0	104
182.0	104
415.0	104
435.0	103
422.0	103
421.0	101
437.0	101
455.0	100
400.0	100
398.0	99
405.0	99
409.0	98
