#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	0	313.89389067524115	46.068595927116824	5.0	4.0	5.0	4.0	933.0	313.0	309.0	311.0
0	1	537.7126358695652	84.93410326086956	9.0	5.0	6.0	9.0	1472.0	396.0	366.0	710.0
0	2	570.7927565392354	102.51106639839034	5.0	4.0	5.0	4.0	497.0	120.0	222.0	155.0
0	3	112.38984438984438	108.23013923013923	7.0	4.0	7.0	6.0	1221.0	262.0	473.0	485.0
0	4	227.9449125081011	119.15942968243681	7.0	7.0	6.0	6.0	1543.0	531.0	474.0	537.0
0	5	321.3333333333333	137.43820224719101	4.0	4.0	4.0	4.0	534.0	239.0	179.0	116.0
0	6	526.5129310344828	168.52586206896552	4.0	4.0	4.0	3.0	464.0	186.0	158.0	119.0
0	7	346.1216216216216	194.0	2.0	1.0	2.0	1.0	74.0	18.0	36.0	19.0
0	8	147.67151411462788	207.66210436270316	6.0	5.0	6.0	6.0	1169.0	365.0	401.0	402.0
0	9	519.8119984715323	221.8972105464272	12.0	10.0	7.0	10.0	2617.0	1000.0	768.0	848.0
0	10	255.0	248.0	1.0	1.0	1.0	1.0	20.0	6.0	7.0	7.0
0	11	285.84177215189874	254.0	3.0	2.0	3.0	3.0	158.0	36.0	65.0	57.0
0	12	222.01305767138194	259.8171926006529	5.0	5.0	5.0	5.0	919.0	322.0	326.0	271.0
0	13	64.20879120879121	271.4945054945055	3.0	3.0	3.0	3.0	91.0	28.0	25.0	38.0
0	14	173.78962536023056	271.42651296829973	5.0	3.0	4.0	4.0	347.0	87.0	128.0	132.0
0	15	460.9284862932062	304.4549066348828	10.0	9.0	10.0	9.0	2517.0	858.0	902.0	757.0
0	16	541.4475409836066	336.0270491803279	8.0	7.0	7.0	7.0	1220.0	445.0	394.0	381.0
0	17	446.7374413931681	344.87943737441395	9.0	8.0	7.0	8.0	1493.0	514.0	369.0	610.0
0	18	461.375	346.71153846153845	4.0	4.0	4.0	2.0	208.0	63.0	92.0	52.0
0	19	442.0	361.0	1.0	1.0	1.0	0.0	11.0	7.0	3.0	0.0
0	20	32.34919571045577	362.94235924932974	7.0	6.0	7.0	7.0	1492.0	453.0	513.0	526.0
0	21	133.3125	368.18055555555554	6.0	6.0	6.0	6.0	1008.0	329.0	307.0	372.0
0	22	246.915	371.775	4.0	4.0	3.0	3.0	200.0	89.0	57.0	54.0
0	23	492.66630785791176	372.70182992465016	5.0	4.0	5.0	5.0	929.0	274.0	302.0	353.0
0	24	44.0	395.0	1.0	1.0	1.0	1.0	27.0	9.0	9.0	9.0
0	25	304.5868338557994	403.31473354231974	10.0	7.0	6.0	10.0	1595.0	335.0	469.0	791.0
0	26	606.5658362989324	403.85978647686835	7.0	7.0	6.0	6.0	1405.0	512.0	505.0	388.0
0	27	292.27906976744185	415.6093023255814	5.0	5.0	5.0	4.0	215.0	83.0	67.0	65.0
0	28	558.0735600277585	427.2456627342124	8.0	3.0	6.0	8.0	1441.0	167.0	452.0	822.0
0	29	524.658064516129	432.89677419354837	3.0	2.0	3.0	3.0	155.0	34.0	59.0	62.0
0	30	582.7664974619289	432.6243654822335	5.0	5.0	4.0	5.0	197.0	91.0	30.0	76.0
