Value	Count
5.0	42
33.0	39
14.0	38
16.0	36
19.0	36
75.0	34
13.0	34
4.0	33
15.0	32
102.0	30
11.0	29
20.0	28
7.0	26
84.0	26
12.0	25
6.0	25
22.0	24
9.0	24
38.0	23
24.0	23
54.0	23
23.0	23
32.0	23
21.0	23
241.0	22
105.0	22
26.0	22
136.0	21
113.0	20
111.0	20
216.0	20
28.0	20
399.0	20
125.0	20
363.0	19
17.0	19
196.0	19
314.0	19
48.0	19
3.0	19
194.0	19
86.0	18
40.0	18
25.0	18
107.0	18
115.0	18
61.0	18
35.0	18
119.0	18
59.0	17
44.0	17
408.0	17
85.0	17
193.0	17
67.0	17
238.0	17
90.0	17
305.0	17
91.0	17
243.0	17
36.0	17
133.0	17
191.0	16
232.0	16
229.0	16
49.0	16
98.0	16
340.0	16
78.0	15
286.0	15
160.0	15
200.0	15
106.0	15
227.0	15
42.0	15
72.0	15
139.0	15
318.0	14
213.0	14
336.0	14
320.0	14
146.0	14
27.0	14
178.0	14
328.0	14
41.0	14
37.0	14
434.0	14
135.0	14
94.0	14
173.0	14
110.0	14
450.0	14
50.0	14
274.0	14
8.0	14
206.0	14
152.0	14
172.0	14
62.0	14
29.0	13
224.0	13
143.0	13
377.0	13
396.0	13
83.0	13
39.0	13
184.0	13
123.0	13
282.0	13
77.0	13
162.0	13
31.0	13
99.0	13
245.0	13
211.0	13
55.0	13
116.0	13
57.0	13
156.0	13
30.0	13
18.0	13
374.0	12
73.0	12
46.0	12
573.0	12
251.0	12
244.0	12
402.0	12
278.0	12
2.0	12
195.0	12
167.0	12
519.0	12
137.0	12
297.0	12
45.0	12
285.0	12
64.0	12
169.0	12
254.0	12
359.0	12
410.0	12
82.0	12
327.0	12
79.0	12
259.0	12
192.0	12
453.0	12
492.0	11
171.0	11
108.0	11
235.0	11
358.0	11
365.0	11
161.0	11
69.0	11
276.0	11
432.0	11
407.0	11
309.0	11
34.0	11
43.0	11
557.0	11
246.0	11
369.0	11
258.0	11
134.0	11
590.0	11
199.0	11
201.0	11
117.0	11
10.0	11
189.0	11
132.0	10
120.0	10
353.0	10
648.0	10
617.0	10
51.0	10
180.0	10
293.0	10
114.0	10
467.0	10
530.0	10
533.0	10
299.0	10
179.0	10
177.0	10
212.0	10
76.0	10
323.0	10
58.0	10
164.0	10
463.0	10
279.0	10
121.0	10
231.0	10
249.0	10
326.0	10
341.0	10
56.0	10
208.0	10
217.0	10
520.0	10
80.0	10
151.0	10
313.0	9
831.0	9
416.0	9
375.0	9
221.0	9
175.0	9
150.0	9
290.0	9
93.0	9
163.0	9
915.0	9
289.0	9
294.0	9
651.0	9
237.0	9
88.0	9
283.0	9
485.0	9
569.0	9
204.0	9
236.0	9
345.0	9
207.0	9
346.0	9
413.0	9
916.0	9
190.0	9
124.0	9
339.0	9
126.0	9
587.0	9
60.0	9
220.0	9
92.0	9
405.0	9
384.0	9
275.0	9
74.0	8
568.0	8
421.0	8
219.0	8
636.0	8
266.0	8
311.0	8
316.0	8
89.0	8
181.0	8
52.0	8
395.0	8
141.0	8
284.0	8
570.0	8
610.0	8
63.0	8
100.0	8
477.0	8
127.0	8
593.0	8
166.0	8
170.0	8
145.0	8
464.0	8
248.0	8
97.0	8
198.0	8
471.0	8
233.0	8
308.0	8
380.0	8
253.0	8
553.0	8
187.0	8
664.0	8
250.0	8
81.0	8
620.0	8
149.0	8
772.0	8
387.0	8
853.0	8
334.0	8
281.0	8
497.0	8
301.0	8
138.0	8
460.0	7
331.0	7
388.0	7
128.0	7
186.0	7
321.0	7
406.0	7
343.0	7
548.0	7
287.0	7
506.0	7
389.0	7
425.0	7
310.0	7
350.0	7
440.0	7
267.0	7
148.0	7
103.0	7
882.0	7
168.0	7
672.0	7
265.0	7
165.0	7
523.0	7
392.0	7
188.0	7
66.0	7
411.0	7
602.0	7
875.0	7
157.0	7
230.0	7
618.0	7
104.0	7
183.0	7
629.0	7
351.0	7
556.0	7
272.0	7
439.0	7
210.0	7
401.0	7
382.0	7
514.0	7
660.0	7
403.0	7
147.0	7
508.0	7
302.0	6
747.0	6
418.0	6
866.0	6
370.0	6
262.0	6
391.0	6
512.0	6
140.0	6
348.0	6
433.0	6
367.0	6
291.0	6
527.0	6
427.0	6
757.0	6
622.0	6
397.0	6
490.0	6
855.0	6
280.0	6
87.0	6
829.0	6
779.0	6
109.0	6
860.0	6
732.0	6
662.0	6
376.0	6
65.0	6
504.0	6
561.0	6
712.0	6
306.0	6
484.0	6
332.0	6
821.0	6
499.0	6
214.0	6
900.0	6
472.0	6
357.0	6
799.0	6
447.0	6
744.0	6
443.0	6
159.0	6
228.0	6
619.0	6
495.0	6
112.0	6
142.0	6
479.0	6
817.0	6
576.0	6
594.0	6
319.0	6
68.0	6
174.0	6
256.0	6
304.0	6
218.0	5
1166.0	5
1019.0	5
252.0	5
96.0	5
973.0	5
1057.0	5
205.0	5
528.0	5
307.0	5
795.0	5
347.0	5
446.0	5
827.0	5
677.0	5
417.0	5
516.0	5
435.0	5
454.0	5
234.0	5
361.0	5
338.0	5
698.0	5
566.0	5
436.0	5
656.0	5
770.0	5
222.0	5
470.0	5
545.0	5
261.0	5
71.0	5
240.0	5
511.0	5
428.0	5
423.0	5
726.0	5
242.0	5
398.0	5
273.0	5
537.0	5
586.0	5
518.0	5
202.0	5
890.0	5
329.0	5
185.0	5
424.0	5
978.0	5
496.0	5
631.0	5
473.0	5
507.0	5
322.0	5
264.0	5
892.0	5
368.0	5
771.0	5
565.0	5
847.0	5
419.0	5
859.0	5
247.0	5
482.0	5
558.0	5
592.0	5
352.0	5
709.0	5
1363.0	5
686.0	5
657.0	5
756.0	5
438.0	5
95.0	5
315.0	4
613.0	4
430.0	4
819.0	4
896.0	4
390.0	4
1213.0	4
921.0	4
303.0	4
215.0	4
257.0	4
983.0	4
1326.0	4
296.0	4
493.0	4
356.0	4
362.0	4
809.0	4
722.0	4
705.0	4
325.0	4
919.0	4
691.0	4
838.0	4
688.0	4
324.0	4
53.0	4
461.0	4
675.0	4
144.0	4
881.0	4
129.0	4
317.0	4
650.0	4
437.0	4
572.0	4
197.0	4
203.0	4
153.0	4
1135.0	4
312.0	4
972.0	4
979.0	4
263.0	4
541.0	4
644.0	4
1316.0	4
539.0	4
474.0	4
271.0	4
922.0	4
354.0	4
878.0	4
703.0	4
118.0	4
905.0	4
462.0	4
714.0	4
596.0	4
131.0	4
549.0	4
300.0	4
899.0	4
659.0	4
1293.0	4
534.0	4
707.0	4
857.0	4
364.0	4
551.0	4
597.0	4
155.0	4
552.0	4
647.0	4
683.0	4
486.0	4
381.0	4
158.0	4
926.0	4
488.0	4
441.0	4
753.0	4
101.0	4
588.0	4
480.0	4
1026.0	4
154.0	4
788.0	4
122.0	4
1264.0	4
526.0	4
335.0	4
560.0	4
627.0	4
457.0	4
869.0	3
966.0	3
967.0	3
1003.0	3
540.0	3
840.0	3
1029.0	3
501.0	3
378.0	3
1161.0	3
749.0	3
743.0	3
710.0	3
1478.0	3
1542.0	3
893.0	3
2579.0	3
1360.0	3
912.0	3
839.0	3
500.0	3
1338.0	3
946.0	3
1341.0	3
270.0	3
1010.0	3
715.0	3
611.0	3
476.0	3
999.0	3
766.0	3
826.0	3
791.0	3
1468.0	3
1357.0	3
604.0	3
1692.0	3
225.0	3
822.0	3
666.0	3
532.0	3
442.0	3
635.0	3
1914.0	3
1125.0	3
609.0	3
1097.0	3
1562.0	3
909.0	3
469.0	3
579.0	3
719.0	3
669.0	3
661.0	3
1114.0	3
1269.0	3
690.0	3
1251.0	3
1156.0	3
591.0	3
774.0	3
1202.0	3
1087.0	3
702.0	3
1810.0	3
1456.0	3
1962.0	3
1435.0	3
2988.0	3
509.0	3
1174.0	3
696.0	3
623.0	3
2628.0	3
704.0	3
639.0	3
260.0	3
941.0	3
1235.0	3
914.0	3
1177.0	3
910.0	3
846.0	3
536.0	3
1378.0	3
782.0	3
674.0	3
607.0	3
933.0	3
754.0	3
1889.0	3
925.0	3
871.0	3
1248.0	3
1325.0	3
1073.0	3
633.0	3
2048.0	3
752.0	3
679.0	3
894.0	3
763.0	3
1321.0	3
529.0	3
852.0	3
739.0	3
1586.0	3
366.0	3
1246.0	3
1286.0	3
449.0	3
804.0	3
1043.0	3
958.0	3
879.0	3
522.0	2
1012.0	2
1291.0	2
1696.0	2
1175.0	2
1150.0	2
603.0	2
1482.0	2
459.0	2
1501.0	2
725.0	2
543.0	2
337.0	2
781.0	2
182.0	2
780.0	2
934.0	2
458.0	2
740.0	2
412.0	2
1072.0	2
1031.0	2
706.0	2
968.0	2
1067.0	2
962.0	2
342.0	2
1281.0	2
608.0	2
616.0	2
1152.0	2
431.0	2
269.0	2
226.0	2
920.0	2
982.0	2
681.0	2
996.0	2
452.0	2
1521.0	2
268.0	2
768.0	2
634.0	2
1017.0	2
360.0	2
750.0	2
542.0	2
850.0	2
562.0	2
415.0	2
2278.0	2
997.0	2
693.0	2
344.0	2
965.0	2
420.0	2
393.0	2
554.0	2
1260.0	2
1587.0	2
765.0	2
513.0	2
1036.0	2
808.0	2
680.0	2
1276.0	2
525.0	2
1172.0	2
658.0	2
1096.0	2
1256.0	2
599.0	2
478.0	2
1374.0	2
615.0	2
445.0	2
1828.0	2
567.0	2
1289.0	2
505.0	2
1030.0	2
1424.0	2
786.0	2
1582.0	2
736.0	2
1498.0	2
451.0	2
1197.0	2
277.0	2
333.0	2
1257.0	2
1666.0	2
1201.0	2
1623.0	2
730.0	2
1104.0	2
858.0	2
1216.0	2
475.0	2
1967.0	2
1074.0	2
637.0	2
1047.0	2
503.0	2
1283.0	2
671.0	2
1471.0	2
400.0	2
815.0	2
223.0	2
1409.0	2
642.0	2
1170.0	2
538.0	2
721.0	2
583.0	2
555.0	2
1115.0	2
1855.0	2
961.0	2
2285.0	2
1080.0	2
1446.0	2
1560.0	2
689.0	2
483.0	2
667.0	2
444.0	2
1162.0	2
1892.0	2
1384.0	2
760.0	2
564.0	2
729.0	2
502.0	2
1068.0	2
209.0	2
1022.0	2
734.0	2
697.0	2
2424.0	2
239.0	2
632.0	2
1318.0	2
574.0	2
1737.0	2
873.0	2
404.0	2
624.0	2
1050.0	2
865.0	2
255.0	2
521.0	2
701.0	2
638.0	2
448.0	2
494.0	2
1049.0	2
601.0	2
1512.0	2
842.0	2
652.0	2
837.0	2
1796.0	2
1517.0	2
575.0	2
581.0	2
547.0	2
748.0	2
426.0	2
1538.0	2
1027.0	2
630.0	2
621.0	2
355.0	2
931.0	2
769.0	2
918.0	2
1401.0	2
589.0	2
957.0	2
468.0	2
811.0	2
1282.0	2
517.0	2
295.0	2
1344.0	2
1255.0	2
582.0	2
456.0	2
1851.0	2
1815.0	2
737.0	2
1904.0	2
901.0	2
1345.0	2
130.0	2
1189.0	2
964.0	2
1643.0	2
938.0	2
625.0	2
708.0	2
1023.0	2
1312.0	2
70.0	2
330.0	2
1199.0	2
577.0	2
751.0	2
1459.0	2
1101.0	2
176.0	2
787.0	2
1366.0	2
716.0	2
711.0	2
1141.0	2
1210.0	2
1271.0	2
862.0	2
761.0	2
741.0	2
844.0	2
833.0	2
584.0	2
805.0	2
713.0	2
1364.0	2
728.0	2
481.0	2
1214.0	2
863.0	2
1507.0	2
292.0	2
802.0	2
1842.0	2
970.0	2
288.0	2
641.0	2
1337.0	2
1231.0	2
942.0	2
1145.0	2
550.0	2
1183.0	2
876.0	2
1092.0	2
1176.0	2
465.0	2
1974.0	2
1526.0	2
848.0	1
595.0	1
801.0	1
1505.0	1
778.0	1
372.0	1
1385.0	1
1287.0	1
767.0	1
1567.0	1
991.0	1
