Value	Count
12.0	27
13.0	24
42.0	21
27.0	20
51.0	19
33.0	19
15.0	19
56.0	18
8.0	17
32.0	17
36.0	17
16.0	16
69.0	16
18.0	16
17.0	15
38.0	15
105.0	14
45.0	14
213.0	14
44.0	13
48.0	13
120.0	13
31.0	13
313.0	13
14.0	13
21.0	13
37.0	13
204.0	12
953.0	12
26.0	12
293.0	12
119.0	12
742.0	12
64.0	12
53.0	12
106.0	12
89.0	12
58.0	12
7.0	12
1545.0	11
1033.0	11
86.0	11
485.0	11
10.0	11
748.0	11
9.0	11
1103.0	11
619.0	11
979.0	11
114.0	11
220.0	11
317.0	11
47.0	11
547.0	11
1559.0	10
958.0	10
197.0	10
957.0	10
860.0	10
325.0	10
50.0	10
29.0	10
1059.0	10
85.0	10
122.0	10
138.0	10
75.0	10
196.0	10
61.0	10
513.0	10
1192.0	9
158.0	9
227.0	9
99.0	9
1316.0	9
1750.0	9
77.0	9
54.0	9
430.0	9
182.0	9
1174.0	9
183.0	9
30.0	9
20.0	9
65.0	9
40.0	9
705.0	9
46.0	9
894.0	9
171.0	9
796.0	9
1201.0	9
83.0	9
49.0	9
266.0	9
506.0	9
505.0	9
427.0	9
1107.0	8
1542.0	8
1110.0	8
41.0	8
326.0	8
223.0	8
175.0	8
823.0	8
1028.0	8
74.0	8
190.0	8
96.0	8
327.0	8
993.0	8
292.0	8
70.0	8
73.0	8
283.0	8
103.0	8
22.0	8
251.0	8
318.0	8
1618.0	8
1195.0	8
552.0	8
674.0	8
997.0	8
493.0	8
332.0	8
446.0	8
1034.0	8
139.0	8
270.0	8
1720.0	8
166.0	8
942.0	8
1007.0	8
94.0	8
164.0	8
78.0	8
201.0	8
965.0	8
35.0	8
711.0	8
1049.0	7
671.0	7
1375.0	7
90.0	7
909.0	7
1478.0	7
466.0	7
1124.0	7
178.0	7
2146.0	7
777.0	7
730.0	7
939.0	7
79.0	7
985.0	7
399.0	7
378.0	7
1222.0	7
613.0	7
1377.0	7
303.0	7
376.0	7
488.0	7
290.0	7
57.0	7
408.0	7
1805.0	7
68.0	7
970.0	7
1851.0	7
797.0	7
113.0	7
496.0	7
66.0	7
523.0	7
394.0	7
2041.0	7
107.0	7
1006.0	7
778.0	7
1017.0	7
417.0	7
52.0	7
97.0	7
590.0	7
181.0	7
704.0	7
1001.0	7
901.0	7
141.0	7
990.0	7
1315.0	7
1582.0	7
1269.0	7
842.0	7
224.0	7
25.0	7
1394.0	7
848.0	7
1699.0	7
832.0	7
586.0	7
72.0	7
63.0	7
1078.0	7
387.0	7
1895.0	7
790.0	7
805.0	7
349.0	7
1390.0	6
1786.0	6
879.0	6
216.0	6
289.0	6
1772.0	6
1880.0	6
379.0	6
449.0	6
60.0	6
916.0	6
388.0	6
1105.0	6
908.0	6
779.0	6
952.0	6
785.0	6
838.0	6
960.0	6
1650.0	6
1310.0	6
641.0	6
733.0	6
617.0	6
528.0	6
1071.0	6
1935.0	6
634.0	6
511.0	6
1573.0	6
1098.0	6
159.0	6
91.0	6
442.0	6
1030.0	6
24.0	6
116.0	6
809.0	6
1554.0	6
1520.0	6
382.0	6
497.0	6
1648.0	6
235.0	6
707.0	6
1868.0	6
1707.0	6
1693.0	6
1401.0	6
450.0	6
945.0	6
95.0	6
1440.0	6
1113.0	6
535.0	6
558.0	6
1363.0	6
478.0	6
440.0	6
1029.0	6
650.0	6
701.0	6
937.0	6
1301.0	6
1469.0	6
717.0	6
136.0	6
219.0	6
633.0	6
1044.0	6
167.0	6
471.0	6
436.0	6
1218.0	6
548.0	6
456.0	6
1271.0	6
2184.0	6
2251.0	6
949.0	6
764.0	6
1378.0	6
517.0	6
153.0	6
142.0	6
1140.0	6
137.0	6
1504.0	6
602.0	5
98.0	5
1634.0	5
2384.0	5
320.0	5
2589.0	5
880.0	5
82.0	5
