Value	Count
7.0	42
5.0	41
9.0	37
4.0	35
8.0	32
14.0	32
6.0	30
12.0	28
16.0	28
33.0	25
26.0	24
15.0	24
44.0	24
428.0	24
20.0	23
266.0	23
29.0	22
47.0	22
320.0	22
25.0	21
40.0	21
11.0	20
21.0	20
237.0	20
42.0	20
108.0	20
24.0	20
17.0	20
107.0	20
41.0	19
79.0	19
19.0	19
62.0	19
112.0	19
187.0	18
105.0	18
111.0	18
30.0	18
49.0	18
58.0	18
39.0	18
404.0	18
13.0	18
304.0	18
294.0	17
27.0	17
337.0	17
296.0	17
57.0	17
364.0	17
301.0	17
71.0	17
46.0	17
18.0	17
10.0	16
442.0	16
365.0	16
157.0	16
86.0	16
349.0	16
240.0	16
82.0	16
45.0	16
159.0	16
277.0	16
339.0	15
436.0	15
168.0	15
35.0	15
279.0	15
129.0	15
309.0	15
48.0	15
99.0	15
43.0	15
74.0	15
138.0	15
23.0	15
432.0	15
383.0	14
163.0	14
241.0	14
56.0	14
293.0	14
80.0	14
327.0	14
449.0	14
194.0	14
597.0	13
342.0	13
276.0	13
158.0	13
36.0	13
67.0	13
407.0	13
311.0	13
53.0	13
595.0	13
61.0	13
551.0	13
22.0	13
274.0	13
153.0	13
101.0	13
135.0	13
332.0	13
143.0	13
113.0	13
262.0	13
600.0	13
285.0	12
142.0	12
91.0	12
247.0	12
84.0	12
400.0	12
489.0	12
199.0	12
333.0	12
152.0	12
70.0	12
72.0	12
531.0	12
123.0	12
362.0	12
257.0	12
169.0	12
131.0	12
523.0	12
161.0	12
78.0	12
513.0	12
215.0	11
310.0	11
32.0	11
177.0	11
137.0	11
368.0	11
165.0	11
180.0	11
245.0	11
96.0	11
569.0	11
612.0	11
253.0	11
624.0	11
176.0	11
539.0	11
512.0	11
521.0	11
373.0	11
474.0	11
106.0	11
774.0	11
65.0	11
443.0	11
124.0	11
405.0	11
625.0	11
116.0	11
110.0	10
55.0	10
357.0	10
238.0	10
356.0	10
212.0	10
520.0	10
379.0	10
3.0	10
278.0	10
186.0	10
433.0	10
300.0	10
64.0	10
574.0	10
366.0	10
388.0	10
207.0	10
431.0	10
444.0	10
170.0	10
589.0	10
375.0	10
485.0	10
335.0	10
411.0	10
348.0	10
59.0	10
596.0	10
181.0	10
325.0	10
197.0	10
530.0	10
502.0	10
507.0	10
648.0	10
239.0	10
60.0	10
582.0	10
466.0	10
395.0	10
224.0	10
331.0	10
217.0	10
291.0	10
526.0	10
97.0	10
31.0	9
570.0	9
667.0	9
1065.0	9
189.0	9
218.0	9
445.0	9
306.0	9
51.0	9
750.0	9
355.0	9
93.0	9
77.0	9
283.0	9
508.0	9
172.0	9
195.0	9
303.0	9
201.0	9
75.0	9
250.0	9
54.0	9
299.0	9
289.0	9
225.0	9
273.0	9
421.0	9
222.0	9
196.0	9
174.0	9
192.0	9
228.0	9
393.0	9
654.0	9
154.0	9
313.0	9
259.0	9
390.0	9
382.0	9
723.0	9
483.0	9
171.0	9
566.0	9
413.0	9
454.0	9
323.0	9
188.0	9
371.0	9
609.0	8
602.0	8
329.0	8
147.0	8
66.0	8
281.0	8
261.0	8
173.0	8
363.0	8
100.0	8
141.0	8
134.0	8
384.0	8
462.0	8
121.0	8
434.0	8
577.0	8
540.0	8
68.0	8
715.0	8
148.0	8
505.0	8
649.0	8
452.0	8
290.0	8
579.0	8
518.0	8
302.0	8
50.0	8
231.0	8
874.0	8
94.0	8
492.0	8
660.0	8
316.0	8
89.0	8
211.0	8
232.0	8
415.0	8
655.0	8
429.0	8
591.0	8
711.0	8
336.0	8
351.0	8
208.0	8
475.0	8
317.0	8
206.0	8
133.0	8
198.0	8
167.0	8
752.0	8
424.0	8
702.0	8
350.0	8
525.0	8
460.0	8
378.0	7
248.0	7
322.0	7
226.0	7
318.0	7
254.0	7
683.0	7
150.0	7
510.0	7
341.0	7
118.0	7
104.0	7
130.0	7
662.0	7
338.0	7
604.0	7
412.0	7
664.0	7
269.0	7
639.0	7
334.0	7
183.0	7
503.0	7
204.0	7
394.0	7
191.0	7
553.0	7
81.0	7
119.0	7
102.0	7
358.0	7
243.0	7
219.0	7
420.0	7
478.0	7
617.0	7
637.0	7
479.0	7
447.0	7
665.0	7
771.0	7
615.0	7
88.0	7
457.0	7
770.0	7
563.0	7
688.0	7
886.0	7
709.0	7
95.0	7
156.0	7
255.0	7
103.0	7
542.0	7
543.0	7
396.0	7
376.0	7
184.0	7
661.0	7
308.0	7
330.0	7
805.0	7
265.0	7
227.0	7
480.0	7
912.0	7
439.0	7
409.0	7
623.0	7
271.0	7
193.0	7
38.0	7
233.0	6
491.0	6
386.0	6
406.0	6
768.0	6
458.0	6
476.0	6
315.0	6
144.0	6
258.0	6
251.0	6
267.0	6
842.0	6
321.0	6
687.0	6
346.0	6
619.0	6
282.0	6
37.0	6
252.0	6
347.0	6
264.0	6
230.0	6
537.0	6
498.0	6
730.0	6
190.0	6
578.0	6
783.0	6
575.0	6
160.0	6
399.0	6
272.0	6
738.0	6
146.0	6
126.0	6
380.0	6
326.0	6
658.0	6
98.0	6
275.0	6
361.0	6
690.0	6
344.0	6
52.0	6
115.0	6
370.0	6
811.0	6
554.0	6
140.0	6
298.0	6
656.0	6
467.0	6
297.0	6
353.0	6
132.0	6
125.0	6
720.0	6
473.0	6
149.0	6
288.0	6
319.0	6
714.0	6
722.0	6
120.0	6
728.0	6
85.0	6
175.0	6
773.0	6
139.0	6
127.0	6
610.0	6
203.0	6
260.0	6
244.0	6
419.0	6
558.0	6
453.0	6
494.0	5
209.0	5
872.0	5
620.0	5
151.0	5
668.0	5
63.0	5
560.0	5
847.0	5
249.0	5
372.0	5
418.0	5
128.0	5
87.0	5
588.0	5
846.0	5
584.0	5
603.0	5
1269.0	5
898.0	5
242.0	5
202.0	5
1035.0	5
179.0	5
328.0	5
904.0	5
955.0	5
1077.0	5
410.0	5
922.0	5
205.0	5
374.0	5
519.0	5
627.0	5
497.0	5
509.0	5
397.0	5
114.0	5
360.0	5
684.0	5
677.0	5
792.0	5
314.0	5
414.0	5
618.0	5
359.0	5
511.0	5
820.0	5
164.0	5
564.0	5
633.0	5
590.0	5
292.0	5
583.0	5
736.0	5
145.0	5
484.0	5
516.0	5
465.0	5
806.0	5
561.0	5
340.0	5
514.0	5
754.0	5
122.0	5
401.0	5
185.0	5
986.0	5
345.0	5
663.0	5
890.0	5
910.0	5
548.0	5
944.0	5
911.0	5
463.0	5
647.0	5
528.0	5
263.0	5
735.0	5
726.0	5
438.0	5
952.0	4
838.0	4
746.0	4
636.0	4
501.0	4
385.0	4
731.0	4
538.0	4
892.0	4
954.0	4
706.0	4
719.0	4
178.0	4
1056.0	4
527.0	4
391.0	4
387.0	4
828.0	4
417.0	4
352.0	4
701.0	4
1019.0	4
246.0	4
920.0	4
733.0	4
200.0	4
700.0	4
235.0	4
857.0	4
675.0	4
408.0	4
488.0	4
213.0	4
557.0	4
437.0	4
987.0	4
585.0	4
653.0	4
464.0	4
221.0	4
448.0	4
1006.0	4
1226.0	4
547.0	4
567.0	4
834.0	4
1021.0	4
499.0	4
599.0	4
392.0	4
481.0	4
486.0	4
813.0	4
324.0	4
220.0	4
446.0	4
2.0	4
848.0	4
1199.0	4
765.0	4
757.0	4
1030.0	4
800.0	4
854.0	4
549.0	4
594.0	4
532.0	4
477.0	4
593.0	4
256.0	4
504.0	4
182.0	4
216.0	4
643.0	4
803.0	4
651.0	4
450.0	4
236.0	4
607.0	4
34.0	4
162.0	4
659.0	4
764.0	3
544.0	3
843.0	3
562.0	3
981.0	3
1281.0	3
827.0	3
1162.0	3
956.0	3
1241.0	3
576.0	3
1976.0	3
1217.0	3
871.0	3
766.0	3
