Value	Count
14.0	46
18.0	42
16.0	37
13.0	36
11.0	36
12.0	35
5.0	34
4.0	34
31.0	33
6.0	29
15.0	28
23.0	28
139.0	25
44.0	25
8.0	24
9.0	24
89.0	24
7.0	24
48.0	23
25.0	23
28.0	22
181.0	22
26.0	22
19.0	21
53.0	21
188.0	20
40.0	20
186.0	20
36.0	20
24.0	19
166.0	19
27.0	18
22.0	18
131.0	18
70.0	18
41.0	18
162.0	18
60.0	18
86.0	18
329.0	18
252.0	18
58.0	17
78.0	17
161.0	17
94.0	17
38.0	17
183.0	17
17.0	17
57.0	17
256.0	16
132.0	16
2.0	16
177.0	16
209.0	16
185.0	16
194.0	16
325.0	16
670.0	16
297.0	16
34.0	16
105.0	15
99.0	15
404.0	15
224.0	15
101.0	15
232.0	15
200.0	15
133.0	15
339.0	15
103.0	15
207.0	15
374.0	15
298.0	15
47.0	15
286.0	15
192.0	14
437.0	14
93.0	14
54.0	14
37.0	14
198.0	14
88.0	14
167.0	14
122.0	14
228.0	14
220.0	14
169.0	14
29.0	14
77.0	14
174.0	13
90.0	13
32.0	13
62.0	13
389.0	13
292.0	13
39.0	13
64.0	13
248.0	13
229.0	13
524.0	13
288.0	13
521.0	13
55.0	13
68.0	13
21.0	13
106.0	13
275.0	13
582.0	13
369.0	13
393.0	12
419.0	12
443.0	12
20.0	12
30.0	12
199.0	12
204.0	12
352.0	12
65.0	12
51.0	12
113.0	12
219.0	12
120.0	12
196.0	12
56.0	12
296.0	12
69.0	12
75.0	12
176.0	12
33.0	12
330.0	12
72.0	12
666.0	12
309.0	12
395.0	12
158.0	12
197.0	12
124.0	12
170.0	12
371.0	12
425.0	11
135.0	11
315.0	11
391.0	11
45.0	11
263.0	11
412.0	11
272.0	11
637.0	11
563.0	11
146.0	11
123.0	11
153.0	11
406.0	11
215.0	11
249.0	11
184.0	11
370.0	11
115.0	11
273.0	11
368.0	11
372.0	11
555.0	11
61.0	11
235.0	11
336.0	11
307.0	11
360.0	11
430.0	11
268.0	11
143.0	11
367.0	11
134.0	11
536.0	10
485.0	10
211.0	10
401.0	10
264.0	10
163.0	10
205.0	10
342.0	10
525.0	10
436.0	10
285.0	10
318.0	10
98.0	10
212.0	10
138.0	10
481.0	10
144.0	10
282.0	10
74.0	10
151.0	10
76.0	10
354.0	10
300.0	10
63.0	10
513.0	10
345.0	10
201.0	10
347.0	10
405.0	10
486.0	10
262.0	10
222.0	10
240.0	10
182.0	10
42.0	10
463.0	10
237.0	10
380.0	10
46.0	10
3.0	10
649.0	10
417.0	10
320.0	10
635.0	9
381.0	9
293.0	9
251.0	9
332.0	9
79.0	9
343.0	9
52.0	9
531.0	9
646.0	9
218.0	9
422.0	9
84.0	9
214.0	9
317.0	9
234.0	9
349.0	9
59.0	9
114.0	9
479.0	9
287.0	9
432.0	9
547.0	9
247.0	9
157.0	9
107.0	9
290.0	9
155.0	9
597.0	9
328.0	9
253.0	9
504.0	9
193.0	9
554.0	9
195.0	9
449.0	9
408.0	9
355.0	9
118.0	9
50.0	9
502.0	9
418.0	9
136.0	9
726.0	9
465.0	8
303.0	8
322.0	8
87.0	8
324.0	8
260.0	8
313.0	8
407.0	8
246.0	8
289.0	8
154.0	8
562.0	8
591.0	8
732.0	8
610.0	8
213.0	8
142.0	8
171.0	8
340.0	8
208.0	8
508.0	8
111.0	8
221.0	8
448.0	8
269.0	8
265.0	8
241.0	8
663.0	8
501.0	8
461.0	8
217.0	8
457.0	8
414.0	8
455.0	8
648.0	8
530.0	8
600.0	8
71.0	8
168.0	8
190.0	8
565.0	8
673.0	8
92.0	8
572.0	8
227.0	8
35.0	8
244.0	8
592.0	8
10.0	8
375.0	8
341.0	8
379.0	8
49.0	8
811.0	7
548.0	7
446.0	7
109.0	7
358.0	7
108.0	7
261.0	7
280.0	7
409.0	7
400.0	7
128.0	7
333.0	7
284.0	7
604.0	7
413.0	7
203.0	7
687.0	7
279.0	7
396.0	7
739.0	7
121.0	7
382.0	7
664.0	7
680.0	7
747.0	7
277.0	7
505.0	7
616.0	7
356.0	7
164.0	7
434.0	7
624.0	7
306.0	7
515.0	7
640.0	7
85.0	7
388.0	7
100.0	7
312.0	7
112.0	7
1170.0	7
323.0	7
549.0	7
978.0	7
845.0	7
528.0	7
566.0	7
359.0	7
301.0	7
230.0	7
344.0	7
507.0	7
467.0	7
711.0	7
397.0	7
573.0	7
617.0	7
242.0	7
130.0	7
602.0	7
43.0	7
116.0	7
141.0	7
857.0	6
125.0	6
119.0	6
392.0	6
609.0	6
189.0	6
236.0	6
104.0	6
494.0	6
95.0	6
451.0	6
311.0	6
535.0	6
