#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	0	358.12595419847327	1.6030534351145038	5.0	5.0	5.0	5.0	524.0	127.0	164.0	233.0
0	1	233.28998242530756	3.606326889279438	4.0	4.0	4.0	4.0	569.0	185.0	177.0	207.0
0	2	360.0	5.595	2.0	2.0	2.0	2.0	200.0	68.0	68.0	64.0
0	3	379.88943089430893	21.934959349593495	7.0	7.0	4.0	4.0	615.0	373.0	119.0	122.0
0	4	12.159143075745984	25.597551644988524	6.0	6.0	5.0	5.0	1307.0	591.0	412.0	304.0
0	5	104.9980079681275	25.727091633466134	11.0	11.0	11.0	10.0	2510.0	761.0	827.0	922.0
0	6	559.9255813953488	26.56046511627907	5.0	5.0	5.0	3.0	430.0	170.0	182.0	78.0
0	7	23.679951690821255	49.70169082125604	7.0	7.0	7.0	7.0	828.0	323.0	289.0	216.0
0	8	467.7458396369138	51.98789712556732	6.0	5.0	6.0	3.0	661.0	228.0	298.0	135.0
0	9	388.5735900962861	56.73177441540578	4.0	2.0	4.0	4.0	727.0	184.0	271.0	272.0
0	10	568.5816993464052	78.0	2.0	2.0	2.0	2.0	153.0	59.0	55.0	39.0
0	11	43.43633540372671	113.73136645962732	9.0	7.0	8.0	7.0	1932.0	580.0	675.0	677.0
0	12	462.5342136854742	141.8559423769508	6.0	6.0	6.0	5.0	833.0	348.0	247.0	238.0
0	13	213.9261744966443	147.8993288590604	3.0	2.0	3.0	1.0	149.0	49.0	66.0	34.0
0	14	375.4528585757272	155.61785356068205	21.0	19.0	18.0	15.0	3988.0	1330.0	1383.0	1273.0
0	15	617.5723562152134	156.94805194805195	6.0	6.0	3.0	2.0	1078.0	538.0	366.0	174.0
0	16	231.0	176.48936170212767	2.0	2.0	2.0	2.0	47.0	20.0	14.0	13.0
0	17	101.51150054764513	191.8986856516977	8.0	8.0	7.0	7.0	1826.0	595.0	662.0	569.0
0	18	338.1115384615385	216.5076923076923	5.0	3.0	3.0	4.0	520.0	133.0	143.0	244.0
0	19	137.9047619047619	221.49338624338625	12.0	12.0	9.0	12.0	756.0	308.0	146.0	302.0
0	20	341.933117583603	227.33656957928804	5.0	3.0	5.0	5.0	927.0	118.0	410.0	399.0
0	21	578.4291845493563	239.77467811158797	7.0	6.0	5.0	7.0	932.0	223.0	243.0	466.0
0	22	57.44328097731239	243.03141361256544	6.0	6.0	6.0	5.0	573.0	175.0	209.0	189.0
0	23	556.4989966555183	251.8200668896321	7.0	6.0	6.0	7.0	1495.0	285.0	470.0	740.0
0	24	470.2153846153846	260.01153846153846	7.0	7.0	5.0	3.0	260.0	134.0	80.0	46.0
0	25	582.6386554621848	259.88655462184875	5.0	5.0	5.0	5.0	476.0	160.0	158.0	158.0
0	26	69.33477321814254	274.3196544276458	4.0	4.0	4.0	4.0	463.0	191.0	177.0	95.0
0	27	465.0	276.0	1.0	1.0	1.0	1.0	99.0	35.0	34.0	30.0
0	28	105.50088183421516	280.4091710758377	6.0	4.0	6.0	6.0	567.0	113.0	221.0	233.0
0	29	33.73366214549938	294.18557336621456	10.0	10.0	10.0	10.0	3244.0	1121.0	1106.0	1017.0
0	30	23.207394048692517	300.4941388638413	7.0	4.0	4.0	7.0	1109.0	243.0	315.0	551.0
0	31	516.7942754919499	306.06332737030414	12.0	12.0	8.0	7.0	2795.0	1424.0	859.0	511.0
0	32	288.9845714285714	337.7257142857143	8.0	8.0	8.0	5.0	1750.0	604.0	543.0	603.0
0	33	317.55143160127255	364.53128313891835	8.0	8.0	6.0	8.0	943.0	266.0	258.0	419.0
0	34	560.529292929293	376.32929292929293	5.0	5.0	4.0	4.0	495.0	129.0	122.0	244.0
0	35	155.01395812562313	401.5473579262213	7.0	7.0	7.0	6.0	1003.0	376.0	352.0	275.0
0	36	21.916376306620208	410.11149825783974	4.0	4.0	4.0	3.0	287.0	110.0	90.0	86.0
0	37	8.0	439.2708333333333	2.0	2.0	2.0	2.0	48.0	12.0	20.0	16.0
0	38	58.04545454545455	449.52525252525254	3.0	3.0	3.0	2.0	396.0	152.0	158.0	86.0
0	39	314.7549721559268	450.88225934765313	9.0	8.0	9.0	9.0	1257.0	259.0	413.0	585.0
0	40	455.55872063968013	454.76711644177914	8.0	8.0	7.0	6.0	2001.0	726.0	724.0	551.0
1	0	305.6191369606004	11.883677298311445	4.0	3.0	4.0	4.0	533.0	154.0	178.0	201.0
1	1	328.2205638474295	37.20107794361526	13.0	13.0	10.0	11.0	2412.0	1048.0	674.0	688.0
1	2	212.56155679110404	88.30818109610802	4.0	4.0	4.0	4.0	1259.0	293.0	482.0	484.0
1	3	424.69214131218456	119.26892573900504	9.0	5.0	6.0	9.0	1387.0	275.0	365.0	747.0
1	4	7.879636638909917	122.2997728993187	11.0	11.0	6.0	3.0	1321.0	787.0	420.0	114.0
1	5	446.0921052631579	127.54417293233082	6.0	5.0	6.0	6.0	1064.0	268.0	342.0	454.0
1	6	243.88528206744405	155.21178695241096	12.0	12.0	10.0	8.0	3173.0	1348.0	1111.0	714.0
1	7	317.36324786324786	153.94871794871796	4.0	4.0	4.0	4.0	234.0	83.0	60.0	91.0
1	8	478.30521091811414	180.59057071960297	9.0	7.0	7.0	8.0	806.0	182.0	244.0	380.0
1	9	578.1265060240963	186.0421686746988	4.0	4.0	4.0	4.0	166.0	65.0	66.0	35.0
1	10	67.35353535353535	204.5252525252525	4.0	3.0	4.0	4.0	99.0	21.0	50.0	28.0
1	11	587.4217185028994	225.56931997891408	10.0	5.0	7.0	8.0	1897.0	574.0	672.0	650.0
1	12	406.0	227.0	1.0	1.0	1.0	1.0	22.0	5.0	4.0	13.0
1	13	521.3800298062594	245.55737704918033	4.0	4.0	4.0	4.0	671.0	252.0	257.0	162.0
1	14	327.65561372891216	260.9604421175102	9.0	9.0	8.0	8.0	1719.0	556.0	647.0	516.0
1	15	83.72585669781931	288.42056074766356	5.0	5.0	4.0	5.0	642.0	185.0	131.0	326.0
1	16	512.4914728682171	290.3658914728682	5.0	4.0	5.0	5.0	645.0	228.0	247.0	169.0
1	17	115.2987012987013	298.7196333078686	9.0	8.0	9.0	9.0	2618.0	798.0	833.0	987.0
1	18	605.8125	299.80083333333334	7.0	6.0	7.0	7.0	1200.0	323.0	449.0	428.0
1	19	515.796875	303.0	2.0	1.0	2.0	2.0	128.0	26.0	32.0	69.0
1	20	196.59333333333333	313.3121212121212	8.0	7.0	8.0	6.0	1650.0	624.0	698.0	328.0
1	21	414.0024813895782	325.9098428453267	7.0	5.0	7.0	7.0	1209.0	298.0	454.0	457.0
1	22	449.4337995337995	334.4156177156177	13.0	10.0	10.0	11.0	4290.0	1261.0	1159.0	1869.0
1	23	122.36033857315599	338.4365175332527	7.0	7.0	6.0	3.0	827.0	440.0	290.0	96.0
1	24	23.355305466237944	341.76848874598073	5.0	5.0	5.0	5.0	622.0	172.0	206.0	244.0
1	25	442.88008234688624	345.2207925887802	7.0	5.0	6.0	7.0	1943.0	714.0	650.0	579.0
1	26	387.84624277456646	365.5664739884393	9.0	9.0	8.0	8.0	1730.0	836.0	498.0	396.0
1	27	242.4882882882883	366.4630630630631	4.0	4.0	4.0	4.0	555.0	203.0	192.0	160.0
1	28	216.0	367.0	1.0	1.0	1.0	1.0	110.0	36.0	36.0	38.0
1	29	356.0	374.0	1.0	1.0	1.0	1.0	28.0	8.0	8.0	12.0
1	30	199.1689330543933	382.7154811715481	10.0	8.0	7.0	9.0	1912.0	691.0	466.0	755.0
1	31	55.39164785553047	389.7291196388262	5.0	5.0	5.0	5.0	886.0	304.0	287.0	295.0
1	32	521.8719367588933	412.76126482213436	7.0	5.0	7.0	7.0	1265.0	354.0	489.0	422.0
1	33	14.549222797927461	415.7538860103627	4.0	3.0	4.0	4.0	386.0	115.0	144.0	126.0
1	34	102.03374578177728	422.82452193475814	8.0	8.0	6.0	7.0	889.0	224.0	282.0	382.0
1	35	261.2578974624547	468.1967892283791	8.0	6.0	7.0	5.0	1931.0	676.0	731.0	524.0
1	36	111.42081447963801	475.41628959276017	7.0	4.0	4.0	7.0	1768.0	467.0	570.0	731.0
2	0	305.6191369606004	11.883677298311445	4.0	3.0	4.0	4.0	533.0	154.0	178.0	201.0
2	1	328.2205638474295	37.20107794361526	13.0	13.0	10.0	11.0	2412.0	1048.0	674.0	688.0
2	2	212.56155679110404	88.30818109610802	4.0	4.0	4.0	4.0	1259.0	293.0	482.0	484.0
2	3	424.69214131218456	119.26892573900504	9.0	5.0	6.0	9.0	1387.0	275.0	365.0	747.0
2	4	7.879636638909917	122.2997728993187	11.0	11.0	6.0	3.0	1321.0	787.0	420.0	114.0
2	5	446.0921052631579	127.54417293233082	6.0	5.0	6.0	6.0	1064.0	268.0	342.0	454.0
2	6	243.88528206744405	155.21178695241096	12.0	12.0	10.0	8.0	3173.0	1348.0	1111.0	714.0
2	7	317.36324786324786	153.94871794871796	4.0	4.0	4.0	4.0	234.0	83.0	60.0	91.0
2	8	478.30521091811414	180.59057071960297	9.0	7.0	7.0	8.0	806.0	182.0	244.0	380.0
2	9	578.1265060240963	186.0421686746988	4.0	4.0	4.0	4.0	166.0	65.0	66.0	35.0
2	10	67.35353535353535	204.5252525252525	4.0	3.0	4.0	4.0	99.0	21.0	50.0	28.0
2	11	587.4217185028994	225.56931997891408	10.0	5.0	7.0	8.0	1897.0	574.0	672.0	650.0
2	12	406.0	227.0	1.0	1.0	1.0	1.0	22.0	5.0	4.0	13.0
2	13	521.3800298062594	245.55737704918033	4.0	4.0	4.0	4.0	671.0	252.0	257.0	162.0
2	14	327.65561372891216	260.9604421175102	9.0	9.0	8.0	8.0	1719.0	556.0	647.0	516.0
2	15	83.72585669781931	288.42056074766356	5.0	5.0	4.0	5.0	642.0	185.0	131.0	326.0
2	16	512.4914728682171	290.3658914728682	5.0	4.0	5.0	5.0	645.0	228.0	247.0	169.0
2	17	115.2987012987013	298.7196333078686	9.0	8.0	9.0	9.0	2618.0	798.0	833.0	987.0
2	18	605.8125	299.80083333333334	7.0	6.0	7.0	7.0	1200.0	323.0	449.0	428.0
2	19	515.796875	303.0	2.0	1.0	2.0	2.0	128.0	26.0	32.0	69.0
2	20	196.59333333333333	313.3121212121212	8.0	7.0	8.0	6.0	1650.0	624.0	698.0	328.0
2	21	414.0024813895782	325.9098428453267	7.0	5.0	7.0	7.0	1209.0	298.0	454.0	457.0
2	22	449.4337995337995	334.4156177156177	13.0	10.0	10.0	11.0	4290.0	1261.0	1159.0	1869.0
2	23	122.36033857315599	338.4365175332527	7.0	7.0	6.0	3.0	827.0	440.0	290.0	96.0
2	24	23.355305466237944	341.76848874598073	5.0	5.0	5.0	5.0	622.0	172.0	206.0	244.0
2	25	442.88008234688624	345.2207925887802	7.0	5.0	6.0	7.0	1943.0	714.0	650.0	579.0
2	26	387.84624277456646	365.5664739884393	9.0	9.0	8.0	8.0	1730.0	836.0	498.0	396.0
2	27	242.4882882882883	366.4630630630631	4.0	4.0	4.0	4.0	555.0	203.0	192.0	160.0
2	28	216.0	367.0	1.0	1.0	1.0	1.0	110.0	36.0	36.0	38.0
2	29	356.0	374.0	1.0	1.0	1.0	1.0	28.0	8.0	8.0	12.0
2	30	199.1689330543933	382.7154811715481	10.0	8.0	7.0	9.0	1912.0	691.0	466.0	755.0
2	31	55.39164785553047	389.7291196388262	5.0	5.0	5.0	5.0	886.0	304.0	287.0	295.0
2	32	521.8719367588933	412.76126482213436	7.0	5.0	7.0	7.0	1265.0	354.0	489.0	422.0
2	33	14.549222797927461	415.7538860103627	4.0	3.0	4.0	4.0	386.0	115.0	144.0	126.0
2	34	102.03374578177728	422.82452193475814	8.0	8.0	6.0	7.0	889.0	224.0	282.0	382.0
2	35	261.2578974624547	468.1967892283791	8.0	6.0	7.0	5.0	1931.0	676.0	731.0	524.0
