Value	Count
33.0	45
5.0	43
35.0	35
15.0	34
6.0	34
100.0	33
4.0	32
7.0	31
34.0	31
10.0	29
68.0	29
8.0	29
27.0	28
32.0	28
40.0	28
48.0	28
121.0	28
22.0	28
18.0	28
12.0	27
9.0	27
82.0	27
39.0	27
16.0	27
17.0	26
30.0	26
119.0	25
138.0	25
21.0	25
20.0	24
42.0	24
28.0	24
13.0	24
226.0	23
488.0	23
91.0	23
31.0	23
350.0	23
23.0	22
45.0	22
54.0	22
61.0	21
41.0	21
3.0	21
38.0	21
221.0	21
261.0	21
64.0	21
29.0	20
380.0	20
71.0	20
81.0	20
266.0	20
76.0	20
295.0	19
37.0	19
24.0	19
426.0	19
14.0	19
84.0	19
165.0	19
107.0	18
190.0	18
98.0	18
36.0	18
225.0	18
58.0	18
265.0	18
49.0	18
169.0	18
78.0	17
99.0	17
86.0	17
65.0	17
95.0	17
19.0	17
248.0	17
298.0	17
202.0	17
263.0	16
79.0	16
276.0	16
289.0	16
26.0	16
181.0	16
232.0	16
11.0	16
207.0	16
175.0	16
25.0	16
50.0	16
311.0	16
324.0	15
345.0	15
177.0	15
332.0	15
541.0	15
235.0	15
220.0	15
268.0	15
152.0	15
69.0	15
296.0	15
312.0	15
153.0	15
567.0	15
70.0	14
96.0	14
63.0	14
537.0	14
2.0	14
126.0	14
483.0	14
130.0	14
143.0	14
526.0	14
441.0	14
522.0	14
43.0	14
101.0	14
57.0	14
161.0	14
238.0	14
323.0	14
279.0	14
52.0	14
246.0	14
55.0	14
243.0	14
244.0	13
252.0	13
97.0	13
135.0	13
222.0	13
460.0	13
424.0	13
110.0	13
59.0	13
285.0	13
137.0	13
89.0	13
257.0	13
267.0	13
477.0	13
103.0	13
60.0	13
382.0	13
611.0	13
66.0	13
146.0	13
201.0	13
465.0	13
193.0	12
131.0	12
224.0	12
75.0	12
88.0	12
125.0	12
566.0	12
209.0	12
319.0	12
51.0	12
90.0	12
141.0	12
176.0	12
241.0	12
123.0	12
187.0	12
227.0	12
272.0	12
157.0	12
94.0	12
255.0	12
192.0	12
53.0	12
114.0	12
196.0	12
236.0	12
396.0	12
77.0	12
204.0	12
212.0	12
140.0	12
372.0	12
46.0	11
134.0	11
436.0	11
787.0	11
479.0	11
673.0	11
208.0	11
120.0	11
117.0	11
184.0	11
422.0	11
206.0	11
439.0	11
240.0	11
113.0	11
395.0	11
393.0	11
658.0	11
629.0	11
284.0	11
183.0	11
299.0	11
198.0	11
223.0	11
544.0	11
300.0	11
274.0	11
230.0	11
239.0	11
254.0	11
508.0	10
501.0	10
651.0	10
432.0	10
348.0	10
476.0	10
150.0	10
675.0	10
538.0	10
362.0	10
554.0	10
251.0	10
399.0	10
151.0	10
663.0	10
189.0	10
601.0	10
604.0	10
327.0	10
375.0	10
369.0	10
127.0	10
293.0	10
172.0	10
446.0	10
320.0	10
256.0	10
191.0	10
370.0	10
166.0	10
513.0	10
199.0	10
367.0	10
310.0	10
353.0	10
315.0	10
430.0	10
280.0	10
504.0	10
346.0	10
186.0	10
451.0	10
517.0	10
761.0	9
56.0	9
73.0	9
356.0	9
124.0	9
908.0	9
128.0	9
287.0	9
325.0	9
389.0	9
459.0	9
273.0	9
