Value	Count
12.0	37
33.0	35
18.0	34
32.0	31
27.0	29
36.0	27
21.0	25
15.0	25
13.0	22
64.0	21
78.0	20
31.0	20
54.0	18
185.0	17
38.0	17
87.0	17
16.0	16
39.0	16
70.0	16
24.0	16
19.0	15
51.0	14
41.0	14
292.0	14
96.0	14
35.0	14
99.0	14
93.0	13
893.0	13
46.0	13
113.0	13
22.0	13
198.0	13
11.0	13
219.0	13
512.0	12
740.0	12
629.0	12
81.0	12
67.0	12
40.0	12
76.0	12
1714.0	12
412.0	12
30.0	12
533.0	12
52.0	12
69.0	12
23.0	11
14.0	11
147.0	11
1497.0	11
20.0	11
214.0	11
179.0	11
568.0	11
1374.0	11
800.0	11
120.0	11
1770.0	11
1543.0	11
904.0	11
28.0	11
72.0	11
290.0	11
135.0	10
1229.0	10
1206.0	10
48.0	10
421.0	10
766.0	10
119.0	10
347.0	10
68.0	10
441.0	10
233.0	10
323.0	10
1257.0	10
395.0	10
1213.0	10
49.0	10
727.0	10
130.0	10
1884.0	10
284.0	10
53.0	10
178.0	10
108.0	10
110.0	10
1880.0	10
1084.0	9
201.0	9
657.0	9
1350.0	9
1387.0	9
1321.0	9
1004.0	9
426.0	9
26.0	9
237.0	9
60.0	9
313.0	9
694.0	9
193.0	9
1055.0	9
256.0	9
225.0	9
57.0	9
138.0	9
1145.0	9
105.0	9
592.0	9
1171.0	9
378.0	9
1372.0	9
928.0	9
744.0	9
825.0	9
889.0	8
332.0	8
1128.0	8
285.0	8
1358.0	8
1792.0	8
79.0	8
189.0	8
1302.0	8
915.0	8
887.0	8
312.0	8
109.0	8
1932.0	8
95.0	8
482.0	8
29.0	8
385.0	8
17.0	8
848.0	8
58.0	8
373.0	8
515.0	8
896.0	8
1143.0	8
223.0	8
297.0	8
878.0	8
677.0	8
1351.0	8
226.0	8
379.0	8
558.0	8
1651.0	8
1569.0	8
63.0	8
305.0	7
167.0	7
1838.0	7
399.0	7
910.0	7
2401.0	7
1278.0	7
211.0	7
337.0	7
686.0	7
1480.0	7
1073.0	7
572.0	7
122.0	7
1370.0	7
711.0	7
65.0	7
191.0	7
1656.0	7
1074.0	7
855.0	7
561.0	7
184.0	7
2337.0	7
1108.0	7
1946.0	7
900.0	7
702.0	7
218.0	7
133.0	7
1236.0	7
301.0	7
2429.0	7
44.0	7
486.0	7
796.0	7
124.0	7
460.0	7
862.0	7
1044.0	7
304.0	7
611.0	7
509.0	7
42.0	7
600.0	7
1509.0	7
392.0	7
505.0	7
365.0	7
1773.0	7
423.0	7
550.0	7
1209.0	7
1168.0	7
166.0	7
1007.0	7
1484.0	7
111.0	7
1971.0	7
1283.0	7
884.0	7
272.0	7
195.0	7
1710.0	7
398.0	7
1502.0	7
789.0	7
288.0	7
196.0	7
635.0	7
757.0	7
773.0	7
1023.0	7
139.0	7
1153.0	7
472.0	7
1196.0	7
1785.0	7
339.0	7
74.0	7
527.0	7
927.0	7
216.0	7
689.0	7
1465.0	7
144.0	7
112.0	7
1042.0	7
615.0	7
319.0	7
1701.0	7
253.0	7
921.0	7
153.0	7
980.0	7
117.0	7
128.0	6
1079.0	6
249.0	6
1215.0	6
66.0	6
623.0	6
141.0	6
839.0	6
3304.0	6
1760.0	6
446.0	6
1476.0	6
2114.0	6
1223.0	6
1427.0	6
782.0	6
1554.0	6
1513.0	6
1393.0	6
136.0	6
858.0	6
107.0	6
341.0	6
1904.0	6
1923.0	6
922.0	6
1081.0	6
555.0	6
756.0	6
1180.0	6
206.0	6
581.0	6
497.0	6
517.0	6
1034.0	6
1745.0	6
837.0	6
155.0	6
924.0	6
1291.0	6
410.0	6
599.0	6
1559.0	6
351.0	6
384.0	6
34.0	6
1709.0	6
47.0	6
454.0	6
170.0	6
680.0	6
186.0	6
176.0	6
971.0	6
553.0	6
785.0	6
1428.0	6
1109.0	6
149.0	6
579.0	6
2389.0	6
134.0	6
2010.0	6
275.0	6
45.0	6
158.0	6
1178.0	6
215.0	6
708.0	6
818.0	6
1508.0	6
1159.0	6
570.0	6
131.0	6
1010.0	6
306.0	6
1049.0	6
210.0	6
1987.0	6
926.0	6
933.0	6
1163.0	6
571.0	6
259.0	6
1120.0	6
504.0	6
734.0	6
1613.0	6
142.0	6
1934.0	6
587.0	6
908.0	6
650.0	6
743.0	6
521.0	6
1330.0	6
644.0	6
525.0	6
565.0	6
2042.0	6
643.0	6
761.0	6
1015.0	6
330.0	6
1245.0	6
116.0	6
857.0	6
1426.0	6
1095.0	6
777.0	6
569.0	6
455.0	6
1057.0	6
696.0	6
92.0	6
779.0	6
4476.0	6
866.0	6
582.0	6
264.0	6
982.0	6
656.0	6
1141.0	6
140.0	6
1137.0	5
231.0	5
362.0	5
1743.0	5
315.0	5
988.0	5
613.0	5
1711.0	5
2172.0	5
1065.0	5
406.0	5
1732.0	5
430.0	5
1539.0	5
1514.0	5
380.0	5
1246.0	5
1289.0	5
467.0	5
1469.0	5
952.0	5
2829.0	5
469.0	5
1309.0	5
1834.0	5
1047.0	5
1887.0	5
1203.0	5
100.0	5
1300.0	5
129.0	5
224.0	5
2163.0	5
1439.0	5
1473.0	5
772.0	5
222.0	5
252.0	5
235.0	5
43.0	5
3003.0	5
1555.0	5
492.0	5
1516.0	5
970.0	5
1753.0	5
1633.0	5
2613.0	5
1366.0	5
529.0	5
343.0	5
1523.0	5
542.0	5
3864.0	5
838.0	5
1288.0	5
241.0	5
1383.0	5
554.0	5
402.0	5
1557.0	5
273.0	5
2260.0	5
1989.0	5
543.0	5
1277.0	5
103.0	5
190.0	5
1675.0	5
1026.0	5
1627.0	5
1603.0	5
1146.0	5
667.0	5
355.0	5
2036.0	5
1629.0	5
1818.0	5
508.0	5
590.0	5
1380.0	5
784.0	5
308.0	5
1025.0	5
905.0	5
307.0	5
220.0	5
943.0	5
868.0	5
1702.0	5
276.0	5
309.0	5
1790.0	5
1398.0	5
776.0	5
490.0	5
1644.0	5
938.0	5
742.0	5
56.0	5
1715.0	5
101.0	5
132.0	5
1279.0	5
819.0	5
2939.0	5
340.0	5
175.0	5
531.0	5
1263.0	5
795.0	5
1121.0	5
1688.0	5
6.0	5
310.0	5
2326.0	5
1165.0	5
932.0	5
835.0	5
1328.0	5
2708.0	5
1303.0	5
1067.0	5
2083.0	5
205.0	5
758.0	5
969.0	5
831.0	5
872.0	5
411.0	5
549.0	5
892.0	5
1066.0	5
2947.0	5
2052.0	5
344.0	5
2187.0	5
1459.0	5
321.0	5
961.0	5
1517.0	5
2045.0	5
617.0	5
1152.0	5
993.0	5
791.0	5
145.0	5
885.0	5
1547.0	5
1273.0	5
705.0	5
760.0	5
171.0	5
1570.0	5
745.0	5
2631.0	5
1271.0	5
1089.0	5
440.0	5
1101.0	5
360.0	5
1500.0	5
2399.0	5
1003.0	5
2124.0	5
3315.0	5
404.0	5
1013.0	5
956.0	5
1237.0	5
1951.0	5
151.0	5
1518.0	5
1563.0	5
2249.0	5
741.0	5
1490.0	5
213.0	5
91.0	4
389.0	4
1638.0	4
1367.0	4
346.0	4
286.0	4
1155.0	4
1828.0	4
187.0	4
690.0	4
2054.0	4
1894.0	4
1093.0	4
1899.0	4
2475.0	4
1498.0	4
578.0	4
1658.0	4
987.0	4
1430.0	4
598.0	4
261.0	4
1927.0	4
345.0	4
947.0	4
985.0	4
83.0	4
621.0	4
3004.0	4
714.0	4
2352.0	4
752.0	4
747.0	4
182.0	4
1113.0	4
1495.0	4
841.0	4
2356.0	4
1045.0	4
2205.0	4
152.0	4
843.0	4
931.0	4
545.0	4
682.0	4
822.0	4
1807.0	4
3270.0	4
1561.0	4
3055.0	4
821.0	4
1533.0	4
1381.0	4
2089.0	4
3060.0	4
718.0	4
442.0	4
2777.0	4
1078.0	4
1272.0	4
287.0	4
645.0	4
1458.0	4
279.0	4
1112.0	4
1346.0	4
2372.0	4
655.0	4
62.0	4
408.0	4
1462.0	4
478.0	4
1640.0	4
506.0	4
1614.0	4
1654.0	4
1918.0	4
2440.0	4
405.0	4
118.0	4
828.0	4
257.0	4
2087.0	4
1985.0	4
762.0	4
2618.0	4
3269.0	4
641.0	4
675.0	4
1589.0	4
439.0	4
820.0	4
247.0	4
1778.0	4
765.0	4
71.0	4
236.0	4
909.0	4
2193.0	4
348.0	4
477.0	4
586.0	4
502.0	4
106.0	4
194.0	4
2061.0	4
519.0	4
1098.0	4
2696.0	4
1832.0	4
401.0	4
115.0	4
738.0	4
1606.0	4
726.0	4
1536.0	4
1433.0	4
1384.0	4
806.0	4
1532.0	4
483.0	4
260.0	4
580.0	4
576.0	4
913.0	4
1746.0	4
1285.0	4
1949.0	4
3305.0	4
1052.0	4
1455.0	4
1920.0	4
8.0	4
622.0	4
2002.0	4
1522.0	4
2690.0	4
299.0	4
157.0	4
890.0	4
816.0	4
870.0	4
2468.0	4
3077.0	4
1868.0	4
238.0	4
1059.0	4
1012.0	4
361.0	4
73.0	4
902.0	4
873.0	4
1674.0	4
1400.0	4
90.0	4
1649.0	4
2231.0	4
1548.0	4
1406.0	4
1812.0	4
1975.0	4
428.0	4
1698.0	4
684.0	4
895.0	4
2642.0	4
324.0	4
871.0	4
1936.0	4
1546.0	4
526.0	4
1388.0	4
1110.0	4
188.0	4
94.0	4
180.0	4
880.0	4
964.0	4
640.0	4
829.0	4
1243.0	4
474.0	4
61.0	4
2559.0	4
812.0	4
577.0	4
3347.0	4
3333.0	4
1762.0	4
1571.0	4
338.0	4
1999.0	4
1221.0	4
1916.0	4
612.0	4
2413.0	4
25.0	4
146.0	4
1043.0	4
