Value	Count
12.0	56
6.0	54
4.0	53
11.0	45
13.0	44
5.0	34
19.0	33
16.0	33
18.0	32
44.0	31
29.0	30
34.0	30
32.0	30
9.0	30
8.0	29
36.0	29
31.0	28
23.0	28
291.0	27
7.0	27
30.0	26
49.0	26
26.0	25
22.0	24
21.0	24
63.0	24
133.0	24
65.0	23
3.0	23
529.0	23
172.0	23
2.0	23
14.0	22
41.0	22
138.0	22
342.0	22
25.0	21
251.0	21
246.0	21
86.0	21
10.0	20
28.0	20
132.0	20
95.0	20
301.0	20
106.0	20
198.0	20
96.0	20
215.0	20
33.0	20
216.0	19
293.0	19
48.0	19
152.0	19
431.0	19
45.0	19
57.0	19
78.0	18
358.0	18
154.0	18
56.0	18
70.0	18
113.0	18
17.0	18
392.0	18
39.0	18
304.0	18
323.0	18
84.0	18
238.0	17
189.0	17
165.0	17
337.0	17
180.0	17
178.0	17
145.0	17
486.0	17
38.0	17
208.0	17
348.0	16
51.0	16
35.0	16
160.0	16
373.0	16
59.0	16
15.0	16
118.0	16
24.0	16
312.0	16
210.0	16
77.0	16
455.0	16
621.0	16
91.0	16
131.0	16
393.0	16
187.0	16
204.0	15
62.0	15
202.0	15
73.0	15
269.0	15
101.0	15
265.0	15
186.0	15
203.0	15
142.0	15
416.0	15
102.0	15
464.0	15
214.0	15
170.0	15
201.0	14
217.0	14
531.0	14
429.0	14
103.0	14
27.0	14
219.0	14
467.0	14
71.0	14
47.0	14
76.0	14
249.0	14
295.0	14
183.0	14
162.0	14
90.0	14
182.0	13
185.0	13
120.0	13
303.0	13
254.0	13
440.0	13
327.0	13
409.0	13
279.0	13
127.0	13
37.0	13
64.0	13
386.0	13
52.0	13
43.0	13
721.0	13
341.0	13
259.0	13
92.0	13
83.0	13
311.0	13
40.0	13
109.0	13
396.0	13
250.0	13
53.0	13
93.0	13
340.0	13
85.0	13
270.0	13
98.0	13
432.0	13
121.0	13
268.0	12
451.0	12
80.0	12
457.0	12
213.0	12
299.0	12
346.0	12
285.0	12
456.0	12
155.0	12
141.0	12
151.0	12
543.0	12
281.0	12
324.0	12
173.0	12
380.0	12
89.0	12
491.0	12
526.0	12
55.0	12
494.0	12
452.0	12
370.0	12
234.0	11
20.0	11
513.0	11
207.0	11
276.0	11
192.0	11
143.0	11
499.0	11
671.0	11
412.0	11
209.0	11
242.0	11
97.0	11
75.0	11
107.0	11
237.0	11
331.0	11
42.0	11
212.0	11
157.0	11
179.0	11
278.0	11
515.0	11
191.0	11
339.0	11
195.0	11
66.0	11
233.0	11
521.0	11
174.0	11
274.0	11
116.0	11
642.0	11
275.0	11
330.0	10
46.0	10
124.0	10
123.0	10
298.0	10
100.0	10
283.0	10
367.0	10
177.0	10
190.0	10
239.0	10
404.0	10
398.0	10
379.0	10
115.0	10
436.0	10
497.0	10
406.0	10
572.0	10
438.0	10
426.0	10
266.0	10
317.0	10
453.0	10
