#frame	event	cm_x	cm_y	size	size_r	size_g	size_b	sum	sum_r	sum_g	sum_b
0	0	332.29537366548044	0.44483985765124556	4.0	4.0	4.0	4.0	281.0	78.0	63.0	140.0
0	1	399.38988095238096	2.0	2.0	2.0	2.0	2.0	336.0	111.0	110.0	115.0
0	2	265.2692619626926	23.99594484995945	8.0	8.0	7.0	7.0	1233.0	403.0	420.0	410.0
0	3	493.0	51.0	1.0	1.0	1.0	1.0	22.0	4.0	8.0	10.0
0	4	95.7723292469352	59.26094570928196	6.0	6.0	6.0	5.0	571.0	199.0	209.0	163.0
0	5	284.27220630372494	66.3381088825215	4.0	4.0	4.0	4.0	349.0	132.0	107.0	110.0
0	6	2.4616541353383457	70.16240601503759	4.0	4.0	4.0	4.0	665.0	256.0	223.0	186.0
0	7	228.07638888888889	72.10416666666667	5.0	5.0	5.0	5.0	432.0	136.0	146.0	150.0
0	8	19.422615945805106	75.44398124022929	6.0	5.0	6.0	5.0	1919.0	518.0	735.0	666.0
0	9	223.8562874251497	105.76766467065869	13.0	11.0	9.0	12.0	1670.0	740.0	401.0	529.0
0	10	404.2610294117647	109.01838235294117	6.0	5.0	6.0	6.0	544.0	170.0	179.0	195.0
0	11	171.33460076045628	111.29277566539923	4.0	4.0	4.0	4.0	263.0	66.0	79.0	118.0
0	12	513.9965277777778	126.27708333333334	7.0	6.0	5.0	7.0	1440.0	406.0	402.0	632.0
0	13	207.93330849478392	144.4854694485842	10.0	8.0	9.0	10.0	2684.0	618.0	675.0	1391.0
0	14	188.6134585289515	148.45148669796558	6.0	4.0	4.0	6.0	1278.0	259.0	386.0	633.0
0	15	199.8623595505618	153.59831460674158	6.0	6.0	6.0	3.0	356.0	148.0	140.0	68.0
0	16	255.4848484848485	165.92540792540794	4.0	2.0	4.0	4.0	429.0	123.0	147.0	159.0
0	17	457.8173431734317	167.61439114391143	5.0	4.0	5.0	5.0	542.0	126.0	174.0	242.0
0	18	477.36619718309856	176.3440643863179	4.0	4.0	4.0	4.0	497.0	202.0	132.0	163.0
0	19	364.7171381031614	184.79118136439268	6.0	5.0	6.0	5.0	1202.0	357.0	398.0	447.0
0	20	618.586046511628	192.0046511627907	4.0	4.0	4.0	4.0	430.0	137.0	145.0	148.0
0	21	636.1045751633987	193.45098039215685	7.0	6.0	7.0	5.0	612.0	291.0	201.0	120.0
0	22	80.56641604010025	197.8095238095238	5.0	5.0	5.0	4.0	399.0	146.0	140.0	113.0
0	23	521.5531914893617	198.30851063829786	4.0	4.0	3.0	4.0	188.0	69.0	39.0	80.0
0	24	218.2680965147453	203.30026809651474	4.0	4.0	4.0	4.0	373.0	102.0	123.0	148.0
0	25	187.46666666666667	204.90740740740742	4.0	3.0	3.0	3.0	270.0	79.0	75.0	116.0
0	26	251.11308203991132	205.0931263858093	5.0	4.0	5.0	4.0	451.0	159.0	179.0	113.0
0	27	343.3481276005548	224.5395284327323	5.0	4.0	4.0	5.0	721.0	200.0	214.0	307.0
0	28	551.1620689655173	225.03362068965518	7.0	3.0	3.0	7.0	1160.0	340.0	295.0	525.0
0	29	28.428571428571427	246.69387755102042	3.0	3.0	2.0	3.0	147.0	36.0	26.0	85.0
0	30	81.59845716605766	253.87291920422248	8.0	8.0	7.0	8.0	2463.0	675.0	848.0	940.0
