Value	Count
6.0	65
12.0	61
15.0	58
11.0	56
7.0	56
4.0	55
8.0	54
5.0	51
18.0	49
26.0	45
9.0	45
21.0	44
20.0	43
19.0	43
36.0	41
24.0	40
17.0	40
16.0	39
93.0	39
66.0	37
46.0	37
55.0	37
71.0	36
47.0	36
23.0	36
65.0	35
44.0	34
27.0	34
39.0	34
42.0	34
13.0	34
22.0	34
91.0	33
79.0	33
60.0	33
50.0	33
64.0	32
2.0	32
262.0	31
33.0	31
40.0	31
77.0	31
80.0	30
37.0	30
28.0	30
10.0	30
14.0	29
73.0	29
3.0	29
128.0	29
95.0	28
54.0	28
162.0	28
35.0	28
51.0	28
29.0	28
88.0	28
100.0	27
58.0	27
148.0	27
120.0	27
75.0	27
207.0	27
25.0	26
248.0	26
76.0	26
152.0	26
135.0	26
176.0	26
43.0	26
81.0	26
344.0	26
34.0	25
168.0	25
31.0	25
48.0	25
32.0	25
53.0	24
167.0	24
101.0	24
153.0	24
70.0	24
116.0	24
147.0	24
200.0	24
86.0	24
149.0	24
45.0	24
56.0	24
132.0	24
124.0	24
72.0	23
198.0	23
62.0	23
186.0	23
104.0	23
126.0	23
535.0	22
82.0	22
127.0	22
78.0	22
69.0	22
188.0	22
203.0	22
115.0	22
217.0	22
155.0	21
85.0	21
108.0	21
197.0	21
266.0	21
144.0	21
107.0	21
169.0	21
258.0	20
38.0	20
59.0	20
117.0	20
61.0	20
68.0	20
216.0	20
252.0	20
247.0	20
249.0	20
98.0	20
94.0	20
192.0	19
140.0	19
119.0	19
276.0	19
83.0	19
336.0	19
142.0	19
292.0	19
106.0	19
263.0	19
160.0	19
96.0	19
151.0	19
118.0	19
240.0	19
109.0	19
121.0	19
255.0	19
49.0	19
173.0	19
489.0	18
182.0	18
178.0	18
74.0	18
105.0	18
210.0	18
89.0	18
190.0	18
246.0	18
256.0	18
103.0	18
254.0	18
57.0	18
97.0	18
122.0	18
92.0	18
150.0	18
52.0	17
204.0	17
112.0	17
298.0	17
321.0	17
99.0	17
179.0	17
399.0	17
110.0	17
277.0	17
163.0	17
154.0	17
226.0	17
345.0	17
234.0	17
102.0	17
259.0	17
409.0	17
398.0	17
267.0	17
170.0	17
497.0	16
348.0	16
191.0	16
175.0	16
114.0	16
139.0	16
208.0	16
183.0	16
274.0	16
384.0	16
404.0	16
67.0	16
185.0	16
303.0	16
290.0	16
177.0	16
238.0	16
214.0	16
136.0	16
494.0	16
299.0	15
199.0	15
511.0	15
30.0	15
146.0	15
194.0	15
245.0	15
164.0	15
567.0	15
270.0	15
235.0	15
467.0	15
279.0	15
301.0	15
201.0	15
90.0	15
305.0	15
87.0	15
123.0	15
280.0	14
260.0	14
158.0	14
137.0	14
406.0	14
390.0	14
242.0	14
316.0	14
113.0	14
468.0	14
627.0	14
577.0	14
202.0	14
228.0	14
394.0	14
302.0	14
223.0	14
250.0	14
374.0	14
573.0	14
510.0	14
414.0	14
355.0	14
714.0	14
643.0	14
606.0	13
327.0	13
261.0	13
427.0	13
314.0	13
349.0	13
525.0	13
311.0	13
413.0	13
326.0	13
595.0	13
371.0	13
397.0	13
323.0	13
538.0	13
284.0	13
429.0	13
435.0	13
141.0	13
111.0	13
480.0	13
475.0	13
460.0	13
508.0	13
361.0	13
295.0	13
84.0	13
633.0	13
454.0	13
218.0	13
63.0	13
224.0	13
272.0	12
419.0	12
329.0	12
283.0	12
642.0	12
222.0	12
285.0	12
644.0	12
685.0	12
422.0	12
325.0	12
393.0	12
166.0	12
213.0	12
455.0	12
608.0	12
431.0	12
318.0	12
294.0	12
584.0	12
189.0	12
288.0	12
161.0	12
637.0	12
357.0	12
308.0	12
145.0	12
564.0	12
209.0	12
366.0	12
383.0	12
546.0	12
470.0	12
340.0	11
430.0	11
704.0	11
463.0	11
699.0	11
310.0	11
41.0	11
628.0	11
328.0	11
296.0	11
257.0	11
474.0	11
403.0	11
227.0	11
324.0	11
556.0	11
513.0	11
411.0	11
806.0	11
131.0	11
417.0	11
358.0	11
560.0	11
726.0	11
269.0	11
542.0	11
241.0	11
352.0	11
453.0	11
757.0	11
370.0	11
244.0	11
382.0	11
388.0	11
221.0	11
362.0	11
527.0	11
236.0	11
679.0	11
774.0	11
180.0	11
330.0	11
462.0	11
425.0	11
748.0	10
237.0	10
492.0	10
219.0	10
341.0	10
172.0	10
557.0	10
504.0	10
842.0	10
268.0	10
421.0	10
563.0	10
351.0	10
307.0	10
601.0	10
1008.0	10
