Value	Count
13.0	37
12.0	37
36.0	29
97.0	27
33.0	27
35.0	25
47.0	25
30.0	24
18.0	24
258.0	22
24.0	21
141.0	21
726.0	21
27.0	21
99.0	20
28.0	20
34.0	20
15.0	20
41.0	20
63.0	20
94.0	20
39.0	20
87.0	19
37.0	19
68.0	19
40.0	19
25.0	19
51.0	19
21.0	18
551.0	18
511.0	18
31.0	18
259.0	17
453.0	17
626.0	17
9.0	17
64.0	17
11.0	17
549.0	17
43.0	17
110.0	17
19.0	16
45.0	16
108.0	16
96.0	16
66.0	16
79.0	16
52.0	16
44.0	16
915.0	16
313.0	16
114.0	16
177.0	16
103.0	16
185.0	16
192.0	15
72.0	15
1007.0	15
600.0	15
82.0	15
32.0	15
837.0	15
42.0	15
56.0	15
14.0	15
73.0	14
486.0	14
286.0	14
335.0	14
451.0	14
497.0	14
62.0	14
198.0	14
716.0	14
184.0	14
1105.0	14
781.0	14
267.0	13
100.0	13
16.0	13
57.0	13
55.0	13
212.0	13
172.0	13
50.0	13
161.0	13
54.0	13
144.0	13
69.0	13
307.0	13
200.0	13
279.0	13
350.0	13
228.0	13
354.0	13
123.0	13
181.0	12
733.0	12
1569.0	12
180.0	12
231.0	12
339.0	12
238.0	12
132.0	12
127.0	12
109.0	12
159.0	12
152.0	12
349.0	12
65.0	12
81.0	12
140.0	12
299.0	12
351.0	12
106.0	12
831.0	12
116.0	12
1942.0	12
134.0	12
71.0	12
1469.0	12
431.0	11
525.0	11
194.0	11
1690.0	11
660.0	11
524.0	11
374.0	11
329.0	11
1367.0	11
378.0	11
242.0	11
1779.0	11
468.0	11
410.0	11
314.0	11
853.0	11
537.0	11
810.0	11
91.0	11
859.0	11
235.0	11
1155.0	11
247.0	11
992.0	11
634.0	11
317.0	11
122.0	11
633.0	11
357.0	11
70.0	11
721.0	11
475.0	11
59.0	11
892.0	11
487.0	11
121.0	11
918.0	11
203.0	11
328.0	11
93.0	11
428.0	11
284.0	10
901.0	10
77.0	10
798.0	10
182.0	10
1515.0	10
1011.0	10
664.0	10
509.0	10
674.0	10
89.0	10
46.0	10
520.0	10
544.0	10
58.0	10
806.0	10
474.0	10
263.0	10
877.0	10
623.0	10
157.0	10
1838.0	10
191.0	10
1225.0	10
120.0	10
903.0	10
729.0	10
220.0	10
980.0	10
484.0	10
207.0	10
1860.0	10
20.0	10
1094.0	10
1484.0	10
154.0	10
2481.0	10
112.0	10
677.0	10
197.0	10
933.0	10
124.0	10
285.0	10
536.0	10
367.0	10
151.0	10
326.0	10
332.0	9
1589.0	9
742.0	9
861.0	9
715.0	9
1689.0	9
248.0	9
528.0	9
450.0	9
1297.0	9
149.0	9
1505.0	9
421.0	9
204.0	9
900.0	9
620.0	9
139.0	9
415.0	9
842.0	9
383.0	9
545.0	9
693.0	9
188.0	9
138.0	9
342.0	9
1870.0	9
356.0	9
560.0	9
168.0	9
223.0	9
930.0	9
74.0	9
1373.0	9
53.0	9
749.0	9
636.0	9
8.0	9
393.0	9
391.0	9
911.0	9
479.0	9
1031.0	9
119.0	9
932.0	9
17.0	9
580.0	9
49.0	9
514.0	9
945.0	9
310.0	9
86.0	9
539.0	9
1465.0	9
865.0	9
471.0	9
1640.0	9
1123.0	9
999.0	9
10.0	9
1371.0	9
1368.0	9
145.0	9
