Value	Count
6.0	56
19.0	55
8.0	53
12.0	49
24.0	47
4.0	46
32.0	46
22.0	45
7.0	44
21.0	44
9.0	43
38.0	42
15.0	41
17.0	40
5.0	39
28.0	38
26.0	38
47.0	37
50.0	36
40.0	36
58.0	36
39.0	35
20.0	34
53.0	34
3.0	33
10.0	32
111.0	32
268.0	31
18.0	31
63.0	31
124.0	31
13.0	30
57.0	30
97.0	30
11.0	30
34.0	29
120.0	29
121.0	29
14.0	29
109.0	29
25.0	28
207.0	28
96.0	28
23.0	28
78.0	28
29.0	28
41.0	28
127.0	27
27.0	27
60.0	27
177.0	26
68.0	26
151.0	25
94.0	25
55.0	25
184.0	25
115.0	25
261.0	24
65.0	24
256.0	24
42.0	24
266.0	24
148.0	24
83.0	24
472.0	24
89.0	23
76.0	23
186.0	23
85.0	23
167.0	23
104.0	23
314.0	23
369.0	23
105.0	23
403.0	23
223.0	23
141.0	23
103.0	23
119.0	22
170.0	22
37.0	22
281.0	22
106.0	22
145.0	22
238.0	22
30.0	22
92.0	22
271.0	22
166.0	22
331.0	21
95.0	21
79.0	21
179.0	21
319.0	21
66.0	21
88.0	21
574.0	21
232.0	21
138.0	21
309.0	21
108.0	21
182.0	21
295.0	20
31.0	20
59.0	20
274.0	20
128.0	20
107.0	20
75.0	20
142.0	20
226.0	20
72.0	20
248.0	20
98.0	20
201.0	20
316.0	20
52.0	20
325.0	20
307.0	20
70.0	20
117.0	19
131.0	19
221.0	19
344.0	19
56.0	19
358.0	19
136.0	19
149.0	19
137.0	19
48.0	19
263.0	19
406.0	19
429.0	19
134.0	19
101.0	19
90.0	19
147.0	19
333.0	19
36.0	18
84.0	18
246.0	18
243.0	18
371.0	18
335.0	18
296.0	18
185.0	18
74.0	18
228.0	18
153.0	18
204.0	18
260.0	18
336.0	18
258.0	18
322.0	18
194.0	18
280.0	18
44.0	18
130.0	18
45.0	18
591.0	18
701.0	18
126.0	18
33.0	18
82.0	18
398.0	18
366.0	18
422.0	18
35.0	18
187.0	18
67.0	18
91.0	18
165.0	17
214.0	17
311.0	17
433.0	17
54.0	17
146.0	17
549.0	17
391.0	17
174.0	17
415.0	17
399.0	17
409.0	17
81.0	17
73.0	17
64.0	17
16.0	17
356.0	16
377.0	16
43.0	16
539.0	16
292.0	16
304.0	16
77.0	16
337.0	16
328.0	16
340.0	16
237.0	16
608.0	16
100.0	16
125.0	16
224.0	16
143.0	16
745.0	16
471.0	16
252.0	16
320.0	16
404.0	16
220.0	16
195.0	16
180.0	16
255.0	16
483.0	16
87.0	16
665.0	16
330.0	16
345.0	16
93.0	16
219.0	16
262.0	16
812.0	16
265.0	16
407.0	15
110.0	15
512.0	15
561.0	15
557.0	15
614.0	15
329.0	15
402.0	15
338.0	15
157.0	15
562.0	15
346.0	15
51.0	15
217.0	15
241.0	15
192.0	15
118.0	15
123.0	15
239.0	15
460.0	15
492.0	15
367.0	15
410.0	15
452.0	15
62.0	15
259.0	15
464.0	15
357.0	14
511.0	14
215.0	14
140.0	14
484.0	14
160.0	14
199.0	14
381.0	14
359.0	14
69.0	14
463.0	14
71.0	14
360.0	14
116.0	14
541.0	14
568.0	14
290.0	14
150.0	14
213.0	14
639.0	14
276.0	14
351.0	14
417.0	14
277.0	14
293.0	14
604.0	13
269.0	13
99.0	13
144.0	13
193.0	13
808.0	13
242.0	13
173.0	13
797.0	13
308.0	13
454.0	13
169.0	13
347.0	13
168.0	13
227.0	13
203.0	13
516.0	13
476.0	13
178.0	13
315.0	13
230.0	13
197.0	13
527.0	13
135.0	13
788.0	13
372.0	13
675.0	13
152.0	13
302.0	13
270.0	13
113.0	13
161.0	13
278.0	13
102.0	13
353.0	13
508.0	13
459.0	13
162.0	13
486.0	13
652.0	13
172.0	13
196.0	12
469.0	12
425.0	12
707.0	12
159.0	12
250.0	12
286.0	12
46.0	12
401.0	12
390.0	12
637.0	12
814.0	12
661.0	12
380.0	12
733.0	12
210.0	12
497.0	12
2.0	12
306.0	12
183.0	12
355.0	12
211.0	12
352.0	12
200.0	12
621.0	12
285.0	12
499.0	12
466.0	12
129.0	12
49.0	12
558.0	12
341.0	12
838.0	12
208.0	12
501.0	12
473.0	12
518.0	12
212.0	12
313.0	12
754.0	11
206.0	11
510.0	11
576.0	11
451.0	11
382.0	11
324.0	11
447.0	11
244.0	11
156.0	11
264.0	11
567.0	11
827.0	11
556.0	11
772.0	11
368.0	11
342.0	11
461.0	11
132.0	11
520.0	11
225.0	11
601.0	11
721.0	11
310.0	11
611.0	11
578.0	11
579.0	11
521.0	11
