Value	Count
4.0	65
23.0	53
34.0	53
17.0	51
13.0	51
47.0	51
6.0	49
24.0	48
14.0	48
5.0	47
12.0	46
8.0	46
22.0	45
21.0	43
28.0	42
44.0	41
19.0	40
26.0	40
9.0	40
143.0	39
7.0	39
74.0	38
72.0	36
35.0	36
20.0	36
15.0	36
113.0	35
37.0	35
141.0	34
120.0	33
102.0	33
36.0	33
38.0	32
46.0	32
131.0	31
49.0	31
70.0	31
298.0	31
140.0	30
11.0	30
42.0	30
56.0	30
30.0	30
43.0	30
64.0	30
185.0	30
229.0	29
110.0	29
32.0	29
94.0	29
95.0	28
48.0	28
77.0	28
16.0	28
114.0	28
130.0	28
27.0	27
52.0	27
108.0	27
39.0	26
109.0	26
60.0	25
79.0	25
61.0	25
82.0	25
40.0	25
107.0	24
213.0	24
149.0	24
92.0	24
63.0	24
234.0	24
50.0	24
357.0	24
318.0	24
67.0	24
412.0	24
136.0	24
99.0	24
78.0	23
328.0	23
100.0	23
175.0	23
247.0	23
461.0	23
25.0	23
103.0	23
164.0	23
41.0	22
135.0	22
177.0	22
83.0	22
58.0	22
116.0	22
18.0	22
73.0	22
90.0	22
54.0	22
45.0	22
186.0	22
57.0	22
169.0	21
260.0	21
303.0	21
66.0	21
202.0	21
159.0	21
86.0	21
450.0	21
193.0	21
33.0	21
155.0	21
89.0	20
147.0	20
10.0	20
139.0	20
151.0	20
145.0	20
320.0	20
534.0	20
376.0	20
101.0	20
307.0	20
76.0	20
225.0	20
306.0	19
59.0	19
267.0	19
340.0	19
398.0	19
272.0	19
97.0	19
138.0	19
292.0	19
31.0	19
117.0	19
518.0	19
173.0	19
171.0	19
437.0	19
88.0	19
314.0	19
62.0	19
343.0	18
200.0	18
69.0	18
105.0	18
228.0	18
432.0	18
91.0	18
170.0	18
127.0	18
198.0	18
499.0	18
191.0	18
106.0	18
195.0	18
150.0	18
445.0	18
315.0	18
215.0	18
204.0	18
279.0	17
197.0	17
525.0	17
335.0	17
29.0	17
93.0	17
126.0	17
394.0	17
586.0	17
53.0	17
123.0	17
3.0	17
87.0	17
206.0	17
277.0	17
184.0	17
444.0	17
251.0	17
431.0	17
190.0	17
478.0	16
134.0	16
369.0	16
242.0	16
528.0	16
165.0	16
287.0	16
589.0	16
142.0	16
182.0	16
214.0	16
281.0	16
296.0	16
385.0	16
85.0	16
81.0	16
148.0	16
339.0	16
133.0	16
333.0	16
124.0	16
407.0	16
156.0	16
137.0	16
172.0	16
125.0	16
96.0	15
301.0	15
154.0	15
480.0	15
194.0	15
244.0	15
342.0	15
299.0	15
487.0	15
51.0	15
550.0	15
223.0	15
362.0	15
308.0	15
637.0	15
282.0	15
187.0	15
382.0	15
703.0	15
153.0	14
467.0	14
584.0	14
196.0	14
258.0	14
232.0	14
237.0	14
119.0	14
71.0	14
748.0	14
336.0	14
378.0	14
2.0	14
310.0	14
188.0	14
297.0	14
255.0	14
80.0	14
168.0	14
613.0	14
305.0	14
500.0	14
443.0	14
458.0	14
129.0	14
358.0	14
115.0	14
259.0	14
295.0	14
682.0	14
566.0	13
483.0	13
439.0	13
160.0	13
181.0	13
585.0	13
360.0	13
415.0	13
250.0	13
286.0	13
212.0	13
104.0	13
166.0	13
384.0	13
543.0	13
657.0	13
429.0	13
288.0	13
469.0	13
694.0	13
65.0	13
246.0	13
665.0	13
370.0	13
352.0	13
205.0	13
400.0	13
417.0	13
271.0	13
474.0	13
549.0	13
233.0	13
248.0	13
775.0	13
176.0	12
542.0	12
332.0	12
239.0	12
252.0	12
434.0	12
180.0	12
414.0	12
406.0	12
269.0	12
291.0	12
353.0	12
350.0	12
111.0	12
397.0	12
486.0	12
230.0	12
565.0	12
404.0	12
367.0	12
118.0	12
249.0	12
152.0	12
256.0	12
610.0	12
84.0	12
316.0	12
313.0	12
679.0	12
416.0	12
392.0	12
344.0	12
146.0	12
426.0	12
121.0	12
210.0	12
538.0	12
192.0	12
390.0	12
663.0	12
199.0	12
511.0	12
438.0	12
300.0	11
207.0	11
203.0	11
317.0	11
266.0	11
533.0	11
55.0	11
559.0	11
740.0	11
144.0	11
132.0	11
824.0	11
485.0	11
294.0	11
1082.0	11
459.0	11
770.0	11
455.0	11
451.0	11
325.0	11
428.0	11
488.0	11
254.0	11
263.0	11
387.0	11
881.0	10
405.0	10
163.0	10
529.0	10
868.0	10
647.0	10
524.0	10
158.0	10
75.0	10
433.0	10
377.0	10
399.0	10
671.0	10
179.0	10
561.0	10
873.0	10
283.0	10
402.0	10
745.0	10
452.0	10
654.0	10
809.0	10
128.0	10
609.0	10
321.0	10
547.0	10
898.0	10
337.0	10
261.0	10
643.0	10
460.0	10
349.0	10
594.0	10
746.0	10
572.0	10
422.0	10
498.0	10
157.0	10
477.0	10
238.0	10
750.0	10
311.0	10
373.0	10
122.0	10
548.0	10
379.0	10
341.0	10
440.0	10
718.0	10
749.0	9
280.0	9
833.0	9
590.0	9
327.0	9
395.0	9
441.0	9
262.0	9
219.0	9
634.0	9
729.0	9
231.0	9
270.0	9
557.0	9
481.0	9
323.0	9
570.0	9
468.0	9
345.0	9
245.0	9
374.0	9
284.0	9
388.0	9
660.0	9
546.0	9
475.0	9
653.0	9
304.0	9
842.0	9
293.0	9
464.0	9
496.0	9
322.0	9
601.0	9
201.0	9
446.0	9
162.0	9
235.0	9
389.0	9
509.0	9
1051.0	9
167.0	9
828.0	9
482.0	9
348.0	9
635.0	9
368.0	9
690.0	9
659.0	9
220.0	9
419.0	9
227.0	9
658.0	8
495.0	8
209.0	8
530.0	8
381.0	8
276.0	8
226.0	8
356.0	8
430.0	8
512.0	8
393.0	8
753.0	8
1269.0	8
664.0	8
216.0	8
640.0	8
355.0	8
804.0	8
600.0	8
829.0	8
290.0	8
820.0	8
593.0	8
236.0	8
618.0	8
766.0	8
354.0	8
448.0	8
951.0	8
275.0	8
447.0	8
531.0	8
174.0	8
578.0	8
827.0	8
743.0	8
573.0	8
767.0	8
442.0	8
243.0	8
221.0	8
662.0	8
112.0	8
183.0	8
334.0	8
535.0	8
879.0	8
347.0	8
161.0	8
567.0	8
1073.0	8
331.0	8
466.0	8
621.0	8
568.0	8
599.0	8
507.0	8
224.0	8
491.0	8
501.0	7
391.0	7
413.0	7
396.0	7
661.0	7
558.0	7
966.0	7
917.0	7
410.0	7
456.0	7
302.0	7
602.0	7
596.0	7
981.0	7
217.0	7
803.0	7
264.0	7
822.0	7
274.0	7
326.0	7
265.0	7
241.0	7
436.0	7
309.0	7
667.0	7
787.0	7
649.0	7
1173.0	7
702.0	7
814.0	7
731.0	7
800.0	7
268.0	7
676.0	7
240.0	7
754.0	7
418.0	7
774.0	7
289.0	7
278.0	7
68.0	7
372.0	7
726.0	7
178.0	7
380.0	7
553.0	7
330.0	7
823.0	7
1102.0	7
874.0	7
587.0	7
907.0	7
574.0	7
366.0	7
465.0	7
805.0	7
386.0	7
1065.0	7
522.0	7
560.0	7
526.0	7
539.0	7
346.0	7
1163.0	6
619.0	6
510.0	6
612.0	6
942.0	6
575.0	6
1045.0	6
755.0	6
222.0	6
605.0	6
772.0	6
734.0	6
253.0	6
470.0	6
1307.0	6
338.0	6
517.0	6
776.0	6
423.0	6
606.0	6
562.0	6
769.0	6
611.0	6
472.0	6
189.0	6
545.0	6
615.0	6
471.0	6
795.0	6
725.0	6
996.0	6
364.0	6
489.0	6
1320.0	6
963.0	6
680.0	6
1067.0	6
689.0	6
1197.0	6
656.0	6
273.0	6
595.0	6
1044.0	6
670.0	6
1100.0	6
1261.0	6
646.0	6
598.0	6
551.0	6
884.0	6
965.0	6
411.0	6
945.0	6
457.0	6
408.0	6
579.0	6
845.0	6
832.0	6
717.0	6
964.0	6
1005.0	6
514.0	6
1259.0	6
889.0	6
625.0	6
211.0	6
732.0	6
1066.0	6
764.0	6
1267.0	6
967.0	6
759.0	6
1103.0	5
677.0	5
648.0	5
1369.0	5
1763.0	5
608.0	5
427.0	5
899.0	5
1180.0	5
580.0	5
1204.0	5
