Value	Count
42.0	14.0
56.0	13.0
8.0	13.0
7.0	12.0
293.0	12.0
204.0	12.0
1103.0	11.0
114.0	11.0
1033.0	11.0
485.0	11.0
979.0	11.0
860.0	10.0
953.0	10.0
85.0	10.0
89.0	10.0
197.0	10.0
958.0	10.0
37.0	9.0
213.0	9.0
317.0	9.0
9.0	9.0
10.0	9.0
266.0	9.0
1316.0	9.0
227.0	9.0
619.0	9.0
1545.0	9.0
547.0	9.0
427.0	9.0
1192.0	9.0
86.0	8.0
270.0	8.0
325.0	8.0
50.0	8.0
748.0	8.0
75.0	8.0
1720.0	8.0
106.0	8.0
1618.0	8.0
45.0	8.0
957.0	8.0
513.0	8.0
77.0	7.0
1174.0	7.0
183.0	7.0
797.0	7.0
901.0	7.0
990.0	7.0
1805.0	7.0
1201.0	7.0
488.0	7.0
1375.0	7.0
1377.0	7.0
1478.0	7.0
939.0	7.0
466.0	7.0
1851.0	7.0
1269.0	7.0
2146.0	7.0
1394.0	7.0
349.0	7.0
17.0	7.0
387.0	7.0
742.0	7.0
842.0	7.0
283.0	6.0
382.0	6.0
44.0	6.0
1030.0	6.0
1772.0	6.0
318.0	6.0
1573.0	6.0
945.0	6.0
823.0	6.0
916.0	6.0
1071.0	6.0
1401.0	6.0
960.0	6.0
1786.0	6.0
1648.0	6.0
326.0	6.0
1107.0	6.0
1310.0	6.0
327.0	6.0
1195.0	6.0
471.0	6.0
220.0	6.0
1059.0	6.0
456.0	6.0
1218.0	6.0
965.0	6.0
61.0	6.0
436.0	6.0
552.0	6.0
1378.0	6.0
493.0	6.0
1750.0	6.0
164.0	6.0
2251.0	6.0
997.0	6.0
1029.0	6.0
671.0	5.0
3030.0	5.0
1664.0	5.0
208.0	5.0
1124.0	5.0
1434.0	5.0
1460.0	5.0
1287.0	5.0
1017.0	5.0
790.0	5.0
1699.0	5.0
1582.0	5.0
1315.0	5.0
1983.0	5.0
704.0	5.0
181.0	5.0
97.0	5.0
417.0	5.0
394.0	5.0
1111.0	5.0
496.0	5.0
320.0	5.0
2589.0	5.0
1339.0	5.0
303.0	5.0
1156.0	5.0
706.0	5.0
2093.0	5.0
730.0	5.0
3383.0	5.0
251.0	5.0
942.0	5.0
1542.0	5.0
506.0	5.0
2830.0	5.0
864.0	5.0
83.0	5.0
281.0	5.0
894.0	5.0
1225.0	5.0
375.0	5.0
105.0	5.0
350.0	5.0
2321.0	5.0
2266.0	5.0
182.0	5.0
2514.0	5.0
1022.0	5.0
774.0	5.0
811.0	5.0
2478.0	5.0
47.0	5.0
1631.0	5.0
814.0	5.0
538.0	5.0
679.0	5.0
1312.0	5.0
883.0	5.0
824.0	5.0
51.0	5.0
616.0	5.0
1395.0	5.0
1703.0	5.0
849.0	5.0
674.0	5.0
1319.0	5.0
1126.0	5.0
1028.0	5.0
2551.0	5.0
248.0	5.0
663.0	5.0
432.0	4.0
1382.0	4.0
1301.0	4.0
937.0	4.0
809.0	4.0
701.0	4.0
1584.0	4.0
1814.0	4.0
717.0	4.0
2997.0	4.0
1520.0	4.0
1594.0	4.0
707.0	4.0
2289.0	4.0
1363.0	4.0
1038.0	4.0
535.0	4.0
1604.0	4.0
450.0	4.0
966.0	4.0
295.0	4.0
1707.0	4.0
1623.0	4.0
372.0	4.0
2277.0	4.0
1451.0	4.0
2074.0	4.0
560.0	4.0
977.0	4.0
419.0	4.0
452.0	4.0
2000.0	4.0
750.0	4.0
2363.0	4.0
242.0	4.0
3029.0	4.0
2273.0	4.0
695.0	4.0
2346.0	4.0
2018.0	4.0
1588.0	4.0
2300.0	4.0
557.0	4.0
597.0	4.0
1504.0	4.0
759.0	4.0
585.0	4.0
2171.0	4.0
768.0	4.0
414.0	4.0
274.0	4.0
2222.0	4.0
1944.0	4.0
949.0	4.0
764.0	4.0
652.0	4.0
1361.0	4.0
1140.0	4.0
793.0	4.0
137.0	4.0
159.0	4.0
618.0	4.0
511.0	4.0
879.0	4.0
1895.0	4.0
313.0	4.0
832.0	4.0
58.0	4.0
1559.0	4.0
1001.0	4.0
778.0	4.0
94.0	4.0
2041.0	4.0
523.0	4.0
430.0	4.0
705.0	4.0
376.0	4.0
171.0	4.0
1222.0	4.0
1110.0	4.0
73.0	4.0
1390.0	4.0
1006.0	4.0
634.0	4.0
449.0	4.0
1650.0	4.0
388.0	4.0
1898.0	4.0
733.0	4.0
1105.0	4.0
69.0	4.0
1935.0	4.0
2059.0	3.0
468.0	3.0
5709.0	3.0
1413.0	3.0
2507.0	3.0
7090.0	3.0
1628.0	3.0
658.0	3.0
2062.0	3.0
1053.0	3.0
2113.0	3.0
2866.0	3.0
1592.0	3.0
3098.0	3.0
1646.0	3.0
1292.0	3.0
1075.0	3.0
1704.0	3.0
1660.0	3.0
3524.0	3.0
1700.0	3.0
3402.0	3.0
2175.0	3.0
3409.0	3.0
4356.0	3.0
5536.0	3.0
1939.0	3.0
4168.0	3.0
2835.0	3.0
7451.0	3.0
3344.0	3.0
2762.0	3.0
127.0	3.0
2121.0	3.0
1972.0	3.0
854.0	3.0
366.0	3.0
1669.0	3.0
2562.0	3.0
2371.0	3.0
1891.0	3.0
1234.0	3.0
2077.0	3.0
2588.0	3.0
1620.0	3.0
3406.0	3.0
636.0	3.0
2028.0	3.0
1031.0	3.0
1347.0	3.0
2742.0	3.0
4647.0	3.0
856.0	3.0
1252.0	3.0
2565.0	3.0
484.0	3.0
907.0	3.0
1783.0	3.0
731.0	3.0
863.0	3.0
457.0	3.0
1299.0	3.0
2007.0	3.0
4578.0	3.0
489.0	3.0
1063.0	3.0
1734.0	3.0
3121.0	3.0
